alnA	alnB	A	B	YNL093W_04	YNL093W_29	YNL093W_05	YNL093W_38	YNL093W_18	YNL093W_17	YNL093W_31	YNL093W_52	YNL093W_40	YNL093W_62	YNL093W_65	YNL093W_32	YNL093W_33	YNL093W_41	YNL093W_16	YNL093W_51	YNL093W_14	YNL093W_39	YNL093W_28	YNL093W_35	YNL093W_10	YNL093W_02	YNL093W_64	YNL093W_70	YNL093W_09	YNL093W_01	YNL093W_06	YNL093W_15	YNL093W_23	YNL093W_61	YNL093W_08	YNL093W_67	YNL093W_37	YNL093W_63	YNL093W_44	YNL093W_48	YNL093W_25	YNL093W_69	YNL093W_56	YNL093W_54	YNL093W_68	YNL093W_24	YNL093W_34	YNL093W_22	YNL093W_27	YNL093W_07	YNL093W_12	YNL093W_36	YNL093W_57	YNL093W_49	YNL093W_11	YNL093W_53	YNL093W_03	YNL093W_47	YNL093W_58
38	389	11	173	5884.0	2392.0	1082.0	3504.0	6551.0	2025.0	3954.0	175.0	2131.0	5633.0	6132.0	6240.0	3501.0	3246.0	5735.0	1263.0	3985.0	913.0	1545.0	2242.0	5570.0	720.0	356.0	4518.0	389.0	832.0	2752.0	2232.0	6645.0	7751.0	5217.0	1212.0	3294.0	7669.0	5290.0	6349.0	3619.0	5937.0	8346.0	343.0	1186.0	5469.0	9556.0	516.0	5022.0	3344.0	1237.0	3369.0	3386.0	8299.0	2593.0	3137.0	2203.0	2993.0	891.0
38	390	11	174	5882.0	2389.0	1082.0	3503.0	6550.0	2025.0	3954.0	173.0	2131.0	5632.0	6132.0	6239.0	3501.0	3243.0	5731.0	1263.0	3984.0	912.0	1543.0	2272.0	5583.0	719.0	356.0	4520.0	381.0	884.0	2751.0	2234.0	6645.0	7746.0	5217.0	1211.0	3301.0	7671.0	5288.0	6347.0	3639.0	5934.0	8345.0	341.0	1185.0	5468.0	9557.0	514.0	5021.0	3345.0	1238.0	3369.0	3386.0	8298.0	2593.0	3136.0	2202.0	2993.0	891.0
38	170	11	63	6003.0	2475.0	1110.0	3628.0	6613.0	1984.0	3909.0	197.0	1978.0	5886.0	6122.0	6343.0	3597.0	3352.0	5820.0	1193.0	4096.0	1011.0	1472.0	2208.0	5604.0	732.0	188.0	4452.0	412.0	848.0	2829.0	2203.0	6707.0	7745.0	5286.0	1121.0	3257.0	7742.0	5381.0	6384.0	3642.0	6012.0	8478.0	470.0	1471.0	5376.0	9504.0	679.0	4942.0	3087.0	1215.0	3677.0	3470.0	8625.0	2566.0	3200.0	2210.0	3102.0	921.0
43	203	12	84	5934.0	2474.0	1156.0	3647.0	6645.0	1995.0	3986.0	229.0	2145.0	5835.0	6162.0	6348.0	3702.0	3329.0	5824.0	1273.0	4311.0	1139.0	1601.0	2305.0	5583.0	828.0	355.0	4538.0	405.0	929.0	2785.0	2254.0	6719.0	7787.0	5432.0	1182.0	3325.0	7718.0	5390.0	6386.0	3637.0	6185.0	8361.0	358.0	1328.0	5453.0	9549.0	796.0	5066.0	3374.0	1263.0	3648.0	3473.0	8609.0	2602.0	3246.0	2357.0	3058.0	967.0
43	169	12	62	6004.0	2477.0	1112.0	3628.0	6613.0	1985.0	3907.0	198.0	1977.0	5885.0	6123.0	6344.0	3599.0	3353.0	5834.0	1193.0	4096.0	1014.0	1472.0	2208.0	5605.0	731.0	186.0	4450.0	425.0	848.0	2828.0	2237.0	6707.0	7747.0	5285.0	1122.0	3257.0	7742.0	5385.0	6386.0	3642.0	6011.0	8478.0	472.0	1474.0	5377.0	9502.0	680.0	4947.0	3087.0	1215.0	3678.0	3471.0	8626.0	2551.0	3201.0	2210.0	3102.0	918.0
43	198	12	82	5940.0	2472.0	1154.0	3647.0	6646.0	1995.0	3985.0	229.0	2146.0	5834.0	6164.0	6345.0	3704.0	3329.0	5823.0	1275.0	4307.0	1140.0	1600.0	2304.0	5583.0	826.0	353.0	4539.0	403.0	926.0	2785.0	2256.0	6719.0	7790.0	5432.0	1180.0	3323.0	7715.0	5388.0	6383.0	3638.0	6183.0	8363.0	357.0	1324.0	5452.0	9549.0	795.0	5065.0	3373.0	1200.0	3645.0	3472.0	8609.0	2600.0	3218.0	2357.0	3055.0	968.0
43	202	12	83	5935.0	2473.0	1155.0	3647.0	6646.0	1995.0	3985.0	229.0	2145.0	5834.0	6163.0	6346.0	3703.0	3329.0	5823.0	1274.0	4310.0	1140.0	1600.0	2305.0	5583.0	827.0	353.0	4539.0	404.0	927.0	2784.0	2255.0	6719.0	7789.0	5432.0	1182.0	3324.0	7716.0	5389.0	6384.0	3638.0	6184.0	8362.0	357.0	1324.0	5453.0	9547.0	795.0	5065.0	3373.0	1201.0	3645.0	3472.0	8609.0	2601.0	3219.0	2357.0	3056.0	967.0
43	171	12	64	6132.0	2475.0	1111.0	3631.0	6615.0	1994.0	3909.0	196.0	1982.0	5889.0	6124.0	6343.0	3601.0	3355.0	5822.0	1193.0	4098.0	1124.0	1476.0	2209.0	5604.0	733.0	189.0	4453.0	426.0	858.0	2829.0	2203.0	6707.0	7776.0	5287.0	1124.0	3259.0	7743.0	5383.0	6387.0	3643.0	6015.0	8475.0	470.0	1452.0	5380.0	9505.0	681.0	4947.0	3093.0	1217.0	3670.0	3473.0	8623.0	2567.0	3202.0	2212.0	3102.0	923.0
43	204	12	85	5932.0	2475.0	1156.0	3646.0	6643.0	1995.0	3985.0	227.0	2144.0	5834.0	6162.0	6349.0	3698.0	3328.0	5824.0	1272.0	4314.0	1138.0	1601.0	2306.0	5582.0	829.0	356.0	4536.0	404.0	930.0	2785.0	2253.0	6720.0	7786.0	5432.0	1182.0	3326.0	7718.0	5391.0	6387.0	3637.0	6184.0	8356.0	356.0	1327.0	5452.0	9547.0	796.0	5066.0	3374.0	1263.0	3648.0	3473.0	8607.0	2603.0	3245.0	2356.0	3060.0	966.0
44	169	13	62	6005.0	2478.0	1116.0	3629.0	6614.0	1985.0	3908.0	197.0	1979.0	5887.0	6125.0	6191.0	3601.0	3353.0	5837.0	1192.0	4097.0	1018.0	1474.0	2211.0	5606.0	729.0	186.0	4450.0	425.0	849.0	2828.0	2237.0	6706.0	7750.0	5284.0	1124.0	3257.0	7741.0	5386.0	6387.0	3642.0	6013.0	8477.0	472.0	1476.0	5378.0	9502.0	681.0	4948.0	3087.0	1214.0	3677.0	3473.0	8626.0	2549.0	3202.0	2210.0	3102.0	917.0
44	170	13	63	6008.0	2476.0	1116.0	3631.0	6616.0	1988.0	3909.0	196.0	1982.0	5888.0	6125.0	6344.0	3602.0	3355.0	5836.0	1192.0	4099.0	1123.0	1477.0	2214.0	5606.0	729.0	186.0	4452.0	426.0	855.0	2829.0	2237.0	6706.0	7779.0	5285.0	1124.0	3257.0	7741.0	5386.0	6387.0	3643.0	6015.0	8476.0	470.0	1475.0	5380.0	9504.0	682.0	4948.0	3093.0	1215.0	3675.0	3473.0	8625.0	2559.0	3202.0	2211.0	3102.0	925.0
44	171	13	64	6131.0	2475.0	1115.0	3632.0	6617.0	1996.0	3914.0	196.0	1983.0	5890.0	6126.0	6344.0	3604.0	3355.0	5838.0	1192.0	4100.0	1126.0	1479.0	2216.0	5605.0	730.0	188.0	4455.0	426.0	861.0	2829.0	2207.0	6706.0	7779.0	5287.0	1129.0	3259.0	7742.0	5385.0	6387.0	3644.0	6017.0	8475.0	470.0	1453.0	5381.0	9506.0	682.0	4949.0	3096.0	1217.0	3672.0	3475.0	8623.0	2567.0	3203.0	2213.0	3102.0	972.0
44	202	13	83	5935.0	2473.0	1157.0	3647.0	6646.0	1996.0	3986.0	229.0	2147.0	5836.0	6163.0	6348.0	3702.0	3329.0	5823.0	1274.0	4312.0	1142.0	1600.0	2306.0	5585.0	860.0	353.0	4541.0	409.0	929.0	2786.0	2255.0	6719.0	7792.0	5382.0	1184.0	3326.0	7717.0	5389.0	6384.0	3641.0	6185.0	8452.0	360.0	1328.0	5454.0	9548.0	796.0	5065.0	3374.0	1262.0	3645.0	3472.0	8607.0	2602.0	3220.0	2356.0	3056.0	968.0
44	204	13	85	5932.0	2475.0	1158.0	3646.0	6644.0	1996.0	3986.0	227.0	2146.0	5835.0	6162.0	6350.0	3694.0	3328.0	5824.0	1272.0	4316.0	1140.0	1600.0	2307.0	5583.0	836.0	356.0	4537.0	407.0	931.0	2787.0	2253.0	6720.0	7788.0	5432.0	1184.0	3329.0	7718.0	5392.0	6387.0	3639.0	6185.0	8362.0	359.0	1329.0	5453.0	9548.0	797.0	5066.0	3375.0	1263.0	3646.0	3473.0	8607.0	2604.0	3242.0	2355.0	3060.0	966.0
44	168	13	61	6002.0	2479.0	1117.0	3628.0	6612.0	1984.0	3906.0	197.0	1976.0	5884.0	6123.0	6188.0	3597.0	3353.0	5836.0	1191.0	4097.0	1016.0	1471.0	2209.0	5606.0	729.0	184.0	4446.0	426.0	846.0	2827.0	2235.0	6706.0	7744.0	5283.0	1122.0	3255.0	7741.0	5387.0	6387.0	3641.0	6012.0	8479.0	472.0	1477.0	5376.0	9500.0	680.0	4948.0	3085.0	1213.0	3326.0	3471.0	8627.0	2543.0	3201.0	2209.0	3102.0	915.0
44	206	13	87	5933.0	2476.0	1159.0	3621.0	6642.0	1995.0	3988.0	229.0	2144.0	5835.0	6161.0	6346.0	3687.0	3328.0	5826.0	1267.0	4316.0	1141.0	1600.0	2305.0	5582.0	830.0	357.0	4535.0	409.0	931.0	2784.0	2233.0	6718.0	7783.0	5381.0	1180.0	3324.0	7721.0	5392.0	6390.0	3637.0	6186.0	8362.0	360.0	1326.0	5452.0	9551.0	794.0	5065.0	3376.0	1262.0	3652.0	3473.0	8606.0	2603.0	3243.0	2352.0	3061.0	967.0
44	205	13	86	5932.0	2476.0	1158.0	3646.0	6643.0	1996.0	3987.0	228.0	2145.0	5835.0	6161.0	6349.0	3691.0	3328.0	5825.0	1269.0	4317.0	1141.0	1600.0	2306.0	5582.0	833.0	357.0	4536.0	408.0	931.0	2786.0	2235.0	6719.0	7785.0	5382.0	1182.0	3327.0	7719.0	5392.0	6389.0	3638.0	6186.0	8361.0	359.0	1327.0	5452.0	9549.0	796.0	5066.0	3375.0	1263.0	3651.0	3473.0	8606.0	2605.0	3243.0	2353.0	3062.0	967.0
44	389	13	173	5882.0	2391.0	1084.0	3503.0	6550.0	2026.0	3951.0	175.0	2135.0	5634.0	6132.0	6239.0	3502.0	3242.0	5734.0	1262.0	3983.0	914.0	1544.0	2273.0	5583.0	720.0	359.0	4522.0	391.0	888.0	2750.0	2229.0	6647.0	7744.0	5215.0	1209.0	3344.0	7674.0	5288.0	6348.0	3641.0	6076.0	8349.0	349.0	1186.0	5468.0	9559.0	516.0	5094.0	3345.0	1248.0	3372.0	3385.0	8298.0	2596.0	3139.0	2204.0	2989.0	892.0
44	385	13	170	5885.0	2394.0	1090.0	3504.0	6553.0	2026.0	3954.0	182.0	2134.0	5637.0	6133.0	6242.0	3507.0	3248.0	5729.0	1256.0	3985.0	918.0	1547.0	2274.0	5578.0	724.0	362.0	4520.0	392.0	893.0	2753.0	2226.0	6651.0	7744.0	5218.0	1210.0	3344.0	7671.0	5293.0	6349.0	3627.0	6078.0	8350.0	353.0	1197.0	5462.0	9555.0	520.0	5097.0	3345.0	1238.0	3374.0	3387.0	8300.0	2596.0	3150.0	2205.0	2992.0	893.0
45	202	14	83	5935.0	2473.0	1158.0	3648.0	6648.0	1998.0	3986.0	229.0	2149.0	5838.0	6162.0	6350.0	3697.0	3329.0	5823.0	1274.0	4314.0	1155.0	1600.0	2306.0	5586.0	862.0	353.0	4543.0	411.0	930.0	2790.0	2235.0	6719.0	7793.0	5380.0	1185.0	3329.0	7716.0	5389.0	6385.0	3641.0	6185.0	8448.0	399.0	1330.0	5455.0	9549.0	797.0	5065.0	3375.0	1262.0	3644.0	3471.0	8606.0	2603.0	3226.0	2356.0	3058.0	968.0
45	204	14	85	5933.0	2475.0	1159.0	3647.0	6646.0	1997.0	3986.0	227.0	2147.0	5837.0	6161.0	6350.0	3692.0	3328.0	5823.0	1272.0	4318.0	1153.0	1601.0	2308.0	5583.0	857.0	355.0	4539.0	411.0	932.0	2791.0	2236.0	6719.0	7791.0	5380.0	1185.0	3334.0	7717.0	5392.0	6388.0	3639.0	6185.0	8453.0	400.0	1331.0	5454.0	9548.0	797.0	5067.0	3376.0	1263.0	3646.0	3473.0	8606.0	2607.0	3245.0	2355.0	3063.0	967.0
45	205	14	86	5934.0	2476.0	1160.0	3647.0	6645.0	1997.0	3987.0	228.0	2146.0	5838.0	6161.0	6349.0	3689.0	3328.0	5824.0	1269.0	4318.0	1152.0	1601.0	2307.0	5583.0	857.0	357.0	4537.0	411.0	933.0	2789.0	2234.0	6718.0	7787.0	5380.0	1183.0	3334.0	7718.0	5393.0	6389.0	3638.0	6186.0	8453.0	402.0	1329.0	5453.0	9551.0	796.0	5068.0	3376.0	1264.0	3650.0	3473.0	8605.0	2609.0	3245.0	2354.0	3065.0	967.0
45	171	14	64	6131.0	2476.0	1117.0	3634.0	6618.0	1998.0	3915.0	196.0	1995.0	5892.0	6127.0	6345.0	3605.0	3356.0	5840.0	1193.0	4103.0	1129.0	1481.0	2219.0	5606.0	729.0	190.0	4457.0	426.0	876.0	2829.0	2236.0	6706.0	7781.0	5286.0	1131.0	3260.0	7740.0	5385.0	6390.0	3643.0	6017.0	8475.0	471.0	1475.0	5385.0	9503.0	684.0	4948.0	3100.0	1218.0	3673.0	3478.0	8622.0	2590.0	3205.0	2213.0	3102.0	971.0
45	194	14	79	6045.0	2471.0	1158.0	3649.0	6648.0	1997.0	3986.0	197.0	2151.0	5838.0	6171.0	6347.0	3701.0	3330.0	5822.0	1278.0	4305.0	1180.0	1600.0	2303.0	5588.0	826.0	350.0	4568.0	403.0	927.0	2796.0	2229.0	6710.0	7797.0	5378.0	1184.0	3331.0	7719.0	5388.0	6383.0	3641.0	6186.0	8445.0	393.0	1328.0	5456.0	9555.0	795.0	5066.0	3376.0	1265.0	3644.0	3472.0	8602.0	2599.0	3218.0	2357.0	3055.0	969.0
45	195	14	80	6044.0	2472.0	1158.0	3649.0	6648.0	1997.0	3986.0	229.0	2151.0	5839.0	6165.0	6348.0	3701.0	3331.0	5822.0	1277.0	4309.0	1181.0	1601.0	2304.0	5586.0	828.0	350.0	4569.0	410.0	928.0	2796.0	2230.0	6710.0	7796.0	5378.0	1185.0	3331.0	7718.0	5389.0	6385.0	3641.0	6187.0	8447.0	394.0	1329.0	5456.0	9557.0	796.0	5066.0	3376.0	1263.0	3644.0	3473.0	8602.0	2601.0	3219.0	2357.0	3056.0	969.0
45	206	14	87	5937.0	2477.0	1160.0	3647.0	6644.0	1996.0	3988.0	229.0	2146.0	5837.0	6160.0	6348.0	3687.0	3328.0	5825.0	1267.0	4318.0	1150.0	1600.0	2306.0	5583.0	837.0	357.0	4537.0	412.0	932.0	2787.0	2233.0	6712.0	7784.0	5379.0	1181.0	3335.0	7719.0	5393.0	6391.0	3637.0	6187.0	8453.0	402.0	1329.0	5453.0	9554.0	794.0	5066.0	3377.0	1262.0	3651.0	3473.0	8605.0	2639.0	3246.0	2352.0	3064.0	968.0
45	230	14	108	5983.0	2486.0	1152.0	3598.0	6623.0	1987.0	3968.0	190.0	2128.0	5830.0	6159.0	6183.0	3676.0	3309.0	5775.0	1260.0	4304.0	943.0	1591.0	2279.0	5573.0	778.0	343.0	4524.0	395.0	926.0	2778.0	2223.0	6680.0	7780.0	5308.0	1172.0	3315.0	7713.0	5388.0	6328.0	3631.0	6141.0	8359.0	355.0	1320.0	5445.0	9544.0	765.0	5051.0	3366.0	1239.0	3640.0	3460.0	8603.0	2593.0	3223.0	2314.0	3053.0	953.0
45	249	14	116	5920.0	2476.0	1154.0	3604.0	6628.0	1971.0	3953.0	196.0	2135.0	5828.0	6157.0	6229.0	3676.0	3308.0	5842.0	1270.0	4316.0	948.0	1590.0	2314.0	5567.0	784.0	348.0	4530.0	401.0	937.0	2829.0	2224.0	6689.0	7785.0	5368.0	1173.0	3327.0	7713.0	5395.0	6328.0	3636.0	6138.0	8353.0	351.0	1320.0	5453.0	9578.0	771.0	5068.0	3361.0	1240.0	3641.0	3462.0	8602.0	2641.0	3235.0	2304.0	3059.0	895.0
45	172	14	65	6130.0	2475.0	1116.0	3649.0	6620.0	2000.0	3921.0	196.0	1999.0	5894.0	6129.0	6345.0	3606.0	3356.0	5841.0	1193.0	4127.0	1132.0	1482.0	2249.0	5605.0	730.0	208.0	4467.0	425.0	914.0	2830.0	2204.0	6705.0	7781.0	5287.0	1132.0	3265.0	7740.0	5384.0	6390.0	3644.0	6019.0	8474.0	470.0	1451.0	5428.0	9505.0	686.0	4948.0	3104.0	1219.0	3668.0	3478.0	8613.0	2591.0	3206.0	2214.0	3101.0	971.0
45	173	14	66	6129.0	2474.0	1114.0	3651.0	6624.0	2001.0	3932.0	196.0	2008.0	5898.0	6129.0	6345.0	3608.0	3355.0	5842.0	1224.0	4131.0	1168.0	1484.0	2251.0	5605.0	732.0	266.0	4472.0	422.0	915.0	2829.0	2203.0	6705.0	7783.0	5291.0	1137.0	3268.0	7737.0	5383.0	6391.0	3645.0	6096.0	8472.0	469.0	1449.0	5446.0	9506.0	687.0	4949.0	3187.0	1221.0	3663.0	3479.0	8607.0	2591.0	3207.0	2218.0	3100.0	972.0
46	170	15	63	6131.0	2478.0	1121.0	3634.0	6618.0	1996.0	3914.0	195.0	1995.0	5891.0	6128.0	6189.0	3604.0	3357.0	5839.0	1192.0	4103.0	1129.0	1480.0	2246.0	5569.0	724.0	188.0	4455.0	425.0	860.0	2829.0	2236.0	6704.0	7782.0	5282.0	1129.0	3258.0	7736.0	5386.0	6392.0	3642.0	6016.0	8476.0	472.0	1478.0	5381.0	9500.0	684.0	4948.0	3103.0	1216.0	3675.0	3479.0	8621.0	2553.0	3208.0	2211.0	3050.0	970.0
46	171	15	64	6130.0	2477.0	1119.0	3637.0	6620.0	1999.0	3921.0	196.0	2005.0	5893.0	6129.0	6192.0	3609.0	3357.0	5841.0	1193.0	4125.0	1133.0	1483.0	2249.0	5568.0	725.0	192.0	4461.0	425.0	918.0	2830.0	2236.0	6705.0	7783.0	5285.0	1132.0	3265.0	7737.0	5386.0	6392.0	3643.0	6017.0	8475.0	471.0	1476.0	5423.0	9502.0	685.0	4948.0	3158.0	1217.0	3673.0	3480.0	8616.0	2593.0	3209.0	2213.0	3102.0	970.0
46	173	15	66	6129.0	2475.0	1117.0	3660.0	6627.0	2002.0	3946.0	196.0	2152.0	5901.0	6131.0	6346.0	3667.0	3355.0	5842.0	1197.0	4271.0	1192.0	1513.0	2253.0	5566.0	727.0	275.0	4474.0	421.0	920.0	2830.0	2204.0	6704.0	7861.0	5289.0	1149.0	3378.0	7736.0	5384.0	6393.0	3645.0	5911.0	8472.0	470.0	1449.0	5453.0	9505.0	691.0	4949.0	3295.0	1221.0	3665.0	3480.0	8605.0	2593.0	3210.0	2218.0	3100.0	971.0
46	206	15	87	5969.0	2477.0	1162.0	3648.0	6646.0	1998.0	3988.0	229.0	2146.0	5839.0	6160.0	6348.0	3686.0	3328.0	5823.0	1267.0	4319.0	1153.0	1601.0	2306.0	5583.0	857.0	356.0	4538.0	414.0	934.0	2834.0	2232.0	6710.0	7787.0	5377.0	1182.0	3337.0	7718.0	5393.0	6392.0	3637.0	6187.0	8451.0	403.0	1330.0	5454.0	9556.0	793.0	5067.0	3378.0	1262.0	3650.0	3472.0	8603.0	2640.0	3246.0	2352.0	3066.0	967.0
46	54	15	23	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	15	65	6130.0	2475.0	1118.0	3663.0	6624.0	2001.0	3945.0	195.0	2009.0	5899.0	6131.0	6346.0	3622.0	3357.0	5842.0	1193.0	4131.0	1192.0	1486.0	2252.0	5568.0	724.0	208.0	4470.0	423.0	921.0	2830.0	2206.0	6704.0	7863.0	5286.0	1143.0	3280.0	7737.0	5385.0	6392.0	3644.0	6094.0	8473.0	470.0	1451.0	5453.0	9504.0	688.0	4948.0	3188.0	1219.0	3670.0	3480.0	8609.0	2593.0	3209.0	2215.0	3101.0	971.0
46	208	15	89	5965.0	2480.0	1162.0	3620.0	6643.0	1997.0	3989.0	231.0	2145.0	5838.0	6159.0	6345.0	3680.0	3328.0	5823.0	1260.0	4318.0	1150.0	1599.0	2303.0	5582.0	856.0	358.0	4536.0	415.0	933.0	2787.0	2230.0	6709.0	7781.0	5376.0	1178.0	3325.0	7719.0	5393.0	6393.0	3635.0	6186.0	8451.0	403.0	1326.0	5452.0	9555.0	777.0	5064.0	3379.0	1259.0	3651.0	3472.0	8602.0	2639.0	3242.0	2348.0	3066.0	967.0
