alnA	alnB	A	B	YBR164C_13	YBR164C_53	YBR164C_52	YBR164C_43	YBR164C_04	YBR164C_03	YBR164C_46	YBR164C_10	YBR164C_01	YBR164C_47	YBR164C_59	YBR164C_49	YBR164C_28	YBR164C_37	YBR164C_44	YBR164C_11	YBR164C_27	YBR164C_56	YBR164C_38	YBR164C_06	YBR164C_15	YBR164C_33	YBR164C_51	YBR164C_14	YBR164C_08	YBR164C_48	YBR164C_57	YBR164C_62	YBR164C_70
44	170	19	62	6525.0	380.0	2112.0	497.0	1296.0	5280.0	3616.0	1447.0	1276.0	6437.0	693.0	7576.0	3038.0	4095.0	8507.0	1649.0	8311.0	4471.0	1442.0	1154.0	7303.0	4480.0	8972.0	5573.0	6344.0	9283.0	6563.0	3511.0	9588.0
44	171	19	63	6527.0	375.0	2114.0	496.0	1296.0	5279.0	3623.0	1448.0	1275.0	6437.0	691.0	7574.0	3040.0	4095.0	8505.0	1649.0	8309.0	4471.0	1480.0	1154.0	7303.0	4479.0	8975.0	5573.0	6344.0	9282.0	6565.0	3511.0	9589.0
44	202	19	84	6532.0	343.0	2054.0	457.0	1193.0	5351.0	3506.0	1437.0	1263.0	6468.0	680.0	7554.0	3234.0	4109.0	8413.0	1647.0	8261.0	4435.0	1497.0	1153.0	7332.0	4566.0	8990.0	5582.0	6448.0	9283.0	6641.0	3473.0	9597.0
44	204	19	86	6530.0	340.0	2052.0	457.0	1192.0	5352.0	3504.0	1436.0	1262.0	6470.0	681.0	7554.0	3233.0	4109.0	8413.0	1646.0	8258.0	4435.0	1493.0	1152.0	7333.0	4568.0	8986.0	5581.0	6449.0	9282.0	6636.0	3474.0	9598.0
44	168	19	60	6473.0	382.0	2109.0	495.0	1095.0	5279.0	3601.0	1445.0	1277.0	6435.0	709.0	7578.0	3035.0	4095.0	8510.0	1649.0	8311.0	4470.0	1426.0	1157.0	7301.0	4479.0	8918.0	5571.0	6343.0	9287.0	6561.0	3509.0	9586.0
44	206	19	88	6528.0	337.0	2050.0	452.0	1192.0	5349.0	3500.0	1433.0	1262.0	6471.0	719.0	7555.0	3088.0	4106.0	8409.0	1645.0	8259.0	4434.0	1406.0	1150.0	7333.0	4569.0	8979.0	5580.0	6448.0	9278.0	6629.0	3472.0	9576.0
44	205	19	87	6529.0	339.0	2052.0	455.0	1192.0	5350.0	3502.0	1434.0	1262.0	6471.0	723.0	7555.0	3089.0	4108.0	8411.0	1646.0	8259.0	4435.0	1408.0	1151.0	7333.0	4569.0	8982.0	5581.0	6448.0	9280.0	6633.0	3473.0	9578.0
44	389	19	172	6532.0	335.0	1928.0	325.0	1162.0	5266.0	3410.0	1367.0	994.0	6362.0	637.0	7521.0	3100.0	4042.0	8356.0	1524.0	8215.0	4315.0	1259.0	1079.0	7262.0	4437.0	8641.0	5461.0	6213.0	9266.0	6569.0	3352.0	9464.0
44	385	19	169	6529.0	336.0	1930.0	325.0	1167.0	5268.0	3406.0	1364.0	996.0	6366.0	642.0	7522.0	3104.0	4044.0	8356.0	1532.0	8214.0	4318.0	1261.0	1080.0	7273.0	4436.0	8647.0	5465.0	6218.0	9266.0	6570.0	3350.0	9464.0
45	202	20	84	6532.0	345.0	2056.0	457.0	1194.0	5351.0	3506.0	1438.0	1263.0	6469.0	687.0	7554.0	3233.0	4109.0	8415.0	1647.0	8262.0	4437.0	1498.0	1153.0	7332.0	4567.0	8991.0	5583.0	6450.0	9284.0	6636.0	3472.0	9597.0
45	204	20	86	6530.0	342.0	2054.0	456.0	1193.0	5351.0	3505.0	1436.0	1262.0	6470.0	725.0	7554.0	3233.0	4110.0	8414.0	1645.0	8259.0	4437.0	1494.0	1152.0	7333.0	4569.0	8989.0	5582.0	6450.0	9282.0	6634.0	3473.0	9576.0
45	205	20	87	6529.0	341.0	2054.0	453.0	1193.0	5351.0	3503.0	1435.0	1262.0	6471.0	722.0	7555.0	3233.0	4109.0	8413.0	1646.0	8259.0	4438.0	1408.0	1151.0	7333.0	4570.0	8987.0	5581.0	6449.0	9281.0	6631.0	3472.0	9575.0
45	171	20	63	6526.0	367.0	2160.0	497.0	1106.0	5282.0	3625.0	1450.0	1276.0	6437.0	692.0	7575.0	3046.0	4095.0	8505.0	1650.0	8313.0	4471.0	1445.0	1154.0	7305.0	4480.0	8977.0	5572.0	6345.0	9283.0	6561.0	3512.0	9590.0
45	194	20	80	6530.0	350.0	2056.0	458.0	1197.0	5285.0	3519.0	1441.0	1263.0	6467.0	674.0	7553.0	3078.0	4105.0	8418.0	1645.0	8264.0	4438.0	1496.0	1152.0	7327.0	4524.0	9033.0	5586.0	6405.0	9282.0	6638.0	3544.0	9571.0
45	195	20	81	6530.0	349.0	2057.0	458.0	1196.0	5350.0	3516.0	1440.0	1263.0	6469.0	676.0	7554.0	3233.0	4107.0	8418.0	1646.0	8264.0	4439.0	1497.0	1152.0	7329.0	4565.0	9032.0	5585.0	6406.0	9284.0	6640.0	3472.0	9594.0
45	206	20	88	6528.0	339.0	2053.0	435.0	1194.0	5349.0	3502.0	1434.0	1262.0	6472.0	719.0	7556.0	3233.0	4107.0	8412.0	1646.0	8260.0	4439.0	1406.0	1150.0	7333.0	4570.0	8982.0	5580.0	6449.0	9279.0	6629.0	3470.0	9574.0
45	230	20	109	6513.0	331.0	1903.0	277.0	1196.0	5266.0	3417.0	1406.0	1165.0	6419.0	669.0	7516.0	3074.0	4075.0	8380.0	1582.0	8213.0	4388.0	1315.0	1099.0	7319.0	4463.0	8834.0	5552.0	6231.0	9272.0	6617.0	3351.0	9465.0
45	249	20	118	6520.0	334.0	1903.0	279.0	1195.0	5298.0	3411.0	1392.0	1144.0	6415.0	672.0	7529.0	3079.0	4062.0	8381.0	1587.0	8210.0	4386.0	1346.0	1099.0	7290.0	4435.0	8835.0	5561.0	6233.0	9282.0	6593.0	3355.0	9491.0
45	172	20	64	6527.0	365.0	2161.0	497.0	1296.0	5279.0	3628.0	1450.0	1275.0	6435.0	690.0	7562.0	3049.0	4095.0	8503.0	1648.0	8310.0	4471.0	1486.0	1153.0	7306.0	4480.0	8980.0	5574.0	6344.0	9280.0	6562.0	3514.0	9589.0
45	173	20	65	6527.0	364.0	2161.0	495.0	1295.0	5277.0	3588.0	1449.0	1274.0	6433.0	686.0	7560.0	3053.0	4094.0	8501.0	1646.0	8307.0	4472.0	1488.0	1152.0	7309.0	4479.0	8982.0	5574.0	6342.0	9275.0	6562.0	3517.0	9569.0
46	170	21	62	6525.0	378.0	2159.0	498.0	1097.0	5283.0	3623.0	1450.0	1277.0	6433.0	722.0	7577.0	3046.0	4095.0	8507.0	1650.0	8315.0	4471.0	1442.0	1153.0	7304.0	4480.0	8977.0	5571.0	6346.0	9286.0	6560.0	3510.0	9590.0
46	171	21	63	6526.0	366.0	2160.0	498.0	1103.0	5283.0	3626.0	1450.0	1277.0	6434.0	692.0	7576.0	3049.0	4095.0	8505.0	1650.0	8315.0	4472.0	1443.0	1152.0	7306.0	4479.0	8980.0	5571.0	6346.0	9285.0	6560.0	3512.0	9591.0
46	173	21	65	6527.0	364.0	2160.0	497.0	1296.0	5279.0	3634.0	1450.0	1275.0	6432.0	687.0	7561.0	3062.0	4095.0	8500.0	1647.0	8314.0	4474.0	1493.0	1151.0	7313.0	4477.0	8983.0	5573.0	6343.0	9279.0	6561.0	3521.0	9568.0
46	206	21	88	6529.0	341.0	2054.0	430.0	1195.0	5349.0	3503.0	1435.0	1261.0	6473.0	719.0	7556.0	3233.0	4105.0	8413.0	1645.0	8264.0	4441.0	1406.0	1150.0	7332.0	4572.0	8984.0	5580.0	6450.0	9280.0	6626.0	3463.0	9572.0
46	54	21	29	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	21	64	6527.0	365.0	2160.0	497.0	1103.0	5280.0	3630.0	1450.0	1275.0	6433.0	690.0	7562.0	3052.0	4095.0	8503.0	1649.0	8315.0	4472.0	1445.0	1152.0	7309.0	4479.0	8982.0	5573.0	6345.0	9282.0	6561.0	3514.0	9593.0
46	208	21	90	6527.0	337.0	2051.0	402.0	1195.0	5346.0	3501.0	1432.0	1209.0	6475.0	717.0	7559.0	3090.0	4077.0	8409.0	1644.0	8261.0	4441.0	1403.0	1149.0	7332.0	4571.0	8976.0	5578.0	6447.0	9276.0	6619.0	3458.0	9572.0
46	58	21	33	6692.0	20000.0	20000.0	786.0	1408.0	5414.0	20000.0	20000.0	20000.0	6686.0	751.0	7670.0	3017.0	4337.0	20000.0	1655.0	8347.0	4494.0	20000.0	20000.0	7315.0	4596.0	8916.0	5573.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	57	21	32	20000.0	20000.0	20000.0	20000.0	20000.0	5522.0	20000.0	20000.0	20000.0	20000.0	753.0	7733.0	3017.0	20000.0	20000.0	1658.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	8921.0	5776.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	54	22	29	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	206	22	88	6528.0	342.0	2054.0	424.0	1197.0	5349.0	3503.0	1436.0	1259.0	6473.0	718.0	7557.0	3233.0	4102.0	8415.0	1644.0	8266.0	4442.0	1405.0	1149.0	7332.0	4573.0	8987.0	5580.0	6451.0	9281.0	6624.0	3458.0	9571.0
47	207	22	89	6528.0	341.0	2053.0	421.0	1197.0	5348.0	3502.0	1435.0	1259.0	6474.0	717.0	7558.0	3098.0	4084.0	8413.0	1643.0	8265.0	4442.0	1404.0	1149.0	7332.0	4573.0	8982.0	5580.0	6449.0	9280.0	6621.0	3456.0	9571.0
47	208	22	90	6527.0	339.0	2052.0	397.0	1196.0	5346.0	3501.0	1433.0	1210.0	6475.0	717.0	7559.0	3093.0	4063.0	8412.0	1643.0	8264.0	4442.0	1403.0	1149.0	7332.0	4572.0	8978.0	5578.0	6447.0	9278.0	6616.0	3452.0	9571.0
47	173	22	65	6527.0	364.0	2159.0	497.0	1095.0	5280.0	3634.0	1451.0	1275.0	6430.0	686.0	7561.0	3070.0	4094.0	8500.0	1647.0	8320.0	4475.0	1445.0	1150.0	7318.0	4477.0	8984.0	5574.0	6345.0	9281.0	6557.0	3578.0	9567.0
47	226	22	105	6516.0	331.0	1903.0	374.0	1202.0	5265.0	3417.0	1419.0	1174.0	6431.0	674.0	7553.0	3077.0	4055.0	8381.0	1638.0	8255.0	4401.0	1394.0	1109.0	7322.0	4508.0	8840.0	5554.0	6236.0	9269.0	6614.0	3356.0	9472.0
47	205	22	87	6529.0	343.0	2056.0	426.0	1196.0	5350.0	3504.0	1436.0	1259.0	6473.0	720.0	7556.0	3233.0	4106.0	8416.0	1644.0	8264.0	4441.0	1406.0	1150.0	7332.0	4572.0	8989.0	5581.0	6454.0	9283.0	6626.0	3461.0	9572.0
47	195	22	81	6529.0	349.0	2059.0	457.0	1299.0	5346.0	3519.0	1443.0	1261.0	6470.0	675.0	7554.0	3231.0	4104.0	8420.0	1643.0	8267.0	4441.0	1498.0	1152.0	7328.0	4521.0	9031.0	5582.0	6477.0	9286.0	6633.0	3469.0	9568.0
47	230	22	109	6515.0	332.0	1902.0	277.0	1197.0	5268.0	3450.0	1408.0	1169.0	6427.0	671.0	7556.0	3076.0	4071.0	8379.0	1590.0	8217.0	4398.0	1394.0	1103.0	7322.0	4500.0	8839.0	5561.0	6235.0	9274.0	6617.0	3352.0	9469.0
47	191	22	77	6525.0	351.0	2058.0	487.0	1294.0	5281.0	3541.0	1446.0	1261.0	6447.0	669.0	7554.0	3078.0	4100.0	8422.0	1640.0	8268.0	4441.0	1495.0	1151.0	7324.0	4510.0	9032.0	5586.0	6344.0	9282.0	6635.0	3608.0	9563.0
47	52	22	27	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
48	226	23	105	6516.0	331.0	1903.0	372.0	1219.0	5270.0	3417.0	1419.0	1174.0	6432.0	674.0	7555.0	3078.0	4065.0	8380.0	1637.0	8258.0	4433.0	1395.0	1112.0	7324.0	4511.0	8843.0	5559.0	6240.0	9269.0	6614.0	3357.0	9475.0
48	52	23	27	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
48	208	23	90	6527.0	340.0	2053.0	394.0	1198.0	5345.0	3503.0	1434.0	1210.0	6473.0	717.0	7560.0	3095.0	4064.0	8413.0	1642.0	8268.0	4444.0	1403.0	1148.0	7332.0	4575.0	8979.0	5578.0	6447.0	9279.0	6614.0	3449.0	9571.0
48	222	23	102	6519.0	331.0	1904.0	374.0	1225.0	5339.0	3416.0	1422.0	1177.0	6436.0	689.0	7555.0	3079.0	4060.0	8383.0	1636.0	8260.0	4433.0	1396.0	1143.0	7325.0	4526.0	8880.0	5553.0	6258.0	9267.0	6606.0	3364.0	9576.0
48	221	23	101	6520.0	330.0	1904.0	375.0	1227.0	5338.0	3415.0	1422.0	1180.0	6437.0	712.0	7555.0	3080.0	4054.0	8383.0	1636.0	8261.0	4434.0	1395.0	1143.0	7325.0	4561.0	8895.0	5553.0	6365.0	9265.0	6597.0	3452.0	9577.0
49	208	24	90	6527.0	341.0	2053.0	391.0	1252.0	5344.0	3502.0	1434.0	1211.0	6472.0	717.0	7560.0	3096.0	4057.0	8414.0	1641.0	8270.0	4445.0	1403.0	1147.0	7331.0	4576.0	8979.0	5578.0	6417.0	9281.0	6601.0	3447.0	9569.0
49	221	24	101	6521.0	331.0	1904.0	374.0	1232.0	5339.0	3416.0	1423.0	1182.0	6437.0	709.0	7558.0	3081.0	4054.0	8384.0	1635.0	8263.0	4439.0	1396.0	1145.0	7326.0	4563.0	8896.0	5554.0	6365.0	9267.0	6596.0	3450.0	9577.0
49	217	24	97	6523.0	331.0	1907.0	379.0	1241.0	5339.0	3418.0	1426.0	1199.0	6469.0	697.0	7561.0	3086.0	4052.0	8388.0	1636.0	8265.0	4440.0	1398.0	1145.0	7327.0	4564.0	8903.0	5561.0	6367.0	9269.0	6591.0	3447.0	9576.0
49	177	24	67	6525.0	361.0	2059.0	494.0	1089.0	5278.0	3586.0	1449.0	1272.0	6425.0	683.0	7558.0	3093.0	4092.0	8493.0	1641.0	8365.0	4454.0	1370.0	1148.0	7301.0	4473.0	8881.0	5578.0	6333.0	9278.0	6547.0	3571.0	9561.0
49	54	24	29	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
50	177	25	67	6525.0	361.0	2059.0	494.0	1088.0	5279.0	3587.0	1449.0	1265.0	6424.0	683.0	7558.0	3097.0	4092.0	8493.0	1639.0	8363.0	4455.0	1364.0	1148.0	7298.0	4472.0	8870.0	5577.0	6329.0	9282.0	6537.0	3355.0	9559.0
50	213	25	95	6524.0	334.0	1906.0	379.0	1242.0	5340.0	3417.0	1430.0	1203.0	6470.0	692.0	7563.0	3088.0	4052.0	8389.0	1636.0	8268.0	4443.0	1399.0	1145.0	7327.0	4567.0	8952.0	5563.0	6367.0	9270.0	6590.0	3440.0	9574.0
51	213	26	95	6524.0	334.0	1904.0	377.0	1239.0	5340.0	3415.0	1430.0	1204.0	6469.0	658.0	7564.0	3088.0	4051.0	8389.0	1636.0	8269.0	4444.0	1399.0	1145.0	7327.0	4567.0	8905.0	5566.0	6369.0	9269.0	6588.0	3436.0	9502.0
51	210	26	92	6525.0	339.0	1906.0	381.0	1245.0	5342.0	3417.0	1432.0	1208.0	6470.0	693.0	7563.0	3093.0	4053.0	8412.0	1638.0	8271.0	4446.0	1401.0	1146.0	7328.0	4575.0	8956.0	5576.0	6400.0	9275.0	6592.0	3441.0	9571.0
51	256	26	125	6507.0	353.0	1906.0	338.0	1153.0	5271.0	3402.0	1375.0	1079.0	6409.0	650.0	7525.0	3081.0	4045.0	8365.0	1639.0	8253.0	4348.0	1317.0	1100.0	7270.0	4445.0	8858.0	5551.0	6245.0	9273.0	6595.0	3334.0	9482.0
51	257	26	126	6510.0	353.0	1906.0	339.0	1152.0	5271.0	3401.0	1375.0	1077.0	6408.0	651.0	7525.0	3081.0	4048.0	8364.0	1639.0	8254.0	4348.0	1315.0	1098.0	7270.0	4446.0	8858.0	5548.0	6245.0	9272.0	6590.0	3335.0	9480.0
52	210	27	92	6525.0	339.0	1906.0	380.0	1242.0	5342.0	3416.0	1432.0	1210.0	6470.0	659.0	7563.0	3093.0	4052.0	8411.0	1637.0	8272.0	4446.0	1399.0	1145.0	7327.0	4576.0	8956.0	5575.0	6397.0	9273.0	6590.0	3440.0	9574.0
52	257	27	126	6510.0	352.0	1906.0	338.0	1153.0	5272.0	3403.0	1374.0	1083.0	6407.0	652.0	7526.0	3079.0	4048.0	8365.0	1639.0	8252.0	4348.0	1314.0	1098.0	7270.0	4449.0	8857.0	5547.0	6245.0	9271.0	6589.0	3335.0	9481.0
52	208	27	90	6526.0	341.0	1907.0	384.0	1247.0	5343.0	3419.0	1433.0	1212.0	6469.0	689.0	7561.0	3096.0	4053.0	8413.0	1637.0	8274.0	4446.0	1400.0	1145.0	7328.0	4580.0	8987.0	5577.0	6407.0	9281.0	6592.0	3442.0	9565.0
52	209	27	91	6526.0	340.0	1906.0	382.0	1244.0	5343.0	3416.0	1433.0	1211.0	6469.0	693.0	7562.0	3095.0	4052.0	8412.0	1637.0	8273.0	4447.0	1400.0	1145.0	7328.0	4579.0	8977.0	5576.0	6401.0	9278.0	6592.0	3441.0	9565.0
52	213	27	95	6524.0	334.0	1903.0	375.0	1236.0	5339.0	3412.0	1429.0	1207.0	6468.0	656.0	7564.0	3090.0	4050.0	8391.0	1635.0	8270.0	4444.0	1397.0	1144.0	7326.0	4567.0	8904.0	5566.0	6369.0	9268.0	6586.0	3436.0	9501.0
52	256	27	125	6508.0	352.0	1906.0	337.0	1154.0	5272.0	3403.0	1375.0	1083.0	6408.0	650.0	7525.0	3080.0	4042.0	8367.0	1638.0	8251.0	4348.0	1315.0	1100.0	7270.0	4447.0	8857.0	5548.0	6244.0	9272.0	6591.0	3334.0	9482.0
52	57	27	32	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
53	256	28	125	6511.0	353.0	1908.0	338.0	1157.0	5273.0	3405.0	1377.0	1087.0	6416.0	654.0	7530.0	3080.0	4047.0	8369.0	1639.0	8246.0	4352.0	1318.0	1102.0	7272.0	4449.0	8856.0	5550.0	6244.0	9271.0	6589.0	3339.0	9484.0
53	257	28	126	6514.0	353.0	1908.0	338.0	1155.0	5273.0	3405.0	1376.0	1087.0	6411.0	655.0	7531.0	3079.0	4049.0	8367.0	1639.0	8249.0	4353.0	1317.0	1101.0	7272.0	4450.0	8856.0	5549.0	6245.0	9270.0	6588.0	3340.0	9483.0
53	57	28	32	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
53	373	28	159	6525.0	347.0	1959.0	320.0	1175.0	5272.0	3411.0	1353.0	990.0	6392.0	648.0	7524.0	3063.0	4035.0	8355.0	1538.0	8238.0	4330.0	1313.0	1093.0	7261.0	4448.0	8836.0	5543.0	6209.0	9262.0	6577.0	3330.0	9456.0
54	208	29	90	6526.0	340.0	1910.0	383.0	1199.0	5344.0	3434.0	1430.0	1214.0	6469.0	691.0	7560.0	3098.0	4052.0	8411.0	1637.0	8274.0	4446.0	1399.0	1145.0	7327.0	4581.0	8991.0	5576.0	6404.0	9277.0	6590.0	3443.0	9565.0
54	58	29	33	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
