alnA	alnB	A	B	YOR094W_63	YOR094W_09	YOR094W_48	YOR094W_26	YOR094W_32	YOR094W_02	YOR094W_39	YOR094W_20	YOR094W_22	YOR094W_10	YOR094W_03	YOR094W_56	YOR094W_17	YOR094W_29	YOR094W_49	YOR094W_16	YOR094W_33	YOR094W_47	YOR094W_07	YOR094W_18	YOR094W_37	YOR094W_57	YOR094W_14	YOR094W_59	YOR094W_11	YOR094W_67	YOR094W_13	YOR094W_19	YOR094W_55	YOR094W_12	YOR094W_70	YOR094W_66	YOR094W_15	YOR094W_06	YOR094W_21	YOR094W_62	YOR094W_31	YOR094W_36	YOR094W_51	YOR094W_45	YOR094W_04	YOR094W_23	YOR094W_01	YOR094W_52	YOR094W_64
38	389	16	172	8865.0	7824.0	400.0	4852.0	3277.0	1024.0	3322.0	5381.0	7093.0	6927.0	2269.0	5965.0	1375.0	8062.0	1709.0	2281.0	1813.0	3264.0	3624.0	66.0	250.0	4922.0	3920.0	1915.0	7348.0	7395.0	2225.0	5857.0	1953.0	252.0	3641.0	2065.0	1302.0	1551.0	294.0	8235.0	4046.0	4343.0	2877.0	7359.0	6632.0	4142.0	591.0	7482.0	2369.0
38	390	16	173	8865.0	7823.0	400.0	4854.0	3277.0	1024.0	3323.0	5380.0	7094.0	6926.0	2269.0	5964.0	1375.0	8066.0	1709.0	2280.0	1813.0	3265.0	3624.0	65.0	251.0	4920.0	3919.0	1915.0	7348.0	7395.0	2226.0	5876.0	1954.0	252.0	3641.0	2065.0	1302.0	1552.0	295.0	8234.0	4046.0	4345.0	2877.0	7360.0	6633.0	4143.0	591.0	7481.0	2368.0
38	170	16	61	8961.0	7902.0	435.0	4884.0	3211.0	1233.0	3477.0	5325.0	7179.0	7076.0	2295.0	6231.0	1389.0	8143.0	1815.0	2526.0	2095.0	3413.0	3764.0	98.0	439.0	5079.0	4138.0	2220.0	7377.0	7356.0	2337.0	5930.0	2078.0	344.0	3628.0	2311.0	1575.0	1557.0	396.0	8340.0	4302.0	4425.0	3041.0	7441.0	6696.0	4246.0	697.0	7634.0	2543.0
43	203	17	84	8914.0	7968.0	380.0	4816.0	3274.0	1121.0	3338.0	5403.0	7132.0	6969.0	2287.0	6069.0	1442.0	8125.0	1760.0	2583.0	2010.0	3417.0	3755.0	89.0	370.0	5051.0	4107.0	2072.0	7387.0	7383.0	2323.0	5890.0	2105.0	293.0	3660.0	2263.0	1512.0	1556.0	390.0	8359.0	4248.0	4400.0	2947.0	7418.0	6635.0	4234.0	694.0	7616.0	2408.0
43	169	17	60	8962.0	7903.0	435.0	4885.0	3239.0	1236.0	3477.0	5323.0	7181.0	7077.0	2296.0	6233.0	1390.0	8141.0	1816.0	2526.0	2095.0	3413.0	3763.0	98.0	441.0	5127.0	4138.0	2223.0	7377.0	7356.0	2407.0	5930.0	2078.0	345.0	3629.0	2310.0	1576.0	1561.0	399.0	8341.0	4304.0	4427.0	3041.0	7441.0	6697.0	4246.0	698.0	7638.0	2543.0
43	198	17	82	8916.0	7968.0	388.0	4816.0	3274.0	1121.0	3363.0	5407.0	7132.0	6971.0	2297.0	6070.0	1443.0	8126.0	1761.0	2583.0	2013.0	3415.0	3758.0	90.0	367.0	5047.0	4105.0	2072.0	7387.0	7380.0	2323.0	5892.0	2104.0	293.0	3660.0	2264.0	1511.0	1555.0	389.0	8365.0	4247.0	4399.0	2948.0	7418.0	6636.0	4233.0	696.0	7618.0	2411.0
43	202	17	83	8915.0	7968.0	381.0	4816.0	3274.0	1121.0	3364.0	5406.0	7133.0	6970.0	2299.0	6070.0	1442.0	8125.0	1760.0	2582.0	2012.0	3416.0	3756.0	89.0	369.0	5049.0	4106.0	2071.0	7384.0	7380.0	2323.0	5891.0	2104.0	293.0	3659.0	2263.0	1512.0	1556.0	389.0	8363.0	4247.0	4400.0	2946.0	7418.0	6635.0	4234.0	696.0	7617.0	2410.0
43	171	17	62	8961.0	7904.0	442.0	4883.0	3212.0	1234.0	3478.0	5327.0	7179.0	7075.0	2297.0	6234.0	1391.0	8143.0	1822.0	2526.0	2100.0	3414.0	3769.0	101.0	441.0	5082.0	4136.0	2220.0	7380.0	7356.0	2409.0	5943.0	2079.0	344.0	3630.0	2310.0	1576.0	1558.0	394.0	8343.0	4303.0	4425.0	3042.0	7443.0	6697.0	4248.0	697.0	7636.0	2646.0
43	204	17	85	8913.0	7967.0	382.0	4816.0	3273.0	1121.0	3336.0	5401.0	7131.0	6967.0	2278.0	6068.0	1441.0	8124.0	1759.0	2582.0	2008.0	3417.0	3754.0	88.0	372.0	5054.0	4039.0	2071.0	7387.0	7394.0	2323.0	5889.0	2105.0	292.0	3660.0	2262.0	1512.0	1555.0	390.0	8358.0	4248.0	4400.0	2947.0	7417.0	6634.0	4233.0	692.0	7615.0	2406.0
44	169	18	60	8963.0	7905.0	437.0	4884.0	3242.0	1237.0	3478.0	5324.0	7183.0	7078.0	2297.0	6236.0	1390.0	8139.0	1824.0	2527.0	2098.0	3412.0	3763.0	97.0	442.0	5128.0	4137.0	2225.0	7378.0	7356.0	2410.0	5932.0	2078.0	346.0	3629.0	2311.0	1577.0	1563.0	396.0	8343.0	4305.0	4429.0	3042.0	7443.0	6698.0	4247.0	699.0	7639.0	2543.0
44	170	18	61	8963.0	7905.0	441.0	4884.0	3244.0	1235.0	3479.0	5327.0	7183.0	7078.0	2298.0	6243.0	1391.0	8141.0	1823.0	2527.0	2100.0	3413.0	3767.0	99.0	442.0	5127.0	4136.0	2224.0	7380.0	7357.0	2411.0	5943.0	2079.0	346.0	3630.0	2310.0	1577.0	1564.0	394.0	8344.0	4305.0	4428.0	3043.0	7443.0	6698.0	4249.0	698.0	7638.0	2544.0
44	171	18	62	8962.0	7906.0	444.0	4883.0	3246.0	1234.0	3479.0	5329.0	7180.0	7076.0	2298.0	6243.0	1392.0	8141.0	1823.0	2526.0	2102.0	3414.0	3770.0	101.0	442.0	5127.0	4134.0	2222.0	7382.0	7358.0	2413.0	6060.0	2081.0	346.0	3632.0	2310.0	1577.0	1566.0	393.0	8345.0	4305.0	4427.0	3043.0	7444.0	6698.0	4250.0	698.0	7638.0	2655.0
44	202	18	83	8916.0	7969.0	399.0	4819.0	3273.0	1123.0	3374.0	5405.0	7135.0	7032.0	2302.0	6072.0	1443.0	8125.0	1763.0	2582.0	2013.0	3417.0	3758.0	90.0	371.0	5052.0	4107.0	2072.0	7389.0	7390.0	2324.0	5893.0	2107.0	294.0	3661.0	2264.0	1511.0	1557.0	389.0	8392.0	4249.0	4402.0	2949.0	7419.0	6636.0	4234.0	699.0	7616.0	2416.0
44	204	18	85	8915.0	7969.0	395.0	4818.0	3273.0	1124.0	3374.0	5400.0	7133.0	6970.0	2298.0	6070.0	1442.0	8124.0	1760.0	2582.0	2009.0	3418.0	3755.0	89.0	373.0	5056.0	4040.0	2071.0	7389.0	7393.0	2324.0	5891.0	2108.0	294.0	3661.0	2263.0	1511.0	1556.0	390.0	8361.0	4250.0	4404.0	2949.0	7418.0	6634.0	4233.0	696.0	7615.0	2410.0
44	168	18	59	8963.0	7903.0	434.0	4885.0	3239.0	1237.0	3478.0	5322.0	7183.0	7078.0	2296.0	6233.0	1389.0	8139.0	1812.0	2526.0	2095.0	3411.0	3761.0	96.0	440.0	5127.0	4137.0	2225.0	7376.0	7356.0	2408.0	5929.0	2076.0	346.0	3628.0	2310.0	1576.0	1562.0	399.0	8342.0	4304.0	4428.0	3040.0	7441.0	6698.0	4245.0	698.0	7639.0	2542.0
44	206	18	87	8913.0	7969.0	376.0	4810.0	3271.0	1123.0	3374.0	5395.0	7132.0	6972.0	2277.0	6067.0	1443.0	8122.0	1757.0	2582.0	2007.0	3418.0	3752.0	89.0	375.0	5058.0	4038.0	2071.0	7394.0	7390.0	2324.0	5889.0	2110.0	296.0	3660.0	2258.0	1508.0	1557.0	389.0	8358.0	4249.0	4403.0	2948.0	7417.0	6633.0	4231.0	692.0	7614.0	2406.0
44	205	18	86	8914.0	7969.0	395.0	4817.0	3273.0	1124.0	3374.0	5399.0	7132.0	6971.0	2277.0	6069.0	1443.0	8123.0	1758.0	2582.0	2008.0	3418.0	3753.0	89.0	374.0	5057.0	4038.0	2071.0	7393.0	7393.0	2324.0	5890.0	2109.0	295.0	3661.0	2262.0	1511.0	1557.0	389.0	8359.0	4249.0	4404.0	2948.0	7418.0	6634.0	4232.0	694.0	7614.0	2407.0
44	389	18	172	8865.0	7830.0	401.0	4849.0	3275.0	1028.0	3322.0	5379.0	7094.0	6935.0	2269.0	5962.0	1378.0	8061.0	1712.0	2280.0	1818.0	3268.0	3626.0	70.0	252.0	4926.0	3918.0	1918.0	7348.0	7393.0	2228.0	5870.0	1955.0	252.0	3630.0	2066.0	1305.0	1554.0	297.0	8240.0	4049.0	4345.0	2879.0	7359.0	6584.0	4146.0	592.0	7484.0	2377.0
44	385	18	169	8867.0	7826.0	405.0	4841.0	3275.0	1024.0	3322.0	5388.0	7092.0	6936.0	2271.0	5964.0	1379.0	8059.0	1708.0	2281.0	1820.0	3272.0	3627.0	70.0	251.0	4929.0	3923.0	1923.0	7353.0	7392.0	2231.0	5847.0	1957.0	251.0	3629.0	2065.0	1308.0	1560.0	299.0	8239.0	4051.0	4348.0	2881.0	7361.0	6578.0	4148.0	591.0	7489.0	2383.0
45	202	19	83	8917.0	7970.0	403.0	4821.0	3271.0	1143.0	3427.0	5404.0	7139.0	7034.0	2302.0	6074.0	1445.0	8124.0	1767.0	2582.0	2014.0	3417.0	3758.0	91.0	371.0	5057.0	4109.0	2072.0	7395.0	7389.0	2326.0	5896.0	2109.0	296.0	3664.0	2264.0	1511.0	1558.0	389.0	8393.0	4249.0	4403.0	2951.0	7420.0	6635.0	4233.0	701.0	7615.0	2426.0
45	204	19	85	8916.0	7970.0	398.0	4821.0	3272.0	1127.0	3381.0	5400.0	7134.0	6973.0	2298.0	6072.0	1444.0	8123.0	1764.0	2582.0	2010.0	3418.0	3755.0	90.0	374.0	5059.0	4040.0	2071.0	7394.0	7391.0	2326.0	5892.0	2109.0	296.0	3664.0	2263.0	1507.0	1558.0	389.0	8365.0	4250.0	4405.0	2950.0	7419.0	6634.0	4232.0	698.0	7614.0	2426.0
45	205	19	86	8915.0	7971.0	398.0	4819.0	3272.0	1128.0	3377.0	5399.0	7134.0	7033.0	2277.0	6071.0	1444.0	8123.0	1759.0	2582.0	2009.0	3419.0	3753.0	90.0	375.0	5060.0	4037.0	2070.0	7395.0	7390.0	2326.0	5891.0	2111.0	297.0	3663.0	2261.0	1505.0	1558.0	389.0	8362.0	4250.0	4405.0	2950.0	7419.0	6633.0	4231.0	696.0	7614.0	2413.0
45	171	19	62	8963.0	7909.0	445.0	4882.0	3249.0	1234.0	3481.0	5329.0	7183.0	7078.0	2300.0	6245.0	1393.0	8137.0	1823.0	2525.0	2107.0	3414.0	3770.0	101.0	443.0	5128.0	4133.0	2224.0	7383.0	7358.0	2416.0	6064.0	2081.0	347.0	3633.0	2310.0	1579.0	1571.0	392.0	8347.0	4306.0	4429.0	3043.0	7445.0	6698.0	4251.0	699.0	7640.0	2655.0
45	194	19	79	8920.0	7966.0	438.0	4821.0	3265.0	1148.0	3339.0	5412.0	7142.0	7034.0	2305.0	6079.0	1502.0	8126.0	1772.0	2583.0	2023.0	3415.0	3761.0	93.0	371.0	5046.0	4042.0	2074.0	7389.0	7381.0	2324.0	5957.0	2110.0	302.0	3667.0	2267.0	1506.0	1558.0	386.0	8394.0	4253.0	4405.0	2953.0	7422.0	6642.0	4251.0	701.0	7618.0	2427.0
45	195	19	80	8920.0	7968.0	437.0	4822.0	3267.0	1146.0	3435.0	5410.0	7142.0	7034.0	2305.0	6077.0	1449.0	8126.0	1771.0	2583.0	2020.0	3416.0	3761.0	93.0	371.0	5049.0	4109.0	2074.0	7390.0	7381.0	2325.0	5957.0	2110.0	301.0	3667.0	2266.0	1507.0	1559.0	387.0	8394.0	4250.0	4405.0	2954.0	7420.0	6639.0	4249.0	701.0	7618.0	2426.0
45	206	19	87	8915.0	7971.0	398.0	4818.0	3270.0	1136.0	3376.0	5395.0	7134.0	7033.0	2278.0	6069.0	1444.0	8122.0	1757.0	2582.0	2008.0	3419.0	3752.0	90.0	376.0	5061.0	4036.0	2070.0	7395.0	7389.0	2326.0	5890.0	2112.0	298.0	3662.0	2256.0	1498.0	1560.0	389.0	8360.0	4249.0	4404.0	2949.0	7419.0	6632.0	4230.0	694.0	7613.0	2410.0
45	230	19	108	8921.0	7861.0	361.0	4792.0	3260.0	1112.0	3327.0	5384.0	7114.0	6964.0	2248.0	6054.0	1392.0	8072.0	1716.0	2404.0	1952.0	3394.0	3724.0	57.0	282.0	5055.0	3942.0	2055.0	7283.0	7354.0	2294.0	5847.0	2032.0	315.0	3654.0	2150.0	1461.0	1551.0	372.0	8284.0	4162.0	4394.0	2921.0	7409.0	6632.0	4234.0	578.0	7586.0	2373.0
45	249	19	117	8914.0	7844.0	364.0	4787.0	3256.0	1107.0	3326.0	5381.0	7103.0	6959.0	2267.0	6054.0	1396.0	8072.0	1719.0	2361.0	1951.0	3396.0	3700.0	61.0	286.0	5016.0	3936.0	2055.0	7368.0	7393.0	2320.0	5851.0	2139.0	272.0	3591.0	2089.0	1435.0	1551.0	382.0	8282.0	4166.0	4423.0	2934.0	7412.0	6647.0	4223.0	583.0	7568.0	2372.0
45	172	19	63	8961.0	7912.0	446.0	4881.0	3253.0	1233.0	3483.0	5330.0	7179.0	7077.0	2300.0	6244.0	1394.0	8139.0	1823.0	2525.0	2108.0	3415.0	3772.0	102.0	442.0	5127.0	4129.0	2222.0	7384.0	7358.0	2421.0	6061.0	2083.0	347.0	3634.0	2309.0	1579.0	1575.0	388.0	8347.0	4306.0	4427.0	3043.0	7445.0	6697.0	4252.0	698.0	7639.0	2656.0
45	173	19	64	8960.0	8006.0	447.0	4874.0	3283.0	1232.0	3343.0	5330.0	7161.0	7076.0	2301.0	6243.0	1396.0	8137.0	1823.0	2523.0	2110.0	3416.0	3774.0	102.0	442.0	5126.0	4127.0	2168.0	7384.0	7359.0	2471.0	6059.0	2131.0	346.0	3636.0	2309.0	1516.0	1577.0	386.0	8346.0	4306.0	4426.0	3044.0	7445.0	6696.0	4254.0	697.0	7638.0	2656.0
46	170	20	61	8964.0	7909.0	445.0	4883.0	3249.0	1235.0	3481.0	5329.0	7186.0	7080.0	2300.0	6254.0	1392.0	8135.0	1826.0	2526.0	2111.0	3414.0	3768.0	100.0	442.0	5129.0	4132.0	2225.0	7382.0	7357.0	2416.0	6066.0	2079.0	353.0	3632.0	2311.0	1579.0	1571.0	393.0	8347.0	4307.0	4431.0	3043.0	7445.0	6699.0	4250.0	700.0	7643.0	2542.0
46	171	20	62	8963.0	7913.0	446.0	4882.0	3252.0	1233.0	3483.0	5330.0	7185.0	7079.0	2301.0	6253.0	1393.0	8135.0	1825.0	2525.0	2111.0	3415.0	3771.0	101.0	443.0	5129.0	4130.0	2224.0	7384.0	7358.0	2431.0	6065.0	2081.0	352.0	3634.0	2311.0	1580.0	1576.0	391.0	8348.0	4307.0	4431.0	3043.0	7446.0	6699.0	4252.0	700.0	7643.0	2655.0
46	173	20	64	8961.0	7988.0	448.0	4877.0	3280.0	1231.0	3345.0	5333.0	7159.0	7078.0	2302.0	6245.0	1397.0	8130.0	1824.0	2523.0	2114.0	3417.0	3779.0	102.0	443.0	5127.0	4127.0	2168.0	7385.0	7360.0	2472.0	6062.0	2131.0	350.0	3638.0	2310.0	1516.0	1579.0	383.0	8347.0	4308.0	4429.0	3044.0	7446.0	6676.0	4255.0	698.0	7639.0	2656.0
46	206	20	87	8916.0	7971.0	399.0	4819.0	3270.0	1137.0	3379.0	5398.0	7135.0	7034.0	2284.0	6071.0	1446.0	8121.0	1757.0	2581.0	2009.0	3420.0	3751.0	91.0	378.0	5062.0	4034.0	2070.0	7398.0	7387.0	2332.0	5891.0	2114.0	301.0	3667.0	2255.0	1490.0	1563.0	389.0	8364.0	4251.0	4406.0	2951.0	7420.0	6633.0	4229.0	698.0	7612.0	2431.0
46	54	20	28	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	20	63	8962.0	8007.0	447.0	4881.0	3280.0	1232.0	3515.0	5331.0	7162.0	7078.0	2302.0	6250.0	1395.0	8136.0	1824.0	2524.0	2111.0	3416.0	3773.0	102.0	443.0	5128.0	4128.0	2223.0	7385.0	7359.0	2470.0	6064.0	2084.0	351.0	3636.0	2310.0	1581.0	1579.0	387.0	8347.0	4307.0	4429.0	3044.0	7446.0	6698.0	4254.0	699.0	7642.0	2656.0
46	208	20	89	8915.0	7971.0	377.0	4809.0	3267.0	1136.0	3377.0	5393.0	7135.0	7034.0	2277.0	6069.0	1445.0	8118.0	1732.0	2581.0	2008.0	3420.0	3744.0	90.0	382.0	5065.0	4030.0	2069.0	7373.0	7377.0	2325.0	5890.0	2115.0	304.0	3662.0	2211.0	1486.0	1574.0	388.0	8359.0	4251.0	4402.0	2951.0	7419.0	6631.0	4226.0	696.0	7610.0	2408.0
46	58	20	32	20000.0	8220.0	20000.0	5085.0	3485.0	1451.0	20000.0	20000.0	20000.0	7180.0	20000.0	20000.0	1398.0	20000.0	1840.0	2554.0	2196.0	3519.0	20000.0	132.0	458.0	5283.0	20000.0	20000.0	7459.0	20000.0	2409.0	20000.0	2252.0	20000.0	3643.0	2449.0	20000.0	1888.0	20000.0	8501.0	20000.0	20000.0	3298.0	7670.0	20000.0	20000.0	20000.0	7801.0	20000.0
46	57	20	31	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	7187.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	2206.0	3524.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	2411.0	20000.0	2255.0	20000.0	3707.0	2451.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	7805.0	20000.0
47	54	21	28	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	206	21	87	8917.0	7972.0	401.0	4821.0	3269.0	1137.0	3382.0	5394.0	7136.0	7036.0	2277.0	6073.0	1449.0	8120.0	1749.0	2581.0	2010.0	3420.0	3749.0	91.0	381.0	5065.0	4032.0	2068.0	7398.0	7386.0	2482.0	5891.0	2115.0	303.0	3669.0	2249.0	1488.0	1567.0	388.0	8387.0	4251.0	4406.0	2954.0	7421.0	6632.0	4227.0	702.0	7611.0	2433.0
47	207	21	88	8917.0	7972.0	400.0	4819.0	3268.0	1137.0	3381.0	5393.0	7135.0	7036.0	2277.0	6072.0	1448.0	8118.0	1732.0	2580.0	2010.0	3421.0	3743.0	91.0	382.0	5066.0	4030.0	2067.0	7372.0	7381.0	2340.0	5891.0	2115.0	305.0	3667.0	2226.0	1487.0	1573.0	388.0	8365.0	4251.0	4405.0	2953.0	7420.0	6632.0	4224.0	701.0	7610.0	2433.0
47	208	21	89	8916.0	7971.0	401.0	4812.0	3265.0	1136.0	3378.0	5393.0	7135.0	7036.0	2277.0	6070.0	1448.0	8111.0	1731.0	2580.0	2009.0	3421.0	3740.0	91.0	384.0	5066.0	4029.0	2066.0	7371.0	7376.0	2330.0	5891.0	2116.0	307.0	3666.0	2202.0	1485.0	1578.0	387.0	8361.0	4252.0	4402.0	2953.0	7420.0	6631.0	4224.0	700.0	7608.0	2432.0
47	173	21	64	8962.0	7986.0	450.0	4879.0	3277.0	1230.0	3515.0	5334.0	7156.0	7079.0	2304.0	6250.0	1399.0	8128.0	1825.0	2522.0	2129.0	3418.0	3781.0	103.0	444.0	5128.0	4127.0	2168.0	7386.0	7361.0	2475.0	6064.0	2084.0	354.0	3639.0	2310.0	1516.0	1579.0	381.0	8347.0	4310.0	4431.0	3044.0	7446.0	6676.0	4257.0	699.0	7630.0	2655.0
47	226	21	104	8918.0	7894.0	363.0	4792.0	3255.0	1116.0	3372.0	5390.0	7126.0	6974.0	2272.0	6057.0	1394.0	8076.0	1717.0	2403.0	1957.0	3397.0	3724.0	65.0	384.0	5058.0	3964.0	2052.0	7337.0	7353.0	2294.0	5850.0	2097.0	316.0	3647.0	2153.0	1471.0	1556.0	372.0	8274.0	4244.0	4396.0	2980.0	7410.0	6618.0	4234.0	590.0	7586.0	2400.0
47	205	21	86	8917.0	7972.0	402.0	4822.0	3270.0	1138.0	3384.0	5399.0	7136.0	7036.0	2275.0	6074.0	1448.0	8121.0	1758.0	2581.0	2011.0	3420.0	3751.0	91.0	378.0	5063.0	4033.0	2069.0	7399.0	7387.0	2480.0	5893.0	2114.0	302.0	3669.0	2255.0	1496.0	1562.0	388.0	8388.0	4253.0	4408.0	2954.0	7421.0	6633.0	4228.0	702.0	7612.0	2433.0
47	195	21	80	8923.0	7968.0	442.0	4828.0	3263.0	1148.0	3436.0	5415.0	7141.0	7039.0	2310.0	6085.0	1456.0	8125.0	1812.0	2582.0	2136.0	3416.0	3763.0	94.0	374.0	5064.0	4114.0	2075.0	7394.0	7384.0	2564.0	6034.0	2113.0	305.0	3668.0	2205.0	1501.0	1564.0	386.0	8396.0	4259.0	4432.0	2962.0	7426.0	6650.0	4248.0	703.0	7615.0	2433.0
47	230	21	108	8923.0	7894.0	363.0	4794.0	3259.0	1114.0	3370.0	5387.0	7115.0	6970.0	2273.0	6063.0	1394.0	8074.0	1715.0	2402.0	1956.0	3398.0	3720.0	60.0	322.0	5024.0	3963.0	2055.0	7341.0	7354.0	2317.0	5849.0	2105.0	316.0	3655.0	2151.0	1465.0	1556.0	371.0	8346.0	4292.0	4396.0	2978.0	7410.0	6625.0	4233.0	590.0	7590.0	2383.0
