alnA	alnB	A	B	YKR014C_44	YKR014C_69	YKR014C_10	YKR014C_62	YKR014C_08	YKR014C_49	YKR014C_12	YKR014C_11	YKR014C_06	YKR014C_52	YKR014C_50	YKR014C_70	YKR014C_67	YKR014C_28	YKR014C_61	YKR014C_34	YKR014C_43	YKR014C_01	YKR014C_32	YKR014C_30	YKR014C_21	YKR014C_56	YKR014C_13	YKR014C_64	YKR014C_55	YKR014C_15	YKR014C_36	YKR014C_18	YKR014C_51	YKR014C_05	YKR014C_47	YKR014C_20	YKR014C_31	YKR014C_26	YKR014C_29	YKR014C_33	YKR014C_38	YKR014C_40	YKR014C_66	YKR014C_25	YKR014C_39	YKR014C_58	YKR014C_19	YKR014C_24	YKR014C_42	YKR014C_41	YKR014C_63	YKR014C_37	YKR014C_07	YKR014C_59	YKR014C_54	YKR014C_53	YKR014C_45	YKR014C_27	YKR014C_46	YKR014C_48	YKR014C_14	YKR014C_16	YKR014C_22	YKR014C_68	YKR014C_60	YKR014C_35	YKR014C_09	YKR014C_57	YKR014C_02	YKR014C_04	YKR014C_03
38	389	2	187	6875.0	783.0	1226.0	787.0	410.0	4226.0	4207.0	3865.0	6392.0	1633.0	4575.0	2635.0	3687.0	917.0	714.0	1747.0	6516.0	386.0	777.0	2235.0	1761.0	294.0	407.0	932.0	352.0	6059.0	199.0	1115.0	174.0	566.0	1604.0	3030.0	2106.0	3340.0	1823.0	6780.0	2369.0	3685.0	1934.0	5559.0	1633.0	2213.0	1287.0	2176.0	3584.0	124.0	932.0	566.0	2905.0	1259.0	2886.0	2309.0	2123.0	1662.0	6739.0	2665.0	805.0	6259.0	6246.0	1934.0	2830.0	535.0	858.0	3433.0	5252.0	1585.0	553.0
38	390	2	188	6875.0	784.0	1226.0	788.0	412.0	4226.0	4208.0	3866.0	6391.0	1633.0	4576.0	2634.0	3688.0	918.0	714.0	1746.0	6517.0	384.0	778.0	2236.0	1761.0	294.0	408.0	933.0	354.0	6059.0	199.0	1115.0	173.0	572.0	1604.0	3031.0	2106.0	3472.0	1824.0	6780.0	2369.0	3693.0	1936.0	5559.0	1634.0	2219.0	1287.0	2177.0	3982.0	124.0	932.0	561.0	2905.0	1259.0	2888.0	2309.0	2123.0	1663.0	6739.0	2665.0	805.0	6592.0	6246.0	1933.0	2831.0	536.0	859.0	3435.0	5252.0	1585.0	554.0
38	170	2	62	6746.0	679.0	1151.0	804.0	403.0	4233.0	4161.0	3883.0	6323.0	1653.0	4564.0	2589.0	3617.0	910.0	693.0	1696.0	6478.0	372.0	758.0	2137.0	1727.0	232.0	387.0	950.0	295.0	6073.0	139.0	1081.0	155.0	513.0	1698.0	2961.0	2105.0	3278.0	1789.0	6735.0	2383.0	3677.0	1864.0	5447.0	1635.0	2264.0	1295.0	2161.0	3544.0	88.0	944.0	603.0	2946.0	1196.0	2896.0	2250.0	2076.0	1642.0	6667.0	2617.0	810.0	6218.0	6232.0	1869.0	2788.0	538.0	858.0	3364.0	5146.0	1641.0	526.0
43	203	3	83	6877.0	834.0	1262.0	833.0	441.0	4232.0	4211.0	3942.0	6489.0	1658.0	4595.0	2659.0	3735.0	918.0	725.0	1796.0	6527.0	375.0	801.0	2270.0	1873.0	280.0	420.0	1070.0	366.0	6058.0	242.0	1126.0	183.0	600.0	1837.0	3035.0	2109.0	3473.0	1964.0	6740.0	2384.0	3751.0	1933.0	5571.0	1641.0	2234.0	1424.0	2183.0	3986.0	129.0	945.0	618.0	2969.0	1288.0	2893.0	2318.0	2133.0	1667.0	6758.0	2732.0	818.0	6598.0	6231.0	1952.0	2862.0	546.0	864.0	3424.0	5297.0	1631.0	624.0
43	169	3	61	6746.0	677.0	1151.0	806.0	404.0	4233.0	4161.0	3883.0	6325.0	1651.0	4566.0	2588.0	3619.0	868.0	693.0	1789.0	6479.0	375.0	760.0	2135.0	1728.0	233.0	387.0	956.0	294.0	6073.0	141.0	1079.0	155.0	514.0	1698.0	2959.0	2104.0	3280.0	1790.0	6735.0	2385.0	3677.0	1864.0	5444.0	1634.0	2265.0	1292.0	2159.0	3545.0	88.0	944.0	604.0	2948.0	1176.0	2895.0	2251.0	2077.0	1641.0	6667.0	2618.0	811.0	6217.0	6235.0	1870.0	2788.0	537.0	859.0	3363.0	5145.0	1640.0	524.0
43	198	3	81	6879.0	833.0	1263.0	816.0	440.0	4233.0	4210.0	3946.0	6507.0	1658.0	4584.0	2658.0	3735.0	918.0	722.0	1795.0	6526.0	375.0	802.0	2268.0	1874.0	274.0	418.0	1068.0	366.0	6057.0	230.0	1129.0	187.0	600.0	1839.0	3034.0	2108.0	3471.0	1963.0	6737.0	2383.0	3702.0	1935.0	5570.0	1713.0	2235.0	1419.0	2181.0	3988.0	129.0	946.0	618.0	2968.0	1260.0	2894.0	2318.0	2135.0	1665.0	6759.0	2733.0	819.0	6598.0	6226.0	1957.0	2861.0	545.0	863.0	3419.0	5302.0	1633.0	625.0
43	202	3	82	6877.0	833.0	1262.0	832.0	441.0	4233.0	4211.0	3944.0	6492.0	1658.0	4586.0	2657.0	3735.0	919.0	723.0	1796.0	6526.0	375.0	801.0	2269.0	1873.0	277.0	420.0	1069.0	366.0	6057.0	233.0	1128.0	186.0	600.0	1838.0	3035.0	2109.0	3471.0	1964.0	6738.0	2384.0	3752.0	1933.0	5571.0	1641.0	2235.0	1420.0	2183.0	3986.0	129.0	946.0	618.0	2968.0	1268.0	2893.0	2318.0	2134.0	1666.0	6758.0	2733.0	818.0	6599.0	6229.0	1954.0	2862.0	545.0	864.0	3421.0	5301.0	1632.0	624.0
43	171	3	63	6748.0	682.0	1236.0	807.0	405.0	4235.0	4164.0	3886.0	6325.0	1654.0	4568.0	2592.0	3619.0	909.0	695.0	1791.0	6482.0	373.0	760.0	2140.0	1730.0	235.0	389.0	955.0	297.0	6073.0	140.0	1081.0	156.0	515.0	1701.0	2965.0	2105.0	3279.0	1791.0	6734.0	2383.0	3683.0	1872.0	5449.0	1637.0	2265.0	1297.0	2161.0	3546.0	94.0	944.0	605.0	2949.0	1204.0	2900.0	2253.0	2078.0	1644.0	6669.0	2618.0	812.0	6221.0	6231.0	1891.0	2790.0	540.0	858.0	3366.0	5213.0	1713.0	531.0
43	204	3	84	6877.0	835.0	1262.0	834.0	442.0	4231.0	4210.0	3941.0	6487.0	1656.0	4593.0	2659.0	3733.0	918.0	724.0	1797.0	6526.0	375.0	800.0	2271.0	1872.0	297.0	421.0	1070.0	365.0	6058.0	240.0	1125.0	181.0	601.0	1835.0	3034.0	2110.0	3475.0	1964.0	6740.0	2384.0	3704.0	1931.0	5571.0	1639.0	2233.0	1418.0	2182.0	3978.0	129.0	943.0	617.0	2969.0	1285.0	2893.0	2318.0	2132.0	1667.0	6757.0	2731.0	818.0	6598.0	6233.0	1951.0	2863.0	546.0	863.0	3426.0	5295.0	1630.0	623.0
44	169	4	61	6746.0	678.0	1158.0	807.0	405.0	4233.0	4163.0	3884.0	6326.0	1649.0	4567.0	2590.0	3619.0	868.0	693.0	1789.0	6481.0	376.0	761.0	2138.0	1729.0	241.0	388.0	957.0	295.0	6073.0	141.0	1079.0	156.0	515.0	1697.0	2960.0	2104.0	3282.0	1792.0	6734.0	2385.0	3677.0	1865.0	5443.0	1635.0	2266.0	1292.0	2159.0	3546.0	91.0	945.0	606.0	2949.0	1204.0	2896.0	2252.0	2078.0	1642.0	6668.0	2619.0	811.0	6219.0	6236.0	1890.0	2789.0	528.0	860.0	3365.0	5161.0	1642.0	526.0
44	170	4	62	6747.0	680.0	1239.0	807.0	406.0	4234.0	4165.0	3885.0	6326.0	1652.0	4568.0	2592.0	3619.0	911.0	694.0	1790.0	6482.0	373.0	761.0	2140.0	1730.0	237.0	389.0	957.0	298.0	6074.0	140.0	1080.0	157.0	515.0	1699.0	2964.0	2104.0	3281.0	1792.0	6733.0	2385.0	3681.0	1870.0	5445.0	1645.0	2266.0	1296.0	2161.0	3546.0	93.0	944.0	606.0	2949.0	1212.0	2899.0	2253.0	2078.0	1644.0	6669.0	2619.0	811.0	6220.0	6235.0	1892.0	2790.0	540.0	861.0	3366.0	5212.0	1711.0	528.0
44	171	4	63	6750.0	683.0	1239.0	808.0	407.0	4236.0	4170.0	3892.0	6327.0	1654.0	4569.0	2593.0	3621.0	911.0	695.0	1791.0	6485.0	373.0	761.0	2206.0	1732.0	260.0	390.0	957.0	299.0	6074.0	141.0	1081.0	157.0	516.0	1700.0	2966.0	2105.0	3281.0	1793.0	6733.0	2384.0	3727.0	1873.0	5448.0	1645.0	2266.0	1298.0	2161.0	3548.0	112.0	945.0	608.0	2950.0	1214.0	2903.0	2258.0	2080.0	1645.0	6671.0	2619.0	812.0	6229.0	6232.0	1895.0	2794.0	542.0	859.0	3368.0	5214.0	1713.0	535.0
44	202	4	82	6876.0	833.0	1264.0	832.0	441.0	4234.0	4211.0	3943.0	6506.0	1657.0	4586.0	2658.0	3736.0	920.0	724.0	1795.0	6527.0	376.0	802.0	2270.0	1875.0	279.0	420.0	1069.0	366.0	6059.0	233.0	1130.0	186.0	601.0	1839.0	3036.0	2110.0	3473.0	1965.0	6737.0	2384.0	3754.0	1933.0	5572.0	1713.0	2236.0	1442.0	2183.0	3986.0	130.0	948.0	618.0	2969.0	1288.0	2895.0	2318.0	2137.0	1666.0	6759.0	2733.0	819.0	6600.0	6229.0	1953.0	2862.0	547.0	864.0	3423.0	5301.0	1632.0	625.0
44	204	4	84	6876.0	835.0	1263.0	834.0	442.0	4232.0	4211.0	3939.0	6489.0	1655.0	4594.0	2660.0	3736.0	920.0	724.0	1796.0	6527.0	376.0	801.0	2273.0	1874.0	299.0	422.0	1070.0	365.0	6064.0	242.0	1127.0	181.0	601.0	1837.0	3036.0	2110.0	3476.0	1966.0	6739.0	2384.0	3751.0	1932.0	5571.0	1640.0	2234.0	1446.0	2182.0	3980.0	130.0	945.0	617.0	2971.0	1285.0	2894.0	2318.0	2134.0	1667.0	6758.0	2731.0	819.0	6599.0	6237.0	1951.0	2864.0	551.0	864.0	3426.0	5296.0	1630.0	624.0
44	168	4	60	6744.0	674.0	1150.0	807.0	404.0	4232.0	4160.0	3883.0	6327.0	1646.0	4565.0	2588.0	3618.0	864.0	692.0	1696.0	6478.0	377.0	758.0	2136.0	1728.0	233.0	387.0	957.0	293.0	6073.0	141.0	1078.0	155.0	514.0	1696.0	2958.0	2103.0	3282.0	1791.0	6735.0	2384.0	3675.0	1863.0	5441.0	1634.0	2266.0	1288.0	2154.0	3544.0	85.0	944.0	605.0	2949.0	1176.0	2894.0	2250.0	2054.0	1641.0	6668.0	2620.0	811.0	6217.0	6236.0	1869.0	2788.0	519.0	860.0	3363.0	5143.0	1640.0	523.0
44	206	4	86	6879.0	837.0	1264.0	835.0	443.0	4234.0	4212.0	3936.0	6487.0	1655.0	4593.0	2662.0	3739.0	919.0	747.0	1791.0	6526.0	376.0	800.0	2275.0	1876.0	299.0	422.0	1072.0	363.0	6060.0	244.0	1123.0	179.0	603.0	1837.0	3036.0	2111.0	3474.0	1965.0	6740.0	2384.0	3752.0	1931.0	5571.0	1641.0	2232.0	1422.0	2182.0	3971.0	130.0	943.0	616.0	2973.0	1286.0	2898.0	2319.0	2133.0	1667.0	6756.0	2729.0	821.0	6599.0	6232.0	1946.0	2863.0	554.0	863.0	3427.0	5294.0	1628.0	623.0
44	205	4	85	6878.0	836.0	1263.0	834.0	443.0	4233.0	4212.0	3936.0	6487.0	1655.0	4594.0	2661.0	3737.0	919.0	740.0	1793.0	6526.0	376.0	800.0	2275.0	1874.0	299.0	422.0	1071.0	364.0	6063.0	243.0	1125.0	180.0	602.0	1835.0	3036.0	2111.0	3476.0	1966.0	6740.0	2384.0	3751.0	1931.0	5571.0	1641.0	2232.0	1447.0	2182.0	3975.0	130.0	944.0	617.0	2972.0	1285.0	2896.0	2318.0	2133.0	1667.0	6757.0	2730.0	820.0	6599.0	6235.0	1949.0	2863.0	553.0	863.0	3426.0	5294.0	1628.0	623.0
44	389	4	187	6872.0	785.0	1250.0	788.0	412.0	4224.0	4209.0	3865.0	6395.0	1632.0	4582.0	2635.0	3692.0	920.0	713.0	1749.0	6516.0	386.0	809.0	2236.0	1766.0	294.0	411.0	934.0	353.0	6064.0	200.0	1115.0	175.0	574.0	1606.0	3033.0	2106.0	3476.0	1831.0	6780.0	2370.0	3698.0	1935.0	5560.0	1634.0	2218.0	1294.0	2176.0	3981.0	124.0	936.0	568.0	2907.0	1259.0	2890.0	2309.0	2124.0	1665.0	6738.0	2714.0	810.0	6592.0	6248.0	1938.0	2829.0	537.0	859.0	3437.0	5288.0	1586.0	556.0
44	385	4	184	6862.0	786.0	1266.0	788.0	409.0	4227.0	4207.0	3866.0	6399.0	1633.0	4573.0	2633.0	3698.0	919.0	713.0	1751.0	6511.0	388.0	809.0	2236.0	1812.0	294.0	411.0	936.0	355.0	6066.0	202.0	1117.0	175.0	574.0	1610.0	3035.0	2105.0	3472.0	1900.0	6781.0	2372.0	3687.0	1937.0	5561.0	1638.0	2223.0	1412.0	2177.0	3975.0	128.0	936.0	569.0	2908.0	1260.0	2892.0	2312.0	2126.0	1662.0	6740.0	2714.0	810.0	6594.0	6247.0	1934.0	2830.0	540.0	859.0	3435.0	5286.0	1586.0	559.0
45	202	5	82	6873.0	834.0	1265.0	833.0	440.0	4234.0	4213.0	3941.0	6507.0	1657.0	4587.0	2660.0	3737.0	921.0	725.0	1793.0	6528.0	377.0	803.0	2272.0	1876.0	280.0	421.0	1069.0	367.0	6065.0	233.0	1131.0	187.0	601.0	1839.0	3037.0	2110.0	3475.0	1968.0	6736.0	2385.0	3755.0	1935.0	5573.0	1714.0	2238.0	1445.0	2184.0	3985.0	131.0	953.0	617.0	2971.0	1269.0	2897.0	2317.0	2145.0	1667.0	6760.0	2733.0	820.0	6602.0	6226.0	1953.0	2864.0	552.0	865.0	3425.0	5302.0	1633.0	625.0
45	204	5	84	6874.0	836.0	1265.0	834.0	442.0	4232.0	4213.0	3936.0	6504.0	1655.0	4595.0	2661.0	3737.0	922.0	725.0	1794.0	6527.0	377.0	801.0	2274.0	1875.0	301.0	422.0	1071.0	366.0	6066.0	240.0	1128.0	182.0	601.0	1836.0	3037.0	2111.0	3479.0	1969.0	6738.0	2384.0	3752.0	1934.0	5572.0	1643.0	2234.0	1447.0	2182.0	3978.0	131.0	949.0	616.0	2972.0	1285.0	2897.0	2318.0	2138.0	1668.0	6758.0	2732.0	820.0	6601.0	6233.0	1950.0	2865.0	553.0	864.0	3428.0	5296.0	1630.0	625.0
45	205	5	85	6876.0	837.0	1266.0	835.0	443.0	4233.0	4215.0	3931.0	6488.0	1655.0	4594.0	2662.0	3738.0	921.0	747.0	1792.0	6526.0	377.0	801.0	2275.0	1876.0	301.0	423.0	1072.0	365.0	6066.0	243.0	1126.0	180.0	602.0	1835.0	3039.0	2111.0	3479.0	1969.0	6739.0	2385.0	3752.0	1932.0	5572.0	1645.0	2233.0	1447.0	2183.0	3976.0	131.0	946.0	616.0	2973.0	1273.0	2898.0	2318.0	2137.0	1668.0	6758.0	2731.0	821.0	6601.0	6233.0	1948.0	2864.0	554.0	864.0	3428.0	5295.0	1628.0	624.0
45	171	5	63	6750.0	684.0	1243.0	810.0	408.0	4236.0	4184.0	3965.0	6329.0	1654.0	4571.0	2602.0	3623.0	911.0	694.0	1792.0	6520.0	373.0	763.0	2207.0	1733.0	250.0	390.0	958.0	318.0	6074.0	141.0	1080.0	159.0	518.0	1700.0	2970.0	2105.0	3282.0	1795.0	6732.0	2384.0	3726.0	1872.0	5445.0	1645.0	2266.0	1296.0	2160.0	3550.0	179.0	945.0	612.0	2953.0	1218.0	2906.0	2259.0	2082.0	1645.0	6674.0	2618.0	812.0	6231.0	6232.0	1974.0	2839.0	542.0	860.0	3370.0	5215.0	1714.0	537.0
45	194	5	78	6879.0	833.0	1273.0	831.0	420.0	4235.0	4235.0	3946.0	6510.0	1659.0	4584.0	2662.0	3733.0	916.0	722.0	1794.0	6528.0	378.0	804.0	2276.0	1876.0	276.0	419.0	1068.0	377.0	6065.0	227.0	1139.0	189.0	600.0	1842.0	3037.0	2109.0	3472.0	1965.0	6732.0	2382.0	3763.0	1940.0	5572.0	1715.0	2247.0	1421.0	2182.0	3990.0	131.0	952.0	617.0	2972.0	1264.0	2900.0	2315.0	2159.0	1664.0	6760.0	2735.0	822.0	6608.0	6221.0	1957.0	2862.0	545.0	863.0	3421.0	5305.0	1640.0	627.0
45	195	5	79	6879.0	834.0	1272.0	832.0	438.0	4234.0	4236.0	3944.0	6509.0	1659.0	4585.0	2661.0	3735.0	919.0	723.0	1794.0	6528.0	377.0	804.0	2276.0	1877.0	279.0	418.0	1068.0	376.0	6065.0	227.0	1138.0	189.0	601.0	1841.0	3037.0	2109.0	3473.0	1966.0	6733.0	2383.0	3763.0	1939.0	5572.0	1715.0	2245.0	1426.0	2183.0	3990.0	131.0	954.0	618.0	2972.0	1266.0	2900.0	2316.0	2159.0	1665.0	6760.0	2734.0	822.0	6608.0	6224.0	1956.0	2864.0	546.0	863.0	3422.0	5305.0	1635.0	627.0
45	206	5	86	6878.0	838.0	1266.0	835.0	443.0	4233.0	4215.0	3930.0	6487.0	1656.0	4594.0	2663.0	3740.0	921.0	750.0	1790.0	6526.0	377.0	800.0	2276.0	1877.0	301.0	423.0	1072.0	364.0	6064.0	245.0	1124.0	179.0	603.0	1837.0	3038.0	2112.0	3478.0	1968.0	6739.0	2385.0	3754.0	1932.0	5572.0	1715.0	2232.0	1448.0	2184.0	3976.0	131.0	946.0	615.0	2974.0	1271.0	2900.0	2319.0	2144.0	1668.0	6758.0	2730.0	825.0	6600.0	6231.0	1946.0	2864.0	555.0	864.0	3428.0	5295.0	1627.0	624.0
45	230	5	107	6851.0	830.0	1239.0	818.0	405.0	4222.0	4200.0	3938.0	6446.0	1636.0	4570.0	2615.0	3700.0	910.0	719.0	1770.0	6522.0	371.0	810.0	2272.0	1868.0	244.0	421.0	1057.0	352.0	6049.0	195.0	1122.0	177.0	598.0	1722.0	3032.0	2108.0	3480.0	1953.0	6726.0	2382.0	3695.0	1919.0	5547.0	1638.0	2223.0	1416.0	2177.0	3956.0	129.0	929.0	616.0	2972.0	1263.0	2898.0	2322.0	2132.0	1661.0	6750.0	2717.0	828.0	6593.0	6217.0	1946.0	2829.0	558.0	859.0	3414.0	5294.0	1590.0	548.0
45	249	5	116	6848.0	799.0	1261.0	805.0	434.0	4221.0	4196.0	3937.0	6444.0	1645.0	4584.0	2626.0	3696.0	912.0	710.0	1798.0	6524.0	381.0	803.0	2228.0	1828.0	286.0	414.0	1062.0	355.0	6053.0	197.0	1113.0	178.0	581.0	1721.0	3031.0	2106.0	3485.0	1960.0	6732.0	2378.0	3699.0	1906.0	5562.0	1635.0	2219.0	1414.0	2177.0	3961.0	127.0	946.0	617.0	2958.0	1266.0	2891.0	2292.0	2128.0	1662.0	6760.0	2720.0	814.0	6591.0	6222.0	1947.0	2853.0	541.0	860.0	3388.0	5292.0	1596.0	569.0
45	172	5	64	6755.0	687.0	1242.0	811.0	408.0	4237.0	4186.0	3967.0	6330.0	1654.0	4574.0	2603.0	3624.0	911.0	694.0	1793.0	6521.0	371.0	807.0	2295.0	1737.0	250.0	392.0	958.0	319.0	6074.0	141.0	1082.0	160.0	519.0	1703.0	2974.0	2106.0	3282.0	1860.0	6731.0	2383.0	3726.0	1874.0	5448.0	1647.0	2266.0	1299.0	2161.0	3743.0	192.0	945.0	614.0	2954.0	1220.0	2906.0	2261.0	2084.0	1668.0	6677.0	2618.0	811.0	6234.0	6230.0	1973.0	2839.0	543.0	859.0	3372.0	5220.0	1715.0	539.0
45	173	5	65	6764.0	690.0	1242.0	812.0	409.0	4240.0	4188.0	3969.0	6333.0	1655.0	4576.0	2604.0	3626.0	910.0	695.0	1794.0	6521.0	370.0	807.0	2293.0	1817.0	250.0	392.0	958.0	320.0	6074.0	140.0	1084.0	160.0	528.0	1706.0	3013.0	2107.0	3283.0	1861.0	6731.0	2383.0	3726.0	1880.0	5450.0	1647.0	2265.0	1301.0	2161.0	3743.0	196.0	946.0	615.0	2953.0	1220.0	2906.0	2302.0	2087.0	1667.0	6679.0	2617.0	811.0	6235.0	6229.0	1970.0	2839.0	543.0	859.0	3374.0	5222.0	1648.0	541.0
