alnA	alnB	A	B	YBR264C_51	YBR264C_41	YBR264C_67	YBR264C_56	YBR264C_53	YBR264C_48	YBR264C_21	YBR264C_29	YBR264C_35	YBR264C_49	YBR264C_26	YBR264C_33	YBR264C_27	YBR264C_66	YBR264C_05	YBR264C_25	YBR264C_22	YBR264C_69	YBR264C_11	YBR264C_52	YBR264C_20	YBR264C_23	YBR264C_18	YBR264C_09	YBR264C_42	YBR264C_40	YBR264C_13	YBR264C_31	YBR264C_19	YBR264C_50	YBR264C_38	YBR264C_28	YBR264C_16	YBR264C_01	YBR264C_59	YBR264C_61	YBR264C_06	YBR264C_60	YBR264C_44	YBR264C_64	YBR264C_34	YBR264C_30	YBR264C_68	YBR264C_43	YBR264C_12	YBR264C_70	YBR264C_54	YBR264C_37	YBR264C_15	YBR264C_47	YBR264C_10	YBR264C_62	YBR264C_17	YBR264C_07	YBR264C_39	YBR264C_65	YBR264C_63	YBR264C_24	YBR264C_14	YBR264C_02	YBR264C_58	YBR264C_08	YBR264C_03	YBR264C_46	YBR264C_04
38	389	3	162	2825.0	1787.0	2014.0	3089.0	6161.0	3309.0	7602.0	4222.0	7643.0	3706.0	1265.0	597.0	3548.0	9603.0	404.0	1163.0	1174.0	855.0	3074.0	2544.0	8826.0	3374.0	3194.0	1968.0	4976.0	1136.0	7581.0	1914.0	787.0	1438.0	1466.0	4940.0	1088.0	7922.0	1794.0	7874.0	481.0	1601.0	5887.0	1024.0	2903.0	4547.0	6340.0	6291.0	873.0	3484.0	3063.0	2486.0	1479.0	2192.0	514.0	558.0	2056.0	7535.0	1973.0	6584.0	4722.0	2197.0	1176.0	8754.0	491.0	4581.0	5933.0	2234.0	1536.0
38	390	3	163	2827.0	1788.0	2016.0	3088.0	6159.0	3309.0	7601.0	4223.0	7644.0	3706.0	1356.0	597.0	3548.0	9606.0	405.0	1163.0	1173.0	856.0	3076.0	2546.0	8827.0	3374.0	3195.0	2011.0	5116.0	1136.0	7581.0	1915.0	788.0	1437.0	1562.0	4941.0	1093.0	7922.0	1794.0	7874.0	481.0	1603.0	5886.0	1025.0	2902.0	4541.0	6380.0	6292.0	872.0	3481.0	3057.0	2487.0	1479.0	2344.0	516.0	560.0	2077.0	7537.0	2027.0	6585.0	4722.0	2197.0	1178.0	8754.0	492.0	4583.0	5934.0	2234.0	1535.0
38	170	3	61	2531.0	1807.0	2035.0	3165.0	6243.0	3399.0	7637.0	4205.0	7639.0	3807.0	1294.0	539.0	3567.0	9516.0	378.0	1313.0	1105.0	677.0	2999.0	2706.0	8857.0	3465.0	3221.0	2004.0	4655.0	1112.0	7638.0	1833.0	311.0	1429.0	1538.0	4951.0	1100.0	7871.0	1838.0	7939.0	557.0	1613.0	5880.0	1043.0	2988.0	4528.0	6358.0	6328.0	903.0	3514.0	3031.0	2373.0	1354.0	2211.0	575.0	594.0	1947.0	7521.0	1987.0	6635.0	4532.0	2149.0	1087.0	8794.0	395.0	4512.0	5901.0	2181.0	1493.0
43	203	4	82	2893.0	1809.0	2041.0	3206.0	6225.0	3436.0	7645.0	4231.0	7641.0	3712.0	1442.0	632.0	3596.0	9640.0	428.0	1255.0	1186.0	897.0	3092.0	2634.0	8837.0	3560.0	3219.0	2045.0	5122.0	1143.0	7633.0	1923.0	809.0	1460.0	1659.0	5037.0	1170.0	7931.0	1834.0	7942.0	638.0	1650.0	5914.0	1500.0	2994.0	4588.0	6412.0	6319.0	912.0	3530.0	3246.0	2500.0	1574.0	2413.0	528.0	733.0	2088.0	7577.0	2225.0	6599.0	4738.0	2241.0	1276.0	8817.0	540.0	4589.0	6399.0	2251.0	1556.0
43	169	4	60	2533.0	1814.0	2034.0	3166.0	6243.0	3400.0	7637.0	4206.0	7628.0	3807.0	1293.0	540.0	3565.0	9512.0	378.0	1314.0	1105.0	679.0	2997.0	2706.0	8858.0	3467.0	3222.0	2047.0	4655.0	1111.0	7638.0	1832.0	310.0	1421.0	1594.0	4950.0	1100.0	7871.0	1835.0	7938.0	559.0	1613.0	5883.0	1044.0	2989.0	4541.0	6390.0	6331.0	903.0	3511.0	3032.0	2374.0	1356.0	2211.0	565.0	594.0	1951.0	7519.0	1989.0	6636.0	4531.0	2147.0	1088.0	8788.0	396.0	4509.0	5901.0	2180.0	1492.0
43	198	4	80	2894.0	1809.0	2076.0	3208.0	6225.0	3437.0	7644.0	4254.0	7639.0	3713.0	1407.0	631.0	3596.0	9641.0	430.0	1253.0	1186.0	903.0	3101.0	2633.0	8839.0	3564.0	3219.0	2045.0	5123.0	1144.0	7633.0	1936.0	808.0	1461.0	1658.0	5039.0	1175.0	7933.0	1830.0	7940.0	637.0	1654.0	5920.0	1499.0	2993.0	4587.0	6413.0	6336.0	912.0	3530.0	3246.0	2504.0	1571.0	2414.0	529.0	734.0	2089.0	7575.0	2225.0	6626.0	4740.0	2241.0	1274.0	8818.0	540.0	4589.0	6396.0	2255.0	1549.0
43	202	4	81	2894.0	1809.0	2076.0	3208.0	6225.0	3437.0	7644.0	4235.0	7640.0	3712.0	1447.0	632.0	3596.0	9640.0	429.0	1255.0	1186.0	900.0	3093.0	2634.0	8837.0	3560.0	3218.0	2044.0	5122.0	1143.0	7633.0	1928.0	809.0	1458.0	1659.0	5039.0	1174.0	7932.0	1830.0	7941.0	637.0	1650.0	5918.0	1500.0	2993.0	4588.0	6412.0	6320.0	911.0	3530.0	3246.0	2499.0	1573.0	2414.0	528.0	732.0	2088.0	7575.0	2225.0	6600.0	4720.0	2241.0	1275.0	8817.0	539.0	4589.0	6397.0	2252.0	1554.0
43	171	4	62	2532.0	1807.0	2035.0	3166.0	6242.0	3405.0	7638.0	4210.0	7629.0	3807.0	1296.0	540.0	3567.0	9527.0	384.0	1313.0	1107.0	694.0	2999.0	2706.0	8857.0	3468.0	3222.0	2030.0	4656.0	1112.0	7639.0	1842.0	313.0	1433.0	1536.0	5023.0	1100.0	7875.0	1839.0	7939.0	559.0	1618.0	5882.0	1044.0	2991.0	4544.0	6389.0	6329.0	902.0	3514.0	3036.0	2375.0	1360.0	2213.0	584.0	617.0	1952.0	7522.0	1989.0	6635.0	4537.0	2151.0	1220.0	8829.0	397.0	4513.0	5903.0	2182.0	1493.0
43	204	4	83	2893.0	1809.0	2037.0	3205.0	6225.0	3436.0	7643.0	4229.0	7641.0	3712.0	1440.0	633.0	3595.0	9640.0	427.0	1256.0	1187.0	894.0	3092.0	2633.0	8835.0	3557.0	3218.0	2044.0	5121.0	1141.0	7633.0	1922.0	809.0	1456.0	1659.0	5037.0	1169.0	7930.0	1836.0	7943.0	639.0	1649.0	5901.0	1502.0	2993.0	4588.0	6411.0	6316.0	912.0	3530.0	3246.0	2496.0	1575.0	2413.0	526.0	732.0	2087.0	7577.0	2225.0	6597.0	4719.0	2241.0	1276.0	8816.0	540.0	4588.0	6364.0	2250.0	1559.0
44	169	5	60	2535.0	1777.0	2032.0	3166.0	6243.0	3401.0	7638.0	4210.0	7626.0	3807.0	1292.0	541.0	3565.0	9512.0	381.0	1314.0	1105.0	689.0	2996.0	2706.0	8859.0	3471.0	3317.0	2047.0	4655.0	1111.0	7638.0	1834.0	311.0	1419.0	1595.0	5022.0	1100.0	7871.0	1834.0	7937.0	560.0	1613.0	6029.0	1045.0	2991.0	4517.0	6392.0	6332.0	902.0	3510.0	3021.0	2375.0	1358.0	2210.0	564.0	607.0	1954.0	7518.0	1990.0	6636.0	4535.0	2146.0	1095.0	8786.0	396.0	4509.0	5901.0	2180.0	1492.0
44	170	5	61	2534.0	1777.0	2033.0	3166.0	6242.0	3403.0	7638.0	4213.0	7627.0	3807.0	1294.0	541.0	3566.0	9526.0	384.0	1315.0	1106.0	696.0	2997.0	2706.0	8858.0	3472.0	3317.0	2047.0	4657.0	1112.0	7639.0	1841.0	313.0	1420.0	1595.0	5023.0	1100.0	7874.0	1836.0	7938.0	559.0	1617.0	6029.0	1046.0	2992.0	4517.0	6393.0	6331.0	901.0	3512.0	3035.0	2376.0	1361.0	2211.0	567.0	608.0	1954.0	7520.0	1991.0	6636.0	4537.0	2147.0	1220.0	8787.0	396.0	4511.0	5902.0	2180.0	1493.0
44	171	5	62	2534.0	1778.0	2034.0	3167.0	6242.0	3416.0	7640.0	4213.0	7627.0	3807.0	1297.0	542.0	3567.0	9527.0	388.0	1314.0	1119.0	701.0	2999.0	2706.0	8857.0	3473.0	3317.0	2029.0	4658.0	1112.0	7639.0	1855.0	316.0	1434.0	1540.0	5024.0	1100.0	7881.0	1838.0	7938.0	561.0	1697.0	6028.0	1046.0	2993.0	4546.0	6393.0	6331.0	901.0	3514.0	3080.0	2377.0	1374.0	2213.0	586.0	618.0	1955.0	7521.0	1992.0	6636.0	4540.0	2150.0	1221.0	8792.0	397.0	4513.0	5903.0	2181.0	1494.0
44	202	5	81	2895.0	1810.0	2077.0	3206.0	6226.0	3437.0	7645.0	4261.0	7640.0	3714.0	1409.0	631.0	3596.0	9640.0	428.0	1256.0	1187.0	903.0	3100.0	2635.0	8839.0	3563.0	3219.0	2045.0	5122.0	1145.0	7634.0	1937.0	810.0	1461.0	1659.0	5040.0	1177.0	7932.0	1830.0	7941.0	639.0	1654.0	5923.0	1501.0	3059.0	4589.0	6414.0	6337.0	912.0	3530.0	3246.0	2498.0	1573.0	2415.0	530.0	732.0	2090.0	7577.0	2226.0	6626.0	4718.0	2241.0	1276.0	8818.0	539.0	4587.0	6397.0	2255.0	1557.0
44	204	5	83	2894.0	1810.0	2039.0	3204.0	6226.0	3436.0	7644.0	4234.0	7641.0	3713.0	1443.0	632.0	3595.0	9640.0	426.0	1256.0	1187.0	896.0	3098.0	2634.0	8837.0	3559.0	3219.0	2045.0	5121.0	1143.0	7634.0	1922.0	810.0	1460.0	1660.0	5038.0	1172.0	7930.0	1835.0	7943.0	640.0	1651.0	5898.0	1504.0	3037.0	4590.0	6412.0	6333.0	912.0	3530.0	3246.0	2493.0	1575.0	2414.0	528.0	732.0	2088.0	7578.0	2225.0	6599.0	4717.0	2241.0	1277.0	8817.0	539.0	4587.0	6365.0	2254.0	1560.0
44	168	5	59	2536.0	1776.0	1999.0	3164.0	6243.0	3400.0	7637.0	4209.0	7626.0	3807.0	1289.0	540.0	3564.0	9510.0	378.0	1315.0	1103.0	681.0	2995.0	2706.0	8858.0	3469.0	3317.0	2046.0	4654.0	1109.0	7637.0	1832.0	309.0	1416.0	1595.0	4946.0	1099.0	7867.0	1833.0	7937.0	559.0	1611.0	5886.0	1045.0	2990.0	4528.0	6392.0	6332.0	902.0	3508.0	3018.0	2374.0	1354.0	2208.0	563.0	593.0	1953.0	7515.0	1989.0	6636.0	4530.0	2145.0	1088.0	8782.0	394.0	4507.0	5900.0	2178.0	1491.0
44	206	5	85	2895.0	1809.0	2038.0	3139.0	6227.0	3435.0	7645.0	4227.0	7641.0	3712.0	1437.0	634.0	3594.0	9639.0	424.0	1258.0	1188.0	890.0	3088.0	2634.0	8839.0	3551.0	3223.0	2038.0	5120.0	1145.0	7619.0	1921.0	809.0	1460.0	1645.0	5033.0	1166.0	7929.0	1857.0	7943.0	640.0	1654.0	5894.0	1506.0	3033.0	4588.0	6409.0	6306.0	915.0	3529.0	3246.0	2490.0	1577.0	2411.0	530.0	731.0	2083.0	7577.0	2222.0	6596.0	4725.0	2241.0	1281.0	8816.0	540.0	4587.0	6403.0	2256.0	1561.0
44	205	5	84	2894.0	1809.0	2038.0	3199.0	6226.0	3435.0	7644.0	4229.0	7641.0	3713.0	1440.0	633.0	3594.0	9639.0	425.0	1257.0	1188.0	891.0	3094.0	2634.0	8837.0	3553.0	3221.0	2044.0	5121.0	1144.0	7632.0	1921.0	809.0	1460.0	1661.0	5036.0	1169.0	7930.0	1840.0	7943.0	640.0	1652.0	5897.0	1505.0	3035.0	4589.0	6411.0	6317.0	915.0	3529.0	3246.0	2491.0	1576.0	2413.0	528.0	732.0	2087.0	7578.0	2224.0	6597.0	4719.0	2241.0	1279.0	8816.0	540.0	4587.0	6365.0	2255.0	1561.0
44	389	5	162	2824.0	1790.0	2018.0	3088.0	6156.0	3308.0	7602.0	4223.0	7641.0	3708.0	1267.0	600.0	3545.0	9598.0	402.0	1162.0	1173.0	852.0	3075.0	2547.0	8826.0	3377.0	3190.0	1968.0	5116.0	1140.0	7586.0	1917.0	806.0	1439.0	1601.0	4965.0	1095.0	7922.0	1792.0	7866.0	480.0	1608.0	5884.0	1031.0	2906.0	4541.0	6385.0	6292.0	873.0	3483.0	3060.0	2485.0	1478.0	2345.0	520.0	564.0	2075.0	7534.0	2029.0	6589.0	4725.0	2198.0	1178.0	8754.0	497.0	4579.0	5936.0	2240.0	1535.0
44	385	5	159	2822.0	1792.0	2016.0	3089.0	6161.0	3311.0	7603.0	4221.0	7641.0	3716.0	1263.0	598.0	3548.0	9596.0	401.0	1172.0	1175.0	852.0	3076.0	2547.0	8824.0	3382.0	3192.0	1966.0	5117.0	1141.0	7582.0	1917.0	807.0	1441.0	1596.0	4968.0	1097.0	7920.0	1794.0	7850.0	483.0	1608.0	5883.0	1271.0	2917.0	4544.0	6341.0	6290.0	875.0	3487.0	3073.0	2442.0	1480.0	2346.0	524.0	570.0	2071.0	7531.0	1995.0	6589.0	4728.0	2198.0	1173.0	8756.0	495.0	4579.0	6303.0	2263.0	1535.0
45	202	6	81	2898.0	1810.0	2078.0	3205.0	6226.0	3437.0	7646.0	4263.0	7639.0	3715.0	1409.0	630.0	3596.0	9641.0	427.0	1256.0	1189.0	907.0	3105.0	2635.0	8839.0	3564.0	3221.0	2046.0	5122.0	1180.0	7634.0	1952.0	811.0	1463.0	1659.0	5043.0	1180.0	7932.0	1829.0	7940.0	639.0	1655.0	5924.0	1502.0	3061.0	4591.0	6416.0	6340.0	913.0	3530.0	3247.0	2499.0	1575.0	2417.0	534.0	733.0	2091.0	7579.0	2226.0	6626.0	4719.0	2240.0	1276.0	8820.0	538.0	4586.0	6366.0	2259.0	1559.0
45	204	6	83	2898.0	1810.0	2075.0	3202.0	6227.0	3436.0	7645.0	4259.0	7640.0	3715.0	1447.0	632.0	3595.0	9641.0	424.0	1257.0	1189.0	904.0	3104.0	2635.0	8837.0	3561.0	3220.0	2046.0	5121.0	1146.0	7634.0	1923.0	811.0	1461.0	1660.0	5039.0	1179.0	7931.0	1834.0	7943.0	640.0	1654.0	5898.0	1506.0	3057.0	4591.0	6414.0	6337.0	914.0	3530.0	3247.0	2493.0	1577.0	2415.0	531.0	733.0	2090.0	7579.0	2225.0	6601.0	4719.0	2240.0	1278.0	8818.0	538.0	4586.0	6364.0	2256.0	1561.0
45	205	6	84	2898.0	1810.0	2041.0	3197.0	6228.0	3435.0	7644.0	4231.0	7640.0	3714.0	1444.0	632.0	3594.0	9640.0	424.0	1258.0	1190.0	895.0	3105.0	2635.0	8837.0	3556.0	3222.0	2045.0	5121.0	1148.0	7632.0	1922.0	810.0	1460.0	1660.0	5037.0	1175.0	7930.0	1836.0	7943.0	641.0	1656.0	5896.0	1507.0	3036.0	4591.0	6412.0	6333.0	916.0	3529.0	3247.0	2491.0	1578.0	2414.0	531.0	733.0	2089.0	7579.0	2224.0	6599.0	4724.0	2241.0	1280.0	8817.0	539.0	4586.0	6362.0	2258.0	1562.0
45	171	6	62	2533.0	1776.0	2033.0	3166.0	6242.0	3416.0	7642.0	4212.0	7626.0	3807.0	1305.0	543.0	3568.0	9526.0	392.0	1315.0	1128.0	707.0	2997.0	2706.0	8858.0	3475.0	3316.0	2027.0	4658.0	1110.0	7639.0	1857.0	314.0	1428.0	1597.0	5024.0	1099.0	7884.0	1837.0	7937.0	563.0	1696.0	6029.0	1047.0	2995.0	4516.0	6435.0	6332.0	900.0	3513.0	3078.0	2377.0	1401.0	2214.0	588.0	620.0	1957.0	7521.0	1995.0	6636.0	4543.0	2146.0	1221.0	8790.0	397.0	4512.0	5904.0	2180.0	1494.0
45	194	6	77	2895.0	1809.0	2078.0	3210.0	6228.0	3438.0	7649.0	4257.0	7636.0	3718.0	1401.0	626.0	3594.0	9643.0	428.0	1257.0	1188.0	916.0	3190.0	2638.0	8842.0	3587.0	3222.0	2046.0	5123.0	1181.0	7635.0	1939.0	808.0	1466.0	1659.0	5044.0	1180.0	7937.0	1829.0	7936.0	638.0	1699.0	5927.0	1497.0	2993.0	4592.0	6416.0	6338.0	915.0	3528.0	3245.0	2509.0	1572.0	2415.0	578.0	684.0	2090.0	7579.0	2226.0	6627.0	4733.0	2242.0	1273.0	8822.0	539.0	4587.0	6394.0	2263.0	1549.0
45	195	6	78	2895.0	1810.0	2078.0	3207.0	6228.0	3438.0	7648.0	4258.0	7637.0	3719.0	1402.0	626.0	3595.0	9643.0	428.0	1257.0	1189.0	915.0	3130.0	2638.0	8844.0	3587.0	3223.0	2047.0	5123.0	1181.0	7635.0	1950.0	809.0	1466.0	1659.0	5044.0	1180.0	7937.0	1830.0	7937.0	638.0	1699.0	5928.0	1498.0	3063.0	4593.0	6416.0	6339.0	914.0	3528.0	3246.0	2509.0	1574.0	2415.0	578.0	685.0	2091.0	7578.0	2226.0	6628.0	4735.0	2241.0	1273.0	8822.0	541.0	4586.0	6396.0	2263.0	1550.0
45	206	6	85	2899.0	1810.0	2040.0	3194.0	6229.0	3435.0	7645.0	4228.0	7641.0	3714.0	1440.0	633.0	3594.0	9639.0	423.0	1259.0	1190.0	891.0	3113.0	2635.0	8839.0	3553.0	3225.0	2044.0	5120.0	1148.0	7619.0	1922.0	810.0	1461.0	1661.0	5035.0	1171.0	7930.0	1839.0	7943.0	640.0	1658.0	5895.0	1507.0	3034.0	4590.0	6410.0	6318.0	917.0	3528.0	3247.0	2489.0	1579.0	2412.0	533.0	733.0	2087.0	7578.0	2222.0	6597.0	4725.0	2241.0	1281.0	8817.0	540.0	4586.0	6404.0	2263.0	1563.0
45	230	6	106	2890.0	1805.0	2034.0	3117.0	6230.0	3420.0	7609.0	4227.0	7631.0	3702.0	1436.0	567.0	3562.0	9594.0	415.0	1244.0	1179.0	850.0	3093.0	2590.0	8838.0	3536.0	3217.0	2018.0	5117.0	1137.0	7609.0	1914.0	803.0	1445.0	1633.0	5008.0	1156.0	7924.0	1787.0	7912.0	597.0	1611.0	5894.0	1495.0	2981.0	4539.0	6368.0	6308.0	882.0	3513.0	3236.0	2435.0	1522.0	2360.0	533.0	672.0	2094.0	7567.0	2038.0	6592.0	4710.0	2255.0	1277.0	8782.0	495.0	4598.0	6332.0	2242.0	1537.0
45	249	6	113	2889.0	1804.0	2031.0	3113.0	6225.0	3394.0	7655.0	4227.0	7634.0	3704.0	1411.0	616.0	3537.0	9598.0	418.0	1236.0	1186.0	854.0	3082.0	2552.0	8826.0	3544.0	3194.0	2020.0	5117.0	1139.0	7613.0	1917.0	804.0	1443.0	1638.0	5035.0	1160.0	7925.0	1787.0	7921.0	524.0	1606.0	5894.0	1470.0	2985.0	4556.0	6370.0	6307.0	879.0	3511.0	3185.0	2444.0	1520.0	2354.0	527.0	675.0	2095.0	7547.0	2039.0	6596.0	4705.0	2214.0	1189.0	8783.0	498.0	4585.0	6339.0	2243.0	1554.0
45	172	6	63	2533.0	1777.0	2034.0	3167.0	6241.0	3416.0	7644.0	4241.0	7626.0	3807.0	1349.0	543.0	3569.0	9528.0	415.0	1315.0	1132.0	711.0	3001.0	2706.0	8856.0	3486.0	3245.0	2026.0	4660.0	1111.0	7640.0	1866.0	316.0	1456.0	1540.0	5024.0	1100.0	7888.0	1838.0	7937.0	563.0	1695.0	6028.0	1049.0	2995.0	4518.0	6434.0	6331.0	900.0	3515.0	3081.0	2378.0	1403.0	2217.0	587.0	622.0	1960.0	7523.0	1997.0	6636.0	4547.0	2148.0	1222.0	8794.0	431.0	4529.0	5907.0	2183.0	1497.0
