alnA	alnB	A	B	YLR293C_13	YLR293C_32	YLR293C_09	YLR293C_29	YLR293C_27	YLR293C_39	YLR293C_69	YLR293C_56	YLR293C_65	YLR293C_52	YLR293C_44	YLR293C_03	YLR293C_24	YLR293C_68	YLR293C_22	YLR293C_02	YLR293C_63	YLR293C_05	YLR293C_06	YLR293C_67	YLR293C_17	YLR293C_40	YLR293C_55	YLR293C_23	YLR293C_11	YLR293C_14	YLR293C_36	YLR293C_10	YLR293C_31	YLR293C_42	YLR293C_15	YLR293C_66	YLR293C_30	YLR293C_34	YLR293C_50	YLR293C_28	YLR293C_38	YLR293C_45	YLR293C_04	YLR293C_59	YLR293C_26	YLR293C_57	YLR293C_61	YLR293C_53	YLR293C_33	YLR293C_18	YLR293C_62	YLR293C_01	YLR293C_20	YLR293C_60	YLR293C_48	YLR293C_47	YLR293C_37	YLR293C_43	YLR293C_46	YLR293C_41
43	203	12	84	6401.0	1010.0	7934.0	502.0	3612.0	1019.0	2274.0	806.0	7705.0	2576.0	2453.0	330.0	2790.0	8856.0	1562.0	1481.0	3199.0	4472.0	7984.0	1926.0	1631.0	2836.0	8389.0	1990.0	1280.0	1455.0	3974.0	494.0	9524.0	1438.0	9120.0	2390.0	1399.0	2832.0	507.0	1587.0	4184.0	4231.0	8186.0	9032.0	3029.0	1708.0	1009.0	9941.0	3227.0	1134.0	1748.0	4945.0	2315.0	8801.0	7503.0	9891.0	742.0	7484.0	5273.0	1510.0
43	169	12	62	6345.0	949.0	7860.0	480.0	3599.0	952.0	2197.0	726.0	7665.0	2444.0	2455.0	359.0	2780.0	8893.0	1588.0	1434.0	3101.0	4502.0	7915.0	1940.0	1592.0	2845.0	8314.0	2012.0	1253.0	1412.0	3927.0	196.0	9214.0	1375.0	9078.0	2404.0	1407.0	2727.0	493.0	1594.0	4187.0	4243.0	8085.0	8979.0	2910.0	1512.0	946.0	9847.0	3132.0	1154.0	1641.0	5032.0	2289.0	8713.0	7488.0	9909.0	695.0	7437.0	5258.0	1496.0
43	198	12	82	6400.0	1008.0	7931.0	532.0	3608.0	1019.0	2273.0	804.0	7705.0	2578.0	2453.0	331.0	2790.0	8860.0	1561.0	1482.0	3112.0	4470.0	7985.0	1927.0	1632.0	2836.0	8387.0	1988.0	1280.0	1455.0	3974.0	498.0	9523.0	1439.0	9120.0	2395.0	1400.0	2830.0	502.0	1587.0	4182.0	4234.0	8184.0	9031.0	3024.0	1706.0	977.0	9940.0	3270.0	1145.0	1744.0	4944.0	2316.0	8798.0	7502.0	9896.0	741.0	7485.0	5273.0	1507.0
43	202	12	83	6400.0	1009.0	7932.0	531.0	3611.0	1020.0	2273.0	805.0	7705.0	2577.0	2453.0	330.0	2789.0	8856.0	1562.0	1482.0	3115.0	4471.0	7984.0	1926.0	1632.0	2836.0	8388.0	1988.0	1279.0	1455.0	3974.0	495.0	9523.0	1439.0	9120.0	2392.0	1399.0	2831.0	504.0	1587.0	4184.0	4231.0	8184.0	9031.0	3026.0	1707.0	977.0	9940.0	3229.0	1144.0	1747.0	4945.0	2315.0	8799.0	7502.0	9893.0	742.0	7485.0	5273.0	1509.0
43	171	12	64	6350.0	951.0	7861.0	484.0	3598.0	952.0	2216.0	769.0	7670.0	2446.0	2454.0	357.0	2781.0	8894.0	1542.0	1437.0	3100.0	4501.0	7883.0	1939.0	1597.0	2845.0	8317.0	2015.0	1279.0	1413.0	3928.0	198.0	9214.0	1375.0	9128.0	2403.0	1405.0	2727.0	492.0	1595.0	4186.0	4242.0	8084.0	8981.0	2904.0	1515.0	947.0	9848.0	3134.0	1141.0	1643.0	5032.0	2291.0	8724.0	7491.0	9910.0	696.0	7439.0	5258.0	1496.0
43	204	12	85	6401.0	1010.0	7933.0	501.0	3612.0	1018.0	2274.0	806.0	7705.0	2576.0	2453.0	329.0	2789.0	8855.0	1562.0	1481.0	3113.0	4473.0	7984.0	1924.0	1631.0	2835.0	8391.0	1992.0	1279.0	1456.0	3974.0	493.0	9524.0	1437.0	9119.0	2387.0	1397.0	2832.0	507.0	1587.0	4184.0	4228.0	8185.0	9032.0	3030.0	1708.0	978.0	9940.0	3225.0	1133.0	1749.0	4944.0	2314.0	8802.0	7503.0	9890.0	741.0	7483.0	5273.0	1511.0
44	169	13	62	6356.0	951.0	7858.0	480.0	3599.0	958.0	2206.0	727.0	7667.0	2443.0	2455.0	360.0	2780.0	8896.0	1589.0	1432.0	3102.0	4502.0	7915.0	1939.0	1595.0	2846.0	8316.0	2014.0	1249.0	1411.0	3927.0	196.0	9215.0	1347.0	9078.0	2404.0	1406.0	2726.0	494.0	1595.0	4188.0	4243.0	8087.0	8980.0	2912.0	1514.0	945.0	9847.0	3131.0	1153.0	1641.0	5033.0	2290.0	8713.0	7488.0	9909.0	696.0	7435.0	5259.0	1497.0
44	170	13	63	6360.0	952.0	7859.0	482.0	3598.0	955.0	2211.0	762.0	7669.0	2444.0	2455.0	358.0	2781.0	8898.0	1589.0	1434.0	3102.0	4501.0	7887.0	1938.0	1597.0	2846.0	8318.0	2211.0	1251.0	1411.0	3928.0	197.0	9215.0	1374.0	9081.0	2404.0	1405.0	2726.0	493.0	1596.0	4187.0	4243.0	8085.0	8983.0	2910.0	1515.0	945.0	9848.0	3133.0	1154.0	1642.0	5033.0	2291.0	8714.0	7490.0	9911.0	696.0	7437.0	5259.0	1497.0
44	171	13	64	6361.0	953.0	7859.0	484.0	3599.0	957.0	2212.0	768.0	7670.0	2446.0	2454.0	357.0	2780.0	8898.0	1544.0	1435.0	3102.0	4500.0	7884.0	1938.0	1598.0	2846.0	8319.0	2211.0	1251.0	1411.0	3929.0	198.0	9215.0	1374.0	9128.0	2403.0	1404.0	2727.0	493.0	1596.0	4186.0	4243.0	8085.0	8983.0	2905.0	1519.0	945.0	9848.0	3134.0	1141.0	1644.0	5032.0	2292.0	8717.0	7492.0	9911.0	696.0	7437.0	5260.0	1497.0
44	202	13	83	6400.0	1009.0	7933.0	535.0	3612.0	1021.0	2275.0	806.0	7705.0	2578.0	2453.0	331.0	2789.0	8862.0	1563.0	1482.0	3200.0	4472.0	7985.0	1927.0	1632.0	2837.0	8390.0	1989.0	1281.0	1455.0	3975.0	496.0	9524.0	1441.0	9120.0	2391.0	1397.0	2829.0	508.0	1588.0	4185.0	4232.0	8185.0	9033.0	3028.0	1707.0	978.0	9940.0	3230.0	1147.0	1746.0	4952.0	2317.0	8800.0	7502.0	9894.0	743.0	7485.0	5274.0	1510.0
44	204	13	85	6400.0	1011.0	7935.0	501.0	3613.0	1020.0	2280.0	806.0	7705.0	2577.0	2453.0	330.0	2789.0	8856.0	1563.0	1482.0	3200.0	4475.0	7985.0	1926.0	1631.0	2836.0	8393.0	1994.0	1280.0	1456.0	3974.0	494.0	9524.0	1439.0	9119.0	2387.0	1396.0	2830.0	509.0	1589.0	4185.0	4230.0	8186.0	9034.0	3032.0	1708.0	980.0	9940.0	3227.0	1143.0	1748.0	4954.0	2315.0	8802.0	7504.0	9891.0	742.0	7483.0	5274.0	1514.0
44	168	13	61	6347.0	949.0	7856.0	473.0	3599.0	957.0	2199.0	719.0	7662.0	2443.0	2455.0	362.0	2778.0	8892.0	1588.0	1430.0	3102.0	4502.0	7914.0	1939.0	1592.0	2846.0	8314.0	2011.0	1248.0	1411.0	3926.0	195.0	9213.0	1343.0	9076.0	2405.0	1312.0	2726.0	493.0	1594.0	4188.0	4243.0	8090.0	8978.0	2913.0	1511.0	945.0	9846.0	3129.0	1152.0	1640.0	5033.0	2290.0	8711.0	7486.0	9908.0	695.0	7433.0	5258.0	1496.0
44	206	13	87	6400.0	1011.0	7969.0	498.0	3612.0	1019.0	2284.0	806.0	7705.0	2575.0	2451.0	330.0	2792.0	8855.0	1563.0	1478.0	3199.0	4501.0	7985.0	1924.0	1630.0	2839.0	8387.0	2014.0	1280.0	1453.0	3972.0	492.0	9525.0	1436.0	9119.0	2388.0	1396.0	2834.0	509.0	1590.0	4182.0	4231.0	8191.0	8972.0	3034.0	1708.0	978.0	9938.0	3223.0	1129.0	1753.0	4944.0	2313.0	8800.0	7507.0	9889.0	741.0	7476.0	5271.0	1515.0
44	205	13	86	6400.0	1011.0	7937.0	499.0	3612.0	1019.0	2282.0	806.0	7705.0	2576.0	2453.0	330.0	2791.0	8856.0	1563.0	1481.0	3200.0	4499.0	7985.0	1925.0	1630.0	2838.0	8389.0	2016.0	1280.0	1455.0	3973.0	492.0	9524.0	1437.0	9119.0	2387.0	1395.0	2832.0	509.0	1589.0	4184.0	4230.0	8189.0	9034.0	3033.0	1708.0	980.0	9939.0	3224.0	1131.0	1813.0	4945.0	2314.0	8801.0	7506.0	9890.0	741.0	7479.0	5273.0	1515.0
44	389	13	164	6400.0	1002.0	7934.0	489.0	3546.0	1027.0	2233.0	781.0	7684.0	2576.0	2457.0	297.0	2706.0	8842.0	1568.0	1474.0	3046.0	4461.0	7875.0	1925.0	1613.0	2842.0	8378.0	1967.0	1279.0	1454.0	3957.0	320.0	9508.0	1422.0	9074.0	2372.0	1369.0	2745.0	467.0	1541.0	4179.0	4256.0	8053.0	8957.0	3015.0	1716.0	918.0	9867.0	3225.0	1129.0	1690.0	4941.0	2261.0	8829.0	7437.0	9874.0	730.0	7446.0	5232.0	1451.0
44	385	13	161	6400.0	1005.0	7936.0	489.0	3550.0	1027.0	2237.0	784.0	7681.0	2576.0	2446.0	296.0	2708.0	8843.0	1568.0	1472.0	3053.0	4461.0	7879.0	1925.0	1613.0	2846.0	8377.0	1972.0	1278.0	1453.0	3954.0	323.0	9512.0	1422.0	9082.0	2375.0	1377.0	2747.0	464.0	1544.0	4178.0	4254.0	8031.0	8953.0	3027.0	1715.0	925.0	9859.0	3223.0	1129.0	1689.0	4943.0	2267.0	8825.0	7437.0	9883.0	732.0	7446.0	5231.0	1456.0
45	202	14	83	6400.0	1010.0	7933.0	537.0	3611.0	1022.0	2279.0	806.0	7705.0	2578.0	2454.0	332.0	2789.0	8864.0	1564.0	1482.0	3201.0	4474.0	7986.0	1928.0	1632.0	2839.0	8389.0	1994.0	1282.0	1455.0	3974.0	498.0	9524.0	1442.0	9120.0	2344.0	1397.0	2828.0	509.0	1588.0	4186.0	4236.0	8185.0	9035.0	3031.0	1707.0	1007.0	9941.0	3272.0	1148.0	1744.0	4993.0	2319.0	8800.0	7503.0	9894.0	743.0	7487.0	5274.0	1511.0
45	204	14	85	6400.0	1011.0	7934.0	502.0	3612.0	1021.0	2282.0	807.0	7705.0	2577.0	2454.0	331.0	2789.0	8857.0	1564.0	1482.0	3202.0	4499.0	7985.0	1927.0	1631.0	2838.0	8392.0	2019.0	1280.0	1455.0	3974.0	495.0	9524.0	1440.0	9119.0	2386.0	1396.0	2829.0	510.0	1589.0	4186.0	4232.0	8186.0	9035.0	3033.0	1708.0	980.0	9940.0	3230.0	1145.0	1747.0	4992.0	2316.0	8801.0	7506.0	9891.0	743.0	7484.0	5274.0	1515.0
45	205	14	86	6400.0	1011.0	7936.0	500.0	3612.0	1021.0	2285.0	807.0	7705.0	2577.0	2454.0	331.0	2791.0	8856.0	1564.0	1481.0	3202.0	4500.0	7986.0	1927.0	1631.0	2840.0	8389.0	2018.0	1280.0	1454.0	3973.0	494.0	9525.0	1438.0	9118.0	2386.0	1396.0	2830.0	511.0	1590.0	4186.0	4233.0	8189.0	9036.0	3034.0	1708.0	980.0	9940.0	3226.0	1134.0	1749.0	4990.0	2316.0	8801.0	7508.0	9890.0	742.0	7479.0	5273.0	1516.0
45	171	14	64	6363.0	955.0	7857.0	483.0	3600.0	958.0	2206.0	769.0	7670.0	2445.0	2455.0	359.0	2780.0	8894.0	1545.0	1433.0	3104.0	4499.0	7917.0	1936.0	1598.0	2847.0	8344.0	2212.0	1236.0	1409.0	3928.0	201.0	9217.0	1352.0	9128.0	2403.0	1405.0	2727.0	493.0	1596.0	4187.0	4244.0	8086.0	8985.0	2909.0	1521.0	946.0	9849.0	3133.0	1140.0	1643.0	5032.0	2304.0	8714.0	7494.0	9913.0	696.0	7434.0	5261.0	1498.0
45	194	14	79	6395.0	1006.0	7929.0	537.0	3604.0	1019.0	2282.0	803.0	7705.0	2577.0	2452.0	335.0	2789.0	8913.0	1565.0	1489.0	3114.0	4469.0	7989.0	1930.0	1631.0	2838.0	8387.0	2068.0	1398.0	1454.0	3971.0	505.0	9523.0	1442.0	9121.0	2341.0	1402.0	2827.0	504.0	1589.0	4177.0	4242.0	8184.0	9035.0	3025.0	1704.0	1028.0	9941.0	3270.0	1149.0	1740.0	5039.0	2321.0	8799.0	7502.0	9902.0	742.0	7480.0	5273.0	1503.0
45	195	14	80	6396.0	1006.0	7931.0	537.0	3605.0	1020.0	2282.0	805.0	7706.0	2578.0	2452.0	334.0	2790.0	8912.0	1564.0	1489.0	3116.0	4473.0	7988.0	1929.0	1632.0	2839.0	8386.0	2066.0	1284.0	1454.0	3973.0	508.0	9524.0	1442.0	9121.0	2341.0	1401.0	2828.0	510.0	1588.0	4181.0	4241.0	8184.0	9035.0	3025.0	1705.0	976.0	9942.0	3271.0	1149.0	1740.0	5049.0	2321.0	8799.0	7502.0	9899.0	742.0	7485.0	5274.0	1504.0
45	206	14	87	6400.0	1012.0	7969.0	500.0	3612.0	1021.0	2288.0	807.0	7705.0	2576.0	2453.0	331.0	2792.0	8856.0	1563.0	1479.0	3202.0	4502.0	7985.0	1926.0	1631.0	2841.0	8387.0	2016.0	1280.0	1453.0	3971.0	494.0	9525.0	1436.0	9118.0	2387.0	1397.0	2832.0	511.0	1590.0	4184.0	4233.0	8191.0	8966.0	3036.0	1708.0	979.0	9938.0	3224.0	1130.0	1749.0	4988.0	2314.0	8800.0	7509.0	9889.0	742.0	7476.0	5272.0	1517.0
45	230	14	108	6389.0	1005.0	7930.0	493.0	3579.0	1014.0	2275.0	771.0	7701.0	2559.0	2452.0	321.0	2784.0	8851.0	1559.0	1461.0	3098.0	4472.0	7971.0	1901.0	1624.0	2832.0	8373.0	1985.0	1288.0	1447.0	3937.0	489.0	9530.0	1430.0	9111.0	2335.0	1359.0	2823.0	469.0	1605.0	4181.0	4224.0	8181.0	8950.0	3030.0	1700.0	950.0	9855.0	3218.0	1117.0	1747.0	4937.0	2306.0	8791.0	7504.0	9877.0	736.0	7441.0	5249.0	1483.0
45	249	14	115	6392.0	1010.0	7928.0	487.0	3578.0	1016.0	2272.0	744.0	7705.0	2565.0	2449.0	331.0	2781.0	8846.0	1562.0	1472.0	3109.0	4464.0	7985.0	1910.0	1625.0	2832.0	8373.0	2021.0	1308.0	1449.0	3973.0	484.0	9520.0	1435.0	9085.0	2338.0	1369.0	2798.0	469.0	1583.0	4188.0	4220.0	8150.0	8946.0	3021.0	1702.0	955.0	9869.0	3221.0	1124.0	1738.0	4935.0	2312.0	8796.0	7497.0	9885.0	736.0	7443.0	5261.0	1471.0
45	172	14	65	6363.0	956.0	7858.0	491.0	3600.0	957.0	2211.0	771.0	7672.0	2447.0	2454.0	358.0	2779.0	8894.0	1542.0	1435.0	3103.0	4498.0	7885.0	1935.0	1600.0	2846.0	8378.0	2211.0	1236.0	1412.0	3930.0	204.0	9240.0	1359.0	9127.0	2402.0	1404.0	2727.0	494.0	1596.0	4186.0	4243.0	8085.0	8986.0	2904.0	1532.0	945.0	9849.0	3134.0	1140.0	1644.0	5032.0	2307.0	8716.0	7495.0	9915.0	696.0	7437.0	5261.0	1498.0
45	173	14	66	6366.0	957.0	7859.0	494.0	3600.0	959.0	2215.0	773.0	7673.0	2449.0	2453.0	358.0	2778.0	8894.0	1543.0	1437.0	3104.0	4498.0	7884.0	1934.0	1623.0	2845.0	8379.0	2211.0	1238.0	1417.0	3931.0	227.0	9245.0	1358.0	9126.0	2402.0	1404.0	2727.0	495.0	1595.0	4185.0	4243.0	8086.0	8986.0	2910.0	1537.0	945.0	9850.0	3135.0	1140.0	1645.0	5031.0	2309.0	8727.0	7496.0	9916.0	700.0	7438.0	5261.0	1497.0
46	170	15	63	6367.0	957.0	7854.0	481.0	3598.0	959.0	2202.0	761.0	7669.0	2441.0	2455.0	361.0	2779.0	8894.0	1588.0	1431.0	3107.0	4499.0	7917.0	1936.0	1598.0	2852.0	8343.0	2151.0	1226.0	1409.0	3927.0	198.0	9217.0	1342.0	9091.0	2404.0	1406.0	2727.0	491.0	1597.0	4189.0	4244.0	8089.0	8985.0	2919.0	1517.0	945.0	9849.0	3130.0	1139.0	1641.0	5033.0	2305.0	8679.0	7495.0	9914.0	695.0	7430.0	5262.0	1497.0
46	171	15	64	6368.0	958.0	7856.0	492.0	3599.0	961.0	2205.0	769.0	7671.0	2444.0	2455.0	360.0	2779.0	8894.0	1546.0	1433.0	3108.0	4498.0	7918.0	1936.0	1600.0	2852.0	8376.0	2212.0	1229.0	1409.0	3928.0	200.0	9242.0	1346.0	9093.0	2403.0	1405.0	2728.0	492.0	1597.0	4188.0	4244.0	8089.0	8985.0	2913.0	1534.0	945.0	9850.0	3132.0	1140.0	1643.0	5032.0	2307.0	8714.0	7496.0	9915.0	696.0	7430.0	5264.0	1498.0
46	173	15	66	6373.0	1006.0	7858.0	522.0	3600.0	963.0	2212.0	774.0	7674.0	2447.0	2453.0	360.0	2778.0	8894.0	1544.0	1436.0	3108.0	4497.0	7885.0	1934.0	1622.0	2847.0	8380.0	2211.0	1233.0	1414.0	3931.0	234.0	9264.0	1350.0	9096.0	2402.0	1404.0	2729.0	495.0	1597.0	4186.0	4244.0	8088.0	8986.0	2923.0	1542.0	945.0	9851.0	3138.0	1140.0	1645.0	5030.0	2311.0	8728.0	7498.0	9917.0	702.0	7436.0	5264.0	1497.0
46	206	15	87	6399.0	1012.0	7969.0	501.0	3612.0	1022.0	2295.0	807.0	7705.0	2577.0	2454.0	331.0	2792.0	8857.0	1564.0	1480.0	3203.0	4502.0	7986.0	1927.0	1630.0	2843.0	8388.0	2018.0	1280.0	1452.0	3971.0	494.0	9525.0	1437.0	9118.0	2387.0	1399.0	2829.0	517.0	1592.0	4185.0	4236.0	8192.0	8963.0	3042.0	1708.0	980.0	9937.0	3226.0	1131.0	1748.0	4988.0	2316.0	8799.0	7510.0	9889.0	743.0	7476.0	5273.0	1518.0
46	54	15	23	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	15	65	6370.0	960.0	7857.0	493.0	3600.0	960.0	2208.0	771.0	7673.0	2445.0	2454.0	359.0	2778.0	8893.0	1543.0	1434.0	3107.0	4497.0	7919.0	1934.0	1602.0	2850.0	8378.0	2212.0	1230.0	1411.0	3930.0	204.0	9245.0	1348.0	9094.0	2402.0	1404.0	2728.0	493.0	1597.0	4187.0	4244.0	8088.0	8986.0	2913.0	1537.0	945.0	9851.0	3134.0	1140.0	1644.0	5031.0	2310.0	8717.0	7497.0	9916.0	696.0	7433.0	5264.0	1497.0
