alnA	alnB	A	B	YMR138W_22	YMR138W_66	YMR138W_24	YMR138W_46	YMR138W_42	YMR138W_49	YMR138W_11	YMR138W_17	YMR138W_37	YMR138W_19	YMR138W_31	YMR138W_21	YMR138W_62	YMR138W_35	YMR138W_18	YMR138W_03	YMR138W_07	YMR138W_53	YMR138W_69	YMR138W_15	YMR138W_67	YMR138W_41	YMR138W_43	YMR138W_55	YMR138W_12	YMR138W_44	YMR138W_23	YMR138W_64	YMR138W_05	YMR138W_51	YMR138W_08	YMR138W_45	YMR138W_10	YMR138W_38	YMR138W_65	YMR138W_56	YMR138W_04	YMR138W_09	YMR138W_48	YMR138W_34	YMR138W_33	YMR138W_29	YMR138W_26	YMR138W_58	YMR138W_30	YMR138W_06	YMR138W_59	YMR138W_54	YMR138W_63	YMR138W_02	YMR138W_27	YMR138W_36	YMR138W_68	YMR138W_32	YMR138W_39	YMR138W_60	YMR138W_52	YMR138W_28	YMR138W_16	YMR138W_70	YMR138W_25	YMR138W_57	YMR138W_14	YMR138W_61	YMR138W_50	YMR138W_01
38	389	15	181	1216.0	3023.0	746.0	1427.0	2380.0	1250.0	4336.0	8261.0	7263.0	1848.0	9168.0	9168.0	6638.0	581.0	505.0	6421.0	287.0	6698.0	4200.0	6721.0	967.0	4570.0	1054.0	4117.0	3520.0	4053.0	2081.0	4840.0	1980.0	6851.0	1333.0	2820.0	4041.0	3220.0	1629.0	3999.0	840.0	3506.0	3383.0	5887.0	3130.0	1377.0	5286.0	3204.0	2435.0	8971.0	557.0	7683.0	1503.0	458.0	1774.0	2622.0	1491.0	228.0	5694.0	8418.0	1419.0	157.0	3766.0	6260.0	3476.0	702.0	2468.0	7586.0	3321.0	8115.0
38	390	15	182	1216.0	3024.0	746.0	1427.0	2380.0	1250.0	4339.0	8264.0	7262.0	1849.0	9169.0	9170.0	6638.0	579.0	507.0	6421.0	287.0	6695.0	4199.0	6721.0	964.0	4570.0	1054.0	4143.0	3520.0	4053.0	2081.0	4840.0	1955.0	6850.0	1333.0	2819.0	4042.0	3221.0	1630.0	4002.0	846.0	3507.0	3383.0	5887.0	3131.0	1378.0	5287.0	3201.0	2435.0	8970.0	552.0	7683.0	1503.0	459.0	1776.0	2625.0	1491.0	229.0	5694.0	8419.0	1419.0	157.0	3768.0	6261.0	3468.0	705.0	2467.0	7588.0	3321.0	8116.0
38	170	15	63	1411.0	3267.0	833.0	1539.0	2585.0	1250.0	4356.0	8283.0	7341.0	1826.0	9181.0	9165.0	6662.0	622.0	719.0	6607.0	276.0	6694.0	4203.0	6806.0	1008.0	4712.0	1220.0	4168.0	3673.0	4100.0	2210.0	5041.0	2455.0	7158.0	1416.0	3048.0	4175.0	3413.0	1627.0	4058.0	986.0	3579.0	3432.0	6061.0	3109.0	1417.0	5516.0	3364.0	2414.0	9185.0	786.0	7835.0	1510.0	523.0	1763.0	2628.0	1537.0	229.0	5872.0	8504.0	1603.0	174.0	3988.0	6340.0	3587.0	789.0	2678.0	7659.0	3413.0	8297.0
43	203	16	86	1342.0	3178.0	809.0	1869.0	2403.0	1250.0	4322.0	8253.0	7324.0	1921.0	9176.0	9173.0	6667.0	618.0	683.0	6883.0	258.0	6827.0	4254.0	6728.0	982.0	4692.0	1180.0	4280.0	3604.0	4082.0	2276.0	4946.0	2379.0	7152.0	1360.0	3050.0	4174.0	3294.0	1707.0	4088.0	1046.0	3533.0	3475.0	6066.0	3216.0	1462.0	5339.0	3318.0	2469.0	9041.0	649.0	7848.0	1565.0	617.0	1862.0	2628.0	1515.0	253.0	5779.0	8545.0	1381.0	181.0	3849.0	6317.0	3498.0	896.0	2667.0	7665.0	3446.0	8242.0
43	169	16	62	20000.0	3268.0	833.0	1538.0	2587.0	1250.0	4357.0	8284.0	7342.0	1824.0	9182.0	9166.0	6664.0	622.0	720.0	6608.0	276.0	6694.0	4204.0	6888.0	1009.0	4712.0	1220.0	4169.0	3673.0	4098.0	2210.0	5045.0	2449.0	7160.0	1416.0	3050.0	4180.0	3419.0	1626.0	4059.0	1001.0	3579.0	3433.0	6060.0	3109.0	1416.0	5493.0	3365.0	2415.0	9184.0	785.0	7836.0	1510.0	522.0	1763.0	2629.0	1536.0	230.0	5873.0	8504.0	1604.0	176.0	3982.0	6340.0	3587.0	798.0	2679.0	7665.0	3412.0	8297.0
43	198	16	84	1342.0	3180.0	810.0	1809.0	2401.0	1250.0	4321.0	8253.0	7337.0	1921.0	9176.0	9171.0	6665.0	619.0	682.0	6593.0	258.0	6820.0	4252.0	6728.0	983.0	4691.0	1180.0	4278.0	3605.0	4081.0	2274.0	4946.0	2365.0	7152.0	1360.0	3048.0	4170.0	3294.0	1708.0	4054.0	1046.0	3535.0	3474.0	6067.0	3218.0	1461.0	5340.0	3323.0	2469.0	9068.0	648.0	7847.0	1563.0	617.0	1862.0	2626.0	1516.0	254.0	5780.0	8546.0	1378.0	179.0	3850.0	6320.0	3498.0	893.0	2668.0	7666.0	3447.0	8242.0
43	202	16	85	1342.0	3179.0	810.0	1815.0	2402.0	1250.0	4322.0	8253.0	7326.0	1922.0	9176.0	9172.0	6666.0	619.0	683.0	6883.0	258.0	6821.0	4254.0	6728.0	983.0	4691.0	1181.0	4279.0	3604.0	4082.0	2275.0	4946.0	2367.0	7152.0	1360.0	3050.0	4173.0	3294.0	1708.0	4056.0	1046.0	3534.0	3474.0	6066.0	3217.0	1462.0	5339.0	3319.0	2469.0	9068.0	648.0	7847.0	1564.0	617.0	1862.0	2628.0	1515.0	254.0	5779.0	8545.0	1381.0	180.0	3849.0	6318.0	3498.0	895.0	2667.0	7665.0	3446.0	8242.0
43	171	16	64	1410.0	3270.0	831.0	1542.0	2588.0	1250.0	4355.0	8309.0	7344.0	1833.0	9179.0	9166.0	6662.0	623.0	718.0	6609.0	276.0	6696.0	4205.0	6808.0	1007.0	4713.0	1222.0	4170.0	3677.0	4098.0	2214.0	5046.0	2689.0	7158.0	1417.0	3048.0	4177.0	3412.0	1627.0	4059.0	1003.0	3579.0	3434.0	6063.0	3123.0	1430.0	5517.0	3367.0	2416.0	9188.0	790.0	7837.0	1521.0	524.0	1765.0	2627.0	1536.0	230.0	5872.0	8521.0	1602.0	175.0	3990.0	6369.0	3590.0	799.0	2678.0	7658.0	3414.0	8299.0
43	204	16	87	1341.0	3178.0	807.0	1869.0	2405.0	1250.0	4321.0	8252.0	7321.0	1922.0	9176.0	9174.0	6667.0	618.0	683.0	6884.0	257.0	6828.0	4255.0	6728.0	982.0	4690.0	1181.0	4283.0	3604.0	4081.0	2276.0	4945.0	2381.0	7151.0	1360.0	3052.0	4175.0	3294.0	1707.0	4086.0	1047.0	3533.0	3474.0	6065.0	3186.0	1462.0	5338.0	3315.0	2469.0	9038.0	648.0	7847.0	1564.0	617.0	1861.0	2628.0	1514.0	252.0	5779.0	8530.0	1381.0	182.0	3849.0	6316.0	3497.0	897.0	2667.0	7664.0	3435.0	8242.0
44	169	17	62	1412.0	3270.0	833.0	1540.0	2588.0	1250.0	4358.0	8310.0	7343.0	1827.0	9182.0	9166.0	6665.0	623.0	721.0	6611.0	276.0	6695.0	4205.0	6889.0	1008.0	4713.0	1220.0	4173.0	3675.0	4096.0	2211.0	5046.0	2448.0	7162.0	1417.0	3051.0	4182.0	3421.0	1628.0	4060.0	1004.0	3579.0	3434.0	6059.0	3111.0	1416.0	5515.0	3366.0	2417.0	9097.0	786.0	7837.0	1520.0	522.0	1764.0	2629.0	1535.0	231.0	5873.0	8506.0	1603.0	179.0	3964.0	6340.0	3588.0	803.0	2679.0	7666.0	3412.0	8298.0
44	170	17	63	1411.0	3271.0	832.0	1542.0	2588.0	1250.0	4357.0	8310.0	7344.0	1834.0	9181.0	9167.0	6664.0	623.0	721.0	6611.0	275.0	6697.0	4206.0	6892.0	1008.0	4714.0	1221.0	4176.0	3676.0	4097.0	2213.0	5047.0	2452.0	7161.0	1418.0	3053.0	4180.0	3420.0	1629.0	4060.0	1005.0	3580.0	3435.0	6061.0	3119.0	1420.0	5516.0	3367.0	2418.0	9187.0	788.0	7837.0	1521.0	523.0	1765.0	2629.0	1535.0	232.0	5873.0	8521.0	1602.0	178.0	3983.0	6371.0	3590.0	803.0	2679.0	7666.0	3413.0	8299.0
44	171	17	64	1410.0	3272.0	831.0	1545.0	2589.0	1250.0	4356.0	8309.0	7345.0	1835.0	9179.0	9168.0	6664.0	624.0	720.0	6612.0	276.0	6699.0	4206.0	6894.0	1007.0	4717.0	1222.0	4178.0	3678.0	4097.0	2216.0	5048.0	2689.0	7160.0	1419.0	3053.0	4179.0	3413.0	1630.0	4059.0	1007.0	3579.0	3436.0	6062.0	3126.0	1430.0	5517.0	3368.0	2418.0	9206.0	797.0	7838.0	1535.0	525.0	1766.0	2628.0	1535.0	231.0	5872.0	8528.0	1601.0	178.0	3989.0	6370.0	3591.0	803.0	2678.0	7660.0	3414.0	8300.0
44	202	17	85	1342.0	3181.0	812.0	1811.0	2403.0	1250.0	4323.0	8254.0	7332.0	1922.0	9176.0	9174.0	6668.0	618.0	685.0	6885.0	259.0	6825.0	4254.0	6730.0	984.0	4691.0	1182.0	4282.0	3604.0	4082.0	2275.0	4947.0	2379.0	7153.0	1364.0	3053.0	4174.0	3295.0	1709.0	4054.0	1046.0	3535.0	3475.0	6068.0	3186.0	1462.0	5342.0	3325.0	2470.0	9068.0	649.0	7848.0	1565.0	618.0	1863.0	2628.0	1517.0	254.0	5780.0	8544.0	1383.0	182.0	3850.0	6319.0	3499.0	896.0	2668.0	7666.0	3433.0	8243.0
44	204	17	87	1341.0	3179.0	807.0	1819.0	2405.0	1250.0	4322.0	8253.0	7322.0	1922.0	9176.0	9175.0	6668.0	618.0	686.0	6886.0	258.0	6829.0	4256.0	6729.0	983.0	4690.0	1182.0	4290.0	3603.0	4082.0	2276.0	4947.0	2382.0	7151.0	1363.0	3053.0	4175.0	3294.0	1708.0	4054.0	1046.0	3533.0	3475.0	6066.0	3184.0	1462.0	5340.0	3322.0	2471.0	9049.0	649.0	7848.0	1564.0	618.0	1862.0	2629.0	1516.0	252.0	5780.0	8528.0	1383.0	184.0	3850.0	6317.0	3498.0	897.0	2667.0	7664.0	3432.0	8243.0
44	168	17	61	20000.0	3268.0	833.0	1536.0	2586.0	1250.0	4357.0	8283.0	7342.0	1825.0	9183.0	9166.0	6665.0	622.0	722.0	6610.0	275.0	6693.0	4203.0	6888.0	1008.0	4712.0	1218.0	4171.0	3673.0	4096.0	2209.0	5044.0	2447.0	7163.0	1416.0	3048.0	4182.0	3424.0	1625.0	4060.0	1003.0	3579.0	3433.0	6058.0	3108.0	1414.0	5491.0	3364.0	2416.0	9094.0	784.0	7836.0	1510.0	516.0	1762.0	2630.0	1534.0	230.0	5872.0	8504.0	1604.0	178.0	3961.0	6337.0	3587.0	800.0	2679.0	7666.0	3411.0	8296.0
44	206	17	89	1338.0	3177.0	794.0	1808.0	2408.0	1250.0	4322.0	8253.0	7320.0	1922.0	9175.0	9175.0	6670.0	617.0	683.0	6883.0	258.0	6838.0	4258.0	6727.0	982.0	4693.0	1182.0	4294.0	3603.0	4082.0	2276.0	4945.0	2384.0	7150.0	1361.0	3053.0	4180.0	3295.0	1671.0	4053.0	1044.0	3528.0	3476.0	6065.0	3184.0	1463.0	5338.0	3315.0	2471.0	9041.0	649.0	7846.0	1566.0	616.0	1860.0	2628.0	1517.0	234.0	5780.0	8528.0	1386.0	186.0	3843.0	6316.0	3496.0	900.0	2665.0	7630.0	3430.0	8243.0
44	205	17	88	1340.0	3178.0	796.0	1810.0	2407.0	1250.0	4322.0	8254.0	7321.0	1922.0	9176.0	9175.0	6669.0	617.0	685.0	6885.0	258.0	6837.0	4257.0	6729.0	983.0	4691.0	1182.0	4293.0	3603.0	4082.0	2276.0	4946.0	2384.0	7151.0	1362.0	3054.0	4177.0	3295.0	1675.0	4055.0	1046.0	3532.0	3475.0	6065.0	3184.0	1463.0	5339.0	3318.0	2471.0	9047.0	649.0	7847.0	1565.0	617.0	1861.0	2629.0	1517.0	236.0	5780.0	8527.0	1385.0	186.0	3847.0	6317.0	3497.0	898.0	2666.0	7632.0	3432.0	8243.0
44	389	17	181	1217.0	3024.0	745.0	1429.0	2382.0	1250.0	4342.0	8241.0	7266.0	1849.0	9173.0	9170.0	6613.0	580.0	506.0	6422.0	256.0	6701.0	4204.0	6722.0	979.0	4570.0	1056.0	4117.0	3523.0	4054.0	2083.0	4820.0	1981.0	6856.0	1328.0	2819.0	4043.0	3224.0	1629.0	4001.0	847.0	3508.0	3389.0	5893.0	3134.0	1379.0	5287.0	3204.0	2433.0	8972.0	557.0	7692.0	1506.0	460.0	1774.0	2626.0	1495.0	197.0	5696.0	8421.0	1419.0	151.0	3769.0	6229.0	3466.0	701.0	2505.0	7594.0	3329.0	8118.0
44	385	17	178	1220.0	3023.0	744.0	1435.0	2384.0	1250.0	4342.0	8234.0	7270.0	1848.0	9166.0	9171.0	6611.0	585.0	512.0	6424.0	285.0	6695.0	4205.0	6718.0	982.0	4603.0	1056.0	4141.0	3524.0	4053.0	2094.0	4823.0	1984.0	6863.0	1330.0	2819.0	4040.0	3226.0	1628.0	4002.0	830.0	3505.0	3385.0	5901.0	3134.0	1379.0	5287.0	3198.0	2438.0	8974.0	574.0	7703.0	1505.0	461.0	1769.0	2624.0	1495.0	215.0	5702.0	8422.0	1426.0	152.0	3767.0	6265.0	3473.0	700.0	2508.0	7589.0	3333.0	8118.0
45	202	18	85	1341.0	3182.0	813.0	1811.0	2404.0	1250.0	4324.0	8255.0	7331.0	1922.0	9176.0	9175.0	6670.0	618.0	688.0	6591.0	260.0	6829.0	4254.0	6732.0	985.0	4690.0	1183.0	4292.0	3603.0	4082.0	2275.0	4948.0	2382.0	7153.0	1365.0	3054.0	4174.0	3296.0	1711.0	4052.0	1047.0	3536.0	3475.0	6068.0	3185.0	1463.0	5345.0	3329.0	2472.0	9070.0	650.0	7849.0	1565.0	620.0	1863.0	2628.0	1520.0	252.0	5782.0	8534.0	1518.0	185.0	3851.0	6321.0	3499.0	896.0	2668.0	7667.0	3429.0	8243.0
45	204	18	87	1340.0	3180.0	807.0	1814.0	2407.0	1250.0	4324.0	8255.0	7323.0	1922.0	9176.0	9178.0	6670.0	618.0	688.0	6889.0	259.0	6837.0	4255.0	6731.0	984.0	4689.0	1183.0	4292.0	3603.0	4082.0	2276.0	4949.0	2384.0	7152.0	1364.0	3054.0	4176.0	3295.0	1681.0	4052.0	1046.0	3535.0	3475.0	6067.0	3183.0	1463.0	5342.0	3327.0	2472.0	9068.0	649.0	7849.0	1565.0	618.0	1863.0	2629.0	1519.0	236.0	5782.0	8527.0	1516.0	186.0	3851.0	6319.0	3498.0	897.0	2667.0	7665.0	3429.0	8243.0
45	205	18	88	1338.0	3179.0	796.0	1809.0	2409.0	1250.0	4324.0	8255.0	7322.0	1922.0	9176.0	9179.0	6671.0	617.0	687.0	6902.0	259.0	6837.0	4255.0	6731.0	984.0	4689.0	1184.0	4294.0	3602.0	4083.0	2276.0	4948.0	2385.0	7151.0	1363.0	3054.0	4179.0	3295.0	1675.0	4053.0	1045.0	3534.0	3475.0	6066.0	3183.0	1463.0	5340.0	3324.0	2473.0	9068.0	650.0	7848.0	1565.0	618.0	1862.0	2629.0	1524.0	235.0	5783.0	8526.0	1515.0	187.0	3848.0	6318.0	3497.0	898.0	2667.0	7631.0	3428.0	8243.0
45	171	18	64	1358.0	3276.0	831.0	1549.0	2591.0	1250.0	4356.0	8309.0	7347.0	1837.0	9179.0	9169.0	6665.0	624.0	720.0	6614.0	276.0	6706.0	4207.0	6895.0	1007.0	4753.0	1222.0	4179.0	3680.0	4096.0	2223.0	5051.0	2442.0	7161.0	1420.0	3059.0	4180.0	3420.0	1629.0	4060.0	1009.0	3579.0	3437.0	6062.0	3127.0	1432.0	5517.0	3369.0	2418.0	9208.0	798.0	7839.0	1536.0	524.0	1768.0	2628.0	1534.0	233.0	5872.0	8603.0	1601.0	180.0	3987.0	6370.0	3594.0	810.0	2679.0	7666.0	3414.0	8302.0
45	194	18	81	1342.0	3185.0	809.0	1811.0	2403.0	1250.0	4323.0	8256.0	7342.0	1919.0	9175.0	9173.0	6668.0	616.0	687.0	6585.0	261.0	6830.0	4251.0	6732.0	986.0	4693.0	1182.0	4280.0	3604.0	4081.0	2270.0	4951.0	2381.0	7153.0	1364.0	3053.0	4171.0	3295.0	1707.0	4054.0	1046.0	3539.0	3478.0	6074.0	3218.0	1461.0	5351.0	3331.0	2476.0	9071.0	652.0	7848.0	1563.0	618.0	1864.0	2624.0	1523.0	256.0	5815.0	8545.0	1379.0	177.0	3867.0	6326.0	3500.0	892.0	2669.0	7669.0	3424.0	8244.0
45	195	18	82	1342.0	3184.0	810.0	1811.0	2403.0	1250.0	4324.0	8257.0	7340.0	1921.0	9175.0	9174.0	6668.0	617.0	686.0	6586.0	261.0	6829.0	4252.0	6731.0	986.0	4694.0	1183.0	4280.0	3605.0	4081.0	2273.0	4951.0	2381.0	7154.0	1365.0	3051.0	4173.0	3297.0	1709.0	4053.0	1046.0	3538.0	3476.0	6071.0	3217.0	1462.0	5350.0	3331.0	2476.0	9071.0	651.0	7849.0	1564.0	621.0	1864.0	2626.0	1523.0	256.0	5816.0	8544.0	1383.0	179.0	3853.0	6325.0	3500.0	893.0	2669.0	7668.0	3425.0	8244.0
45	206	18	89	1337.0	3178.0	794.0	1808.0	2410.0	1250.0	4324.0	8255.0	7321.0	1922.0	9176.0	9179.0	6672.0	617.0	685.0	6885.0	260.0	6838.0	4255.0	6729.0	983.0	4689.0	1184.0	4295.0	3603.0	4083.0	2275.0	4947.0	2388.0	7150.0	1363.0	3054.0	4181.0	3296.0	1672.0	4052.0	1043.0	3531.0	3476.0	6066.0	3183.0	1464.0	5339.0	3321.0	2473.0	9068.0	650.0	7847.0	1566.0	617.0	1861.0	2629.0	1526.0	234.0	5783.0	8527.0	1514.0	189.0	3843.0	6318.0	3496.0	900.0	2665.0	7630.0	3424.0	8243.0
45	230	18	110	1305.0	3090.0	790.0	1482.0	2366.0	1250.0	4320.0	8201.0	7297.0	1822.0	9157.0	9163.0	6554.0	607.0	543.0	6493.0	251.0	6669.0	4210.0	6696.0	952.0	4625.0	1175.0	4067.0	3561.0	4040.0	2207.0	4853.0	1989.0	6943.0	1329.0	2984.0	4104.0	3280.0	1659.0	3994.0	866.0	3502.0	3403.0	6026.0	3146.0	1334.0	5332.0	3215.0	2427.0	9040.0	555.0	7803.0	1496.0	497.0	1739.0	2620.0	1515.0	224.0	5764.0	8414.0	1373.0	175.0	3799.0	6315.0	3470.0	637.0	2432.0	7563.0	3399.0	8150.0
45	249	18	122	1302.0	3049.0	766.0	1538.0	2381.0	1250.0	4328.0	8245.0	7291.0	1844.0	9172.0	9167.0	6554.0	607.0	568.0	6540.0	254.0	6680.0	4221.0	6737.0	943.0	4681.0	1137.0	4068.0	3584.0	4083.0	2198.0	4844.0	2171.0	6942.0	1397.0	3007.0	4116.0	3271.0	1641.0	4000.0	859.0	3497.0	3405.0	6063.0	3152.0	1345.0	5337.0	3205.0	2430.0	9046.0	638.0	7804.0	1499.0	486.0	1766.0	2624.0	1508.0	220.0	5760.0	8413.0	1379.0	182.0	3800.0	6311.0	3473.0	759.0	2489.0	7555.0	3359.0	8152.0
45	172	18	65	1356.0	3284.0	830.0	1551.0	2592.0	1250.0	4355.0	8308.0	7348.0	1928.0	9177.0	9169.0	6664.0	624.0	719.0	6613.0	276.0	6714.0	4208.0	6897.0	1006.0	4753.0	1223.0	4186.0	3681.0	4095.0	2238.0	5053.0	2442.0	7160.0	1420.0	3061.0	4178.0	3414.0	1630.0	4060.0	1012.0	3577.0	3438.0	6063.0	3128.0	1433.0	5517.0	3369.0	2421.0	9105.0	798.0	7839.0	1536.0	527.0	1769.0	2627.0	1534.0	232.0	5872.0	8603.0	1600.0	179.0	3991.0	6366.0	3595.0	806.0	2678.0	7660.0	3415.0	8304.0
