alnA	alnB	A	B	YFL005W_28	YFL005W_08	YFL005W_35	YFL005W_43	YFL005W_14	YFL005W_70	YFL005W_16	YFL005W_57	YFL005W_19	YFL005W_34	YFL005W_01	YFL005W_30	YFL005W_10	YFL005W_45	YFL005W_23	YFL005W_13	YFL005W_12	YFL005W_68	YFL005W_26	YFL005W_11	YFL005W_49	YFL005W_17	YFL005W_09	YFL005W_61	YFL005W_54	YFL005W_22	YFL005W_18	YFL005W_41	YFL005W_32	YFL005W_44	YFL005W_38	YFL005W_06	YFL005W_21	YFL005W_46	YFL005W_66	YFL005W_05	YFL005W_31	YFL005W_15	YFL005W_58	YFL005W_56	YFL005W_37	YFL005W_50	YFL005W_51	YFL005W_20	YFL005W_40	YFL005W_42	YFL005W_53	YFL005W_65	YFL005W_24	YFL005W_67	YFL005W_07	YFL005W_27	YFL005W_25	YFL005W_63	YFL005W_55	YFL005W_02	YFL005W_33	YFL005W_59	YFL005W_62	YFL005W_36	YFL005W_29	YFL005W_04	YFL005W_52	YFL005W_69	YFL005W_03	YFL005W_48	YFL005W_39	YFL005W_47	YFL005W_60	YFL005W_64
38	389	19	174	1075.0	2484.0	8292.0	170.0	1073.0	2693.0	1733.0	191.0	601.0	3951.0	3240.0	2410.0	2762.0	849.0	1204.0	3722.0	127.0	557.0	1577.0	930.0	4836.0	3681.0	2316.0	1381.0	218.0	1204.0	3093.0	3865.0	2758.0	526.0	3203.0	5383.0	1370.0	601.0	2247.0	1714.0	3314.0	7805.0	997.0	361.0	2957.0	910.0	3706.0	821.0	2713.0	1380.0	1894.0	1461.0	746.0	3238.0	3524.0	485.0	2076.0	3594.0	292.0	1108.0	2708.0	166.0	1629.0	1707.0	2901.0	192.0	418.0	1746.0	1704.0	9602.0	456.0	3199.0	595.0	208.0
38	390	19	175	1075.0	2483.0	8293.0	170.0	1074.0	2692.0	1734.0	188.0	602.0	3943.0	3240.0	2410.0	2763.0	848.0	1203.0	3723.0	126.0	555.0	1579.0	929.0	4836.0	3682.0	2312.0	1381.0	218.0	1203.0	3095.0	3827.0	2759.0	528.0	3204.0	5375.0	1370.0	602.0	2247.0	1714.0	3313.0	7807.0	997.0	360.0	2958.0	912.0	3706.0	821.0	2715.0	1381.0	1895.0	1457.0	747.0	3241.0	3524.0	486.0	2075.0	3594.0	292.0	1107.0	2708.0	165.0	1629.0	1709.0	2905.0	192.0	418.0	1747.0	1703.0	9603.0	456.0	3198.0	595.0	207.0
38	170	19	71	946.0	2463.0	8425.0	131.0	1051.0	2656.0	1408.0	152.0	645.0	4011.0	3296.0	2363.0	2720.0	929.0	1238.0	3564.0	155.0	743.0	1540.0	931.0	4804.0	3716.0	2232.0	1400.0	261.0	1162.0	3203.0	3855.0	2762.0	504.0	3215.0	5295.0	1256.0	598.0	2236.0	1646.0	3309.0	7810.0	1040.0	445.0	2990.0	996.0	3744.0	847.0	2742.0	1279.0	1839.0	1522.0	798.0	3177.0	3484.0	538.0	2096.0	3561.0	309.0	1084.0	2688.0	164.0	1754.0	1722.0	2914.0	55.0	423.0	1740.0	1754.0	9543.0	490.0	3234.0	658.0	107.0
43	203	20	92	1078.0	2550.0	8332.0	209.0	1115.0	2728.0	1787.0	217.0	642.0	4151.0	3306.0	2469.0	2722.0	1020.0	1251.0	3730.0	121.0	686.0	1685.0	934.0	4844.0	3717.0	2295.0	1411.0	336.0	1247.0	3248.0	3821.0	2778.0	537.0	3210.0	5381.0	1376.0	646.0	2336.0	1764.0	3342.0	7814.0	1041.0	491.0	3002.0	1010.0	3746.0	834.0	2767.0	1393.0	1921.0	1576.0	805.0	3265.0	3535.0	523.0	2097.0	3616.0	465.0	1168.0	2767.0	216.0	1745.0	1742.0	2940.0	163.0	426.0	1878.0	1743.0	9571.0	472.0	3299.0	644.0	246.0
43	169	20	70	946.0	2464.0	8425.0	130.0	1049.0	2657.0	1406.0	153.0	646.0	4013.0	3291.0	2363.0	2723.0	928.0	1238.0	3564.0	161.0	731.0	1539.0	931.0	4805.0	3716.0	2231.0	1402.0	261.0	1164.0	3209.0	3856.0	2762.0	505.0	3215.0	5296.0	1256.0	600.0	2236.0	1648.0	3307.0	7810.0	1040.0	445.0	2989.0	997.0	3744.0	846.0	2743.0	1280.0	1840.0	1522.0	798.0	3178.0	3484.0	540.0	2096.0	3562.0	311.0	1082.0	2688.0	164.0	1799.0	1722.0	2913.0	59.0	424.0	1739.0	1753.0	9544.0	410.0	3245.0	657.0	106.0
43	198	20	90	1079.0	2552.0	8331.0	204.0	1115.0	2726.0	1784.0	215.0	644.0	4151.0	3306.0	2469.0	2722.0	1022.0	1251.0	3731.0	119.0	689.0	1685.0	937.0	4844.0	3716.0	2297.0	1412.0	329.0	1249.0	3249.0	3818.0	2777.0	536.0	3209.0	5384.0	1376.0	643.0	2337.0	1767.0	3343.0	7817.0	1019.0	493.0	3003.0	1009.0	3746.0	844.0	2772.0	1388.0	1921.0	1578.0	808.0	3264.0	3536.0	527.0	2097.0	3617.0	464.0	1168.0	2767.0	215.0	1747.0	1741.0	2939.0	163.0	428.0	1878.0	1745.0	9570.0	470.0	3300.0	645.0	247.0
43	202	20	91	1078.0	2551.0	8331.0	207.0	1115.0	2727.0	1785.0	217.0	643.0	4151.0	3307.0	2469.0	2723.0	1022.0	1251.0	3730.0	120.0	686.0	1685.0	935.0	4844.0	3716.0	2296.0	1412.0	334.0	1248.0	3248.0	3820.0	2778.0	537.0	3209.0	5382.0	1376.0	643.0	2336.0	1765.0	3343.0	7815.0	1020.0	491.0	3002.0	1009.0	3747.0	834.0	2772.0	1388.0	1921.0	1576.0	806.0	3265.0	3536.0	525.0	2096.0	3617.0	464.0	1166.0	2767.0	216.0	1746.0	1742.0	2939.0	163.0	427.0	1877.0	1745.0	9571.0	470.0	3300.0	644.0	246.0
43	171	20	72	948.0	2463.0	8426.0	211.0	1052.0	2659.0	1409.0	152.0	646.0	4016.0	3300.0	2383.0	2720.0	932.0	1240.0	3569.0	142.0	743.0	1554.0	942.0	4807.0	3718.0	2236.0	1404.0	263.0	1165.0	3203.0	3857.0	2764.0	504.0	3214.0	5306.0	1269.0	603.0	2245.0	1682.0	3311.0	7812.0	1039.0	446.0	3112.0	998.0	3744.0	848.0	2744.0	1280.0	1842.0	1526.0	799.0	3180.0	3485.0	572.0	2098.0	3567.0	314.0	1087.0	2690.0	164.0	1798.0	1723.0	2915.0	58.0	425.0	1742.0	1753.0	9547.0	491.0	3257.0	659.0	118.0
43	204	20	93	1078.0	2549.0	8331.0	209.0	1114.0	2729.0	1787.0	257.0	641.0	4152.0	3305.0	2469.0	2722.0	1019.0	1251.0	3729.0	120.0	684.0	1685.0	933.0	4843.0	3716.0	2295.0	1412.0	337.0	1247.0	3248.0	3822.0	2777.0	537.0	3210.0	5380.0	1375.0	647.0	2335.0	1763.0	3339.0	7814.0	1039.0	490.0	3001.0	1009.0	3746.0	834.0	2766.0	1395.0	1922.0	1571.0	803.0	3263.0	3534.0	520.0	2097.0	3615.0	465.0	1129.0	2766.0	216.0	1745.0	1742.0	2940.0	163.0	425.0	1760.0	1742.0	9572.0	469.0	3297.0	643.0	245.0
44	169	21	70	946.0	2464.0	8425.0	129.0	1045.0	2658.0	1405.0	152.0	647.0	4016.0	3291.0	2365.0	2724.0	930.0	1239.0	3566.0	155.0	730.0	1539.0	932.0	4806.0	3716.0	2232.0	1404.0	263.0	1165.0	3202.0	3857.0	2761.0	504.0	3214.0	5302.0	1261.0	600.0	2235.0	1677.0	3306.0	7810.0	1039.0	446.0	2990.0	998.0	3744.0	846.0	2744.0	1283.0	1803.0	1522.0	798.0	3179.0	3484.0	542.0	2096.0	3566.0	312.0	1082.0	2688.0	165.0	1802.0	1723.0	2913.0	62.0	425.0	1740.0	1751.0	9547.0	491.0	3252.0	658.0	106.0
44	170	21	71	947.0	2464.0	8426.0	131.0	1050.0	2659.0	1407.0	152.0	646.0	4018.0	3297.0	2376.0	2722.0	932.0	1240.0	3570.0	153.0	730.0	1550.0	942.0	4808.0	3718.0	2235.0	1404.0	265.0	1166.0	3202.0	3859.0	2762.0	504.0	3215.0	5308.0	1276.0	602.0	2236.0	1680.0	3308.0	7811.0	1039.0	447.0	2993.0	999.0	3745.0	847.0	2745.0	1283.0	1843.0	1525.0	798.0	3180.0	3485.0	571.0	2097.0	3568.0	314.0	1085.0	2689.0	168.0	1801.0	1724.0	2914.0	62.0	426.0	1741.0	1751.0	9549.0	491.0	3255.0	658.0	107.0
44	171	21	72	949.0	2463.0	8427.0	215.0	1052.0	2660.0	1409.0	152.0	646.0	4021.0	3302.0	2382.0	2721.0	933.0	1241.0	3573.0	146.0	731.0	1554.0	944.0	4809.0	3719.0	2237.0	1406.0	266.0	1167.0	3211.0	3859.0	2765.0	504.0	3215.0	5319.0	1278.0	605.0	2238.0	1683.0	3310.0	7812.0	1039.0	449.0	3113.0	999.0	3745.0	848.0	2746.0	1283.0	1904.0	1527.0	799.0	3182.0	3486.0	574.0	2099.0	3570.0	346.0	1087.0	2690.0	165.0	1800.0	1725.0	2915.0	71.0	426.0	1742.0	1751.0	9549.0	491.0	3259.0	658.0	118.0
44	202	21	91	1079.0	2553.0	8331.0	211.0	1116.0	2728.0	1786.0	212.0	643.0	4153.0	3308.0	2470.0	2725.0	1025.0	1251.0	3732.0	122.0	690.0	1685.0	937.0	4842.0	3717.0	2297.0	1414.0	336.0	1249.0	3248.0	3823.0	2781.0	536.0	3210.0	5387.0	1377.0	642.0	2337.0	1764.0	3341.0	7817.0	1042.0	491.0	3003.0	1009.0	3748.0	834.0	2774.0	1394.0	1921.0	1578.0	809.0	3265.0	3537.0	526.0	2100.0	3618.0	464.0	1152.0	2767.0	217.0	1750.0	1742.0	2939.0	164.0	428.0	1878.0	1745.0	9572.0	469.0	3299.0	645.0	249.0
44	204	21	93	1078.0	2550.0	8331.0	211.0	1115.0	2729.0	1790.0	217.0	641.0	4154.0	3306.0	2470.0	2723.0	964.0	1251.0	3731.0	122.0	687.0	1685.0	935.0	4841.0	3717.0	2296.0	1415.0	339.0	1247.0	3248.0	3877.0	2782.0	537.0	3211.0	5384.0	1375.0	643.0	2336.0	1762.0	3338.0	7815.0	1040.0	490.0	3002.0	1009.0	3746.0	834.0	2769.0	1396.0	1921.0	1577.0	805.0	3264.0	3535.0	521.0	2100.0	3616.0	465.0	1151.0	2767.0	217.0	1747.0	1742.0	2940.0	164.0	426.0	1879.0	1743.0	9573.0	469.0	3296.0	644.0	248.0
44	168	21	69	944.0	2464.0	8423.0	124.0	1035.0	2657.0	1402.0	153.0	647.0	4014.0	3289.0	2363.0	2724.0	927.0	1238.0	3564.0	162.0	729.0	1533.0	928.0	4804.0	3666.0	2230.0	1403.0	262.0	1165.0	3211.0	3856.0	2760.0	504.0	3214.0	5298.0	1256.0	599.0	2232.0	1642.0	3304.0	7807.0	1039.0	446.0	2988.0	998.0	3743.0	844.0	2742.0	1281.0	1801.0	1519.0	797.0	3177.0	3482.0	541.0	2094.0	3559.0	311.0	1080.0	2686.0	165.0	1802.0	1723.0	2911.0	61.0	423.0	1739.0	1752.0	9546.0	406.0	3236.0	657.0	103.0
44	206	21	95	1076.0	2549.0	8333.0	212.0	1115.0	2698.0	1744.0	258.0	639.0	3943.0	3300.0	2423.0	2723.0	923.0	1246.0	3731.0	123.0	685.0	1684.0	931.0	4838.0	3717.0	2293.0	1411.0	342.0	1245.0	3247.0	3876.0	2787.0	537.0	3218.0	5380.0	1372.0	643.0	2334.0	1758.0	3339.0	7811.0	1037.0	493.0	3001.0	1010.0	3745.0	832.0	2764.0	1397.0	1922.0	1574.0	803.0	3266.0	3534.0	502.0	2094.0	3616.0	466.0	1129.0	2766.0	215.0	1741.0	1742.0	2940.0	163.0	423.0	1759.0	1741.0	9573.0	469.0	3295.0	643.0	246.0
44	205	21	94	1078.0	2549.0	8332.0	212.0	1115.0	2700.0	1791.0	257.0	640.0	3974.0	3304.0	2426.0	2723.0	925.0	1248.0	3731.0	123.0	686.0	1685.0	933.0	4839.0	3717.0	2295.0	1413.0	341.0	1246.0	3247.0	3876.0	2785.0	537.0	3212.0	5382.0	1374.0	643.0	2335.0	1760.0	3338.0	7813.0	1038.0	491.0	3001.0	1010.0	3746.0	833.0	2766.0	1397.0	1922.0	1575.0	803.0	3265.0	3534.0	508.0	2099.0	3616.0	466.0	1129.0	2766.0	216.0	1744.0	1743.0	2940.0	164.0	424.0	1761.0	1742.0	9573.0	469.0	3295.0	644.0	248.0
44	389	21	174	1080.0	2485.0	8353.0	171.0	1102.0	2694.0	1734.0	194.0	603.0	3966.0	3242.0	2408.0	2746.0	850.0	1197.0	3725.0	130.0	553.0	1579.0	933.0	4834.0	3683.0	2309.0	1381.0	223.0	1204.0	3179.0	3852.0	2761.0	529.0	3204.0	5390.0	1371.0	601.0	2260.0	1715.0	3318.0	7807.0	996.0	367.0	2957.0	912.0	3708.0	822.0	2712.0	1386.0	1897.0	1459.0	748.0	3247.0	3526.0	487.0	2075.0	3596.0	293.0	1109.0	2711.0	192.0	1629.0	1708.0	2907.0	194.0	417.0	1750.0	1696.0	9604.0	461.0	3197.0	597.0	207.0
44	385	21	171	1075.0	2484.0	8292.0	172.0	1098.0	2694.0	1733.0	233.0	605.0	3958.0	3274.0	2409.0	2739.0	850.0	1192.0	3725.0	132.0	556.0	1576.0	931.0	4832.0	3683.0	2319.0	1386.0	271.0	1203.0	3180.0	3866.0	2760.0	525.0	3199.0	5389.0	1371.0	603.0	2256.0	1715.0	3326.0	7805.0	997.0	371.0	2956.0	908.0	3708.0	824.0	2709.0	1388.0	1904.0	1470.0	747.0	3251.0	3527.0	484.0	2073.0	3595.0	293.0	1110.0	2710.0	171.0	1630.0	1712.0	2907.0	193.0	417.0	1750.0	1696.0	9601.0	460.0	3198.0	600.0	204.0
45	202	22	91	1079.0	2609.0	8330.0	213.0	1118.0	2728.0	1789.0	210.0	643.0	4153.0	3309.0	2470.0	2725.0	1025.0	1251.0	3733.0	124.0	751.0	1685.0	937.0	4841.0	3717.0	2297.0	1415.0	337.0	1250.0	3248.0	3878.0	2783.0	536.0	3210.0	5413.0	1378.0	640.0	2337.0	1763.0	3338.0	7819.0	1043.0	499.0	3003.0	1009.0	3749.0	836.0	2774.0	1394.0	1921.0	1580.0	810.0	3266.0	3538.0	527.0	2100.0	3619.0	465.0	1151.0	2768.0	216.0	1767.0	1743.0	2939.0	165.0	429.0	1880.0	1744.0	9572.0	472.0	3298.0	645.0	251.0
45	204	22	93	1079.0	2553.0	8330.0	213.0	1117.0	2729.0	1792.0	210.0	642.0	4154.0	3307.0	2470.0	2724.0	964.0	1251.0	3732.0	124.0	687.0	1685.0	936.0	4840.0	3717.0	2296.0	1424.0	340.0	1248.0	3248.0	3877.0	2784.0	537.0	3212.0	5386.0	1377.0	640.0	2336.0	1762.0	3337.0	7819.0	1041.0	490.0	3002.0	1009.0	3748.0	834.0	2772.0	1397.0	1921.0	1579.0	806.0	3265.0	3536.0	522.0	2101.0	3618.0	466.0	1150.0	2767.0	217.0	1748.0	1743.0	2940.0	165.0	427.0	1882.0	1742.0	9573.0	472.0	3295.0	644.0	250.0
45	205	22	94	1079.0	2551.0	8331.0	213.0	1118.0	2700.0	1805.0	211.0	641.0	4153.0	3305.0	2470.0	2724.0	924.0	1248.0	3732.0	124.0	687.0	1684.0	934.0	4838.0	3717.0	2295.0	1415.0	342.0	1247.0	3247.0	3877.0	2787.0	538.0	3216.0	5384.0	1375.0	619.0	2335.0	1760.0	3337.0	7814.0	1039.0	491.0	3001.0	1010.0	3747.0	834.0	2767.0	1398.0	1921.0	1578.0	804.0	3267.0	3535.0	511.0	2100.0	3617.0	467.0	1129.0	2767.0	217.0	1745.0	1743.0	2940.0	164.0	426.0	1764.0	1742.0	9573.0	471.0	3294.0	644.0	250.0
45	171	22	72	948.0	2463.0	8426.0	134.0	1052.0	2660.0	1408.0	151.0	646.0	4094.0	3337.0	2382.0	2720.0	934.0	1241.0	3575.0	152.0	729.0	1556.0	942.0	4809.0	3723.0	2238.0	1408.0	268.0	1168.0	3213.0	3860.0	2769.0	503.0	3215.0	5319.0	1280.0	635.0	2245.0	1684.0	3310.0	7812.0	1039.0	449.0	3113.0	1000.0	3745.0	849.0	2748.0	1282.0	1904.0	1526.0	799.0	3182.0	3486.0	575.0	2098.0	3572.0	345.0	1088.0	2691.0	170.0	1802.0	1729.0	2916.0	66.0	427.0	1743.0	1749.0	9562.0	492.0	3259.0	659.0	109.0
45	194	22	87	1083.0	2618.0	8332.0	206.0	1120.0	2727.0	1790.0	214.0	644.0	4153.0	3305.0	2469.0	2722.0	1024.0	1252.0	3749.0	124.0	749.0	1684.0	940.0	4843.0	3717.0	2341.0	1414.0	327.0	1251.0	3250.0	3821.0	2779.0	534.0	3210.0	5410.0	1377.0	641.0	2340.0	1762.0	3339.0	7830.0	1044.0	565.0	3006.0	1012.0	3746.0	857.0	2774.0	1390.0	1918.0	1645.0	816.0	3261.0	3540.0	536.0	2102.0	3620.0	464.0	1175.0	2767.0	215.0	1767.0	1744.0	2938.0	162.0	434.0	1880.0	1744.0	9569.0	476.0	3299.0	647.0	252.0
45	195	22	88	1083.0	2616.0	8333.0	206.0	1120.0	2727.0	1793.0	213.0	644.0	4154.0	3308.0	2469.0	2723.0	1025.0	1253.0	3749.0	124.0	750.0	1685.0	940.0	4843.0	3719.0	2341.0	1416.0	328.0	1250.0	3250.0	3879.0	2780.0	534.0	3211.0	5410.0	1377.0	640.0	2340.0	1763.0	3340.0	7830.0	1043.0	565.0	3006.0	1011.0	3746.0	856.0	2775.0	1391.0	1919.0	1645.0	815.0	3263.0	3539.0	537.0	2102.0	3619.0	465.0	1174.0	2767.0	216.0	1768.0	1744.0	2938.0	162.0	430.0	1880.0	1743.0	9570.0	476.0	3298.0	647.0	253.0
45	206	22	95	1077.0	2551.0	8333.0	214.0	1118.0	2698.0	1807.0	206.0	639.0	3975.0	3301.0	2425.0	2724.0	923.0	1246.0	3733.0	125.0	686.0	1684.0	931.0	4837.0	3717.0	2294.0	1412.0	343.0	1246.0	3246.0	3877.0	2823.0	537.0	3219.0	5382.0	1374.0	618.0	2334.0	1759.0	3337.0	7813.0	1038.0	493.0	3001.0	1010.0	3747.0	833.0	2765.0	1399.0	1921.0	1577.0	804.0	3268.0	3534.0	508.0	2096.0	3617.0	468.0	1128.0	2766.0	215.0	1742.0	1743.0	2939.0	164.0	425.0	1761.0	1741.0	9573.0	470.0	3294.0	644.0	249.0
45	230	22	116	1068.0	2518.0	8299.0	161.0	1084.0	2679.0	1732.0	139.0	623.0	3925.0	3289.0	2374.0	2716.0	900.0	1213.0	3728.0	112.0	597.0	1571.0	896.0	4832.0	3712.0	2253.0	1403.0	218.0	1248.0	3244.0	3815.0	2774.0	528.0	3222.0	5372.0	1359.0	604.0	2246.0	1698.0	3329.0	7804.0	986.0	395.0	2955.0	970.0	3746.0	821.0	2729.0	1368.0	1887.0	1448.0	808.0	3267.0	3529.0	512.0	2083.0	3623.0	289.0	1102.0	2746.0	168.0	1734.0	1711.0	2903.0	151.0	422.0	1744.0	1703.0	9562.0	452.0	3289.0	634.0	222.0
45	249	22	124	1079.0	2492.0	8294.0	168.0	1083.0	2694.0	1742.0	147.0	643.0	3938.0	3298.0	2388.0	2719.0	900.0	1211.0	3726.0	119.0	610.0	1618.0	896.0	4834.0	3728.0	2251.0	1443.0	217.0	1247.0	3222.0	3808.0	2779.0	508.0	3172.0	5381.0	1358.0	581.0	2251.0	1702.0	3328.0	7806.0	1024.0	399.0	2962.0	977.0	3740.0	829.0	2730.0	1348.0	1799.0	1451.0	787.0	3254.0	3524.0	508.0	2037.0	3612.0	279.0	1099.0	2751.0	195.0	1739.0	1751.0	2903.0	144.0	429.0	1752.0	1706.0	9566.0	454.0	3292.0	636.0	213.0
