alnA	alnB	A	B	YKL154W_10	YKL154W_16	YKL154W_65	YKL154W_01	YKL154W_05	YKL154W_20	YKL154W_04	YKL154W_48	YKL154W_31	YKL154W_13	YKL154W_32	YKL154W_37	YKL154W_30	YKL154W_38	YKL154W_14	YKL154W_47	YKL154W_35	YKL154W_63	YKL154W_12	YKL154W_53	YKL154W_62	YKL154W_18	YKL154W_57	YKL154W_03	YKL154W_51	YKL154W_50	YKL154W_21	YKL154W_06	YKL154W_60	YKL154W_19	YKL154W_22	YKL154W_43	YKL154W_36	YKL154W_49	YKL154W_45	YKL154W_64	YKL154W_67	YKL154W_27	YKL154W_09	YKL154W_26	YKL154W_39	YKL154W_33	YKL154W_17	YKL154W_66	YKL154W_44	YKL154W_07	YKL154W_29	YKL154W_56	YKL154W_34
43	169	38	82	5496.0	3382.0	1212.0	4296.0	7370.0	763.0	2623.0	2869.0	3453.0	3606.0	1085.0	9206.0	4851.0	5180.0	2361.0	4029.0	8346.0	678.0	4314.0	7602.0	9406.0	3591.0	3228.0	2497.0	4358.0	2530.0	6024.0	9678.0	7178.0	4131.0	4949.0	5689.0	4154.0	2627.0	1028.0	7840.0	2776.0	7087.0	1032.0	9593.0	6307.0	2896.0	4639.0	607.0	9897.0	736.0	705.0	2717.0	8434.0
43	198	38	103	5496.0	3453.0	1203.0	4367.0	7379.0	919.0	2510.0	2989.0	3466.0	3648.0	1187.0	9371.0	4869.0	5162.0	2368.0	4137.0	8376.0	763.0	4317.0	7646.0	9594.0	3654.0	3448.0	2543.0	4549.0	2775.0	6196.0	9790.0	7222.0	4125.0	5000.0	5839.0	4108.0	2605.0	1027.0	8073.0	2763.0	7123.0	1062.0	9667.0	6348.0	2972.0	4695.0	677.0	9963.0	880.0	739.0	2941.0	8588.0
43	202	38	107	5651.0	3450.0	1203.0	4366.0	7381.0	918.0	2517.0	2988.0	3467.0	3674.0	1271.0	9344.0	4876.0	5163.0	2370.0	4063.0	8378.0	765.0	4308.0	7647.0	9686.0	3653.0	3430.0	2544.0	4550.0	2689.0	6195.0	9791.0	7218.0	4125.0	5001.0	5900.0	4100.0	2611.0	1042.0	8080.0	2762.0	7098.0	1070.0	9663.0	6348.0	2971.0	4868.0	681.0	9938.0	878.0	711.0	2930.0	8585.0
43	171	38	84	5495.0	3393.0	1211.0	4298.0	7373.0	763.0	2515.0	2869.0	3453.0	3606.0	1097.0	9206.0	4852.0	5181.0	2361.0	4030.0	8346.0	674.0	4315.0	7602.0	9408.0	3591.0	3230.0	2499.0	4356.0	2531.0	6026.0	9681.0	7180.0	4130.0	4987.0	5690.0	4152.0	2617.0	1029.0	7842.0	2780.0	7089.0	1033.0	9599.0	6308.0	2901.0	4644.0	611.0	9897.0	740.0	723.0	2722.0	8437.0
43	204	38	109	5646.0	3448.0	1202.0	4359.0	7382.0	918.0	2519.0	2988.0	3467.0	3679.0	1270.0	9338.0	4876.0	5162.0	2372.0	4063.0	8378.0	765.0	4306.0	7648.0	9552.0	3654.0	3428.0	2543.0	4552.0	2686.0	6195.0	9790.0	7214.0	4125.0	5000.0	5903.0	4099.0	2666.0	1048.0	8079.0	2762.0	7098.0	1054.0	9661.0	6348.0	2938.0	4872.0	681.0	9933.0	877.0	711.0	2930.0	8579.0
44	169	39	82	5497.0	3382.0	1213.0	4296.0	7369.0	764.0	2623.0	2870.0	3454.0	3624.0	1084.0	9205.0	4852.0	5180.0	2363.0	4036.0	8347.0	684.0	4314.0	7602.0	9407.0	3591.0	3227.0	2498.0	4362.0	2528.0	6024.0	9680.0	7179.0	4132.0	4952.0	5689.0	4156.0	2628.0	1029.0	7842.0	2779.0	7086.0	1034.0	9595.0	6307.0	2899.0	4644.0	609.0	9900.0	739.0	707.0	2718.0	8434.0
44	170	39	83	5497.0	3392.0	1213.0	4298.0	7370.0	765.0	2625.0	2870.0	3454.0	3624.0	1086.0	9205.0	4852.0	5182.0	2367.0	4037.0	8347.0	682.0	4315.0	7602.0	9409.0	3592.0	3229.0	2499.0	4361.0	2530.0	6026.0	9681.0	7180.0	4132.0	4992.0	5690.0	4155.0	2627.0	1029.0	7843.0	2781.0	7087.0	1034.0	9599.0	6308.0	2902.0	4645.0	612.0	9900.0	741.0	713.0	2721.0	8436.0
44	171	39	84	5497.0	3394.0	1212.0	4299.0	7372.0	766.0	2530.0	2871.0	3453.0	3610.0	1108.0	9204.0	4853.0	5201.0	2368.0	4119.0	8375.0	679.0	4316.0	7602.0	9415.0	3592.0	3230.0	2573.0	4357.0	2530.0	6027.0	9684.0	7180.0	4131.0	4989.0	5692.0	4154.0	2624.0	1029.0	7844.0	2782.0	7088.0	1035.0	9603.0	6309.0	2905.0	4647.0	613.0	9901.0	742.0	744.0	2723.0	8438.0
44	202	39	107	5650.0	3451.0	1206.0	4369.0	7380.0	921.0	2516.0	2989.0	3467.0	3675.0	1270.0	9370.0	4916.0	5163.0	2372.0	4063.0	8380.0	766.0	4309.0	7647.0	9686.0	3656.0	3431.0	2546.0	4552.0	2773.0	6194.0	9791.0	7219.0	4124.0	5008.0	5902.0	4105.0	2612.0	1034.0	8081.0	2763.0	7098.0	1069.0	9663.0	6349.0	2971.0	4876.0	779.0	9940.0	879.0	722.0	2936.0	8580.0
44	204	39	109	5645.0	3449.0	1205.0	4368.0	7381.0	921.0	2518.0	2989.0	3466.0	3682.0	1269.0	9344.0	4876.0	5162.0	2380.0	4063.0	8380.0	766.0	4306.0	7648.0	9686.0	3656.0	3427.0	2546.0	4552.0	2687.0	6195.0	9790.0	7215.0	4124.0	5001.0	5907.0	4106.0	2666.0	1044.0	8080.0	2762.0	7098.0	1061.0	9661.0	6349.0	2936.0	4876.0	781.0	9936.0	878.0	712.0	2933.0	8578.0
44	168	39	81	5496.0	3379.0	1213.0	4295.0	7367.0	764.0	2623.0	2852.0	3453.0	3622.0	1082.0	9204.0	4851.0	5180.0	2362.0	4030.0	8345.0	686.0	4314.0	7602.0	9406.0	3590.0	3226.0	2497.0	4361.0	2527.0	6022.0	9679.0	7178.0	4133.0	4948.0	5688.0	4155.0	2628.0	1028.0	7842.0	2777.0	7084.0	1033.0	9593.0	6307.0	2897.0	4642.0	606.0	9898.0	735.0	705.0	2716.0	8433.0
44	206	39	111	5645.0	3448.0	1209.0	4356.0	7381.0	922.0	2519.0	2987.0	3465.0	3684.0	1269.0	9368.0	4877.0	5161.0	2383.0	4065.0	8382.0	767.0	4304.0	7650.0	9687.0	3656.0	3423.0	2547.0	4555.0	2717.0	6195.0	9791.0	7212.0	4123.0	4997.0	5807.0	4099.0	2666.0	1084.0	8080.0	2759.0	7095.0	1075.0	9661.0	6348.0	2939.0	4878.0	775.0	9931.0	876.0	710.0	2928.0	8576.0
44	205	39	110	5645.0	3448.0	1206.0	4358.0	7381.0	922.0	2519.0	2988.0	3466.0	3684.0	1268.0	9369.0	4876.0	5162.0	2382.0	4065.0	8381.0	766.0	4305.0	7649.0	9687.0	3656.0	3424.0	2546.0	4554.0	2687.0	6195.0	9791.0	7214.0	4124.0	4999.0	5908.0	4100.0	2667.0	1084.0	8080.0	2760.0	7096.0	1071.0	9661.0	6348.0	2938.0	4877.0	780.0	9933.0	877.0	711.0	2930.0	8577.0
44	389	39	241	5480.0	3356.0	1190.0	4266.0	7348.0	897.0	2456.0	2968.0	3414.0	3610.0	1163.0	9274.0	4875.0	5176.0	2406.0	4044.0	8310.0	698.0	4259.0	7585.0	9412.0	3640.0	3395.0	2531.0	4480.0	2569.0	6096.0	9661.0	7131.0	4096.0	4913.0	5741.0	4096.0	2649.0	938.0	8007.0	2762.0	7097.0	977.0	9643.0	6319.0	2836.0	4667.0	668.0	9846.0	858.0	702.0	2817.0	8536.0
44	385	39	238	5482.0	3356.0	1255.0	4281.0	7348.0	905.0	2455.0	2968.0	3462.0	3610.0	1164.0	9274.0	4875.0	5174.0	2404.0	4062.0	8345.0	700.0	4261.0	7583.0	9412.0	3641.0	3396.0	2531.0	4483.0	2571.0	6095.0	9668.0	7133.0	4098.0	4912.0	5742.0	4097.0	2649.0	938.0	8031.0	2765.0	7096.0	975.0	9643.0	6318.0	2839.0	4669.0	669.0	9892.0	856.0	699.0	2815.0	8537.0
45	202	40	107	5650.0	3452.0	1210.0	4374.0	7378.0	924.0	2515.0	2989.0	3466.0	3677.0	1267.0	9370.0	4881.0	5163.0	2374.0	4062.0	8381.0	766.0	4309.0	7646.0	9685.0	3657.0	3431.0	2548.0	4552.0	2748.0	6194.0	9790.0	7220.0	4123.0	5008.0	5911.0	4109.0	2612.0	1032.0	8081.0	2764.0	7098.0	1062.0	9662.0	6350.0	2971.0	4878.0	780.0	9945.0	879.0	722.0	2960.0	8579.0
45	204	40	109	5646.0	3449.0	1209.0	4376.0	7379.0	924.0	2517.0	2990.0	3466.0	3683.0	1265.0	9345.0	4876.0	5162.0	2383.0	4062.0	8382.0	767.0	4306.0	7647.0	9686.0	3657.0	3427.0	2548.0	4553.0	2687.0	6194.0	9790.0	7216.0	4124.0	5002.0	5910.0	4110.0	2666.0	1042.0	8081.0	2763.0	7097.0	1061.0	9661.0	6349.0	2936.0	4878.0	781.0	9937.0	879.0	714.0	2941.0	8576.0
45	205	40	110	5645.0	3448.0	1211.0	4360.0	7380.0	924.0	2518.0	2989.0	3465.0	3684.0	1264.0	9369.0	4876.0	5162.0	2384.0	4064.0	8383.0	767.0	4305.0	7649.0	9686.0	3657.0	3424.0	2549.0	4554.0	2719.0	6195.0	9791.0	7215.0	4124.0	5000.0	5910.0	4112.0	2666.0	1047.0	8081.0	2760.0	7096.0	1069.0	9661.0	6349.0	2938.0	4879.0	780.0	9935.0	878.0	711.0	2933.0	8576.0
45	171	40	84	5534.0	3394.0	1213.0	4299.0	7371.0	767.0	2515.0	2870.0	3453.0	3633.0	1085.0	9202.0	4854.0	5201.0	2375.0	4123.0	8373.0	686.0	4318.0	7602.0	9441.0	3591.0	3228.0	2574.0	4357.0	2527.0	6026.0	9686.0	7179.0	4132.0	4985.0	5691.0	4156.0	2626.0	1029.0	7845.0	2804.0	7087.0	1037.0	9621.0	6309.0	2910.0	4651.0	613.0	9902.0	742.0	746.0	2723.0	8437.0
45	194	40	99	5649.0	3456.0	1206.0	4370.0	7375.0	921.0	2509.0	2993.0	3466.0	3655.0	1194.0	9366.0	4868.0	5161.0	2382.0	4137.0	8377.0	761.0	4319.0	7643.0	9593.0	3658.0	3447.0	2546.0	4549.0	2780.0	6128.0	9789.0	7225.0	4126.0	5001.0	5843.0	4145.0	2603.0	1024.0	8070.0	2785.0	7078.0	1061.0	9671.0	6354.0	2972.0	4695.0	673.0	9965.0	887.0	745.0	2959.0	8583.0
45	195	40	100	5650.0	3455.0	1207.0	4372.0	7375.0	922.0	2510.0	2993.0	3467.0	3657.0	1247.0	9367.0	4869.0	5161.0	2374.0	4137.0	8377.0	762.0	4318.0	7643.0	9593.0	3659.0	3447.0	2546.0	4550.0	2780.0	6197.0	9790.0	7226.0	4127.0	5001.0	5842.0	4144.0	2605.0	1025.0	8071.0	2782.0	7123.0	1063.0	9670.0	6353.0	2972.0	4696.0	674.0	9966.0	886.0	744.0	2959.0	8583.0
45	206	40	111	5645.0	3448.0	1213.0	4356.0	7380.0	925.0	2519.0	2988.0	3464.0	3684.0	1264.0	9368.0	4877.0	5161.0	2384.0	4065.0	8385.0	768.0	4304.0	7650.0	9687.0	3657.0	3422.0	2549.0	4555.0	2718.0	6195.0	9792.0	7214.0	4123.0	4998.0	5910.0	4113.0	2666.0	1085.0	8080.0	2758.0	7094.0	1071.0	9661.0	6349.0	2938.0	4879.0	776.0	9933.0	877.0	710.0	2929.0	8575.0
45	230	40	133	5498.0	3365.0	1198.0	4275.0	7351.0	890.0	2489.0	2972.0	3415.0	3600.0	1174.0	9218.0	4829.0	5148.0	2360.0	4017.0	8326.0	670.0	4160.0	7635.0	9490.0	3625.0	3379.0	2509.0	4369.0	2514.0	6113.0	9786.0	7203.0	4116.0	4913.0	5740.0	4057.0	2600.0	870.0	7977.0	2681.0	7073.0	1001.0	9598.0	6348.0	2935.0	4713.0	685.0	9901.0	831.0	652.0	2896.0	8552.0
45	249	40	145	5465.0	3360.0	1196.0	4279.0	7346.0	903.0	2473.0	2979.0	3395.0	3603.0	1205.0	9285.0	4832.0	5149.0	2371.0	4023.0	8345.0	737.0	4242.0	7621.0	9483.0	3633.0	3373.0	2535.0	4564.0	2559.0	6142.0	9786.0	7197.0	4116.0	4973.0	5747.0	4073.0	2600.0	1025.0	8038.0	2743.0	7099.0	995.0	9607.0	6327.0	2844.0	4668.0	691.0	9884.0	852.0	673.0	2860.0	8566.0
45	172	40	85	5536.0	3395.0	1213.0	4300.0	7371.0	768.0	2512.0	2870.0	3452.0	3640.0	1087.0	9202.0	4855.0	5202.0	2361.0	4124.0	8372.0	686.0	4319.0	7602.0	9561.0	3593.0	3230.0	2574.0	4356.0	2526.0	6029.0	9689.0	7179.0	4131.0	4985.0	5693.0	4155.0	2616.0	1029.0	7847.0	2804.0	7088.0	1061.0	9622.0	6370.0	2912.0	4660.0	615.0	9902.0	744.0	747.0	2725.0	8440.0
45	173	40	86	5539.0	3396.0	1213.0	4301.0	7371.0	767.0	2510.0	2869.0	3451.0	3639.0	1096.0	9202.0	4854.0	5160.0	2354.0	4123.0	8374.0	677.0	4318.0	7601.0	9564.0	3594.0	3231.0	2575.0	4355.0	2525.0	6035.0	9696.0	7179.0	4130.0	4984.0	5695.0	4153.0	2615.0	1029.0	7849.0	2804.0	7089.0	1060.0	9622.0	6371.0	2914.0	4677.0	616.0	9903.0	747.0	747.0	2727.0	8444.0
46	170	41	83	5533.0	3385.0	1221.0	4298.0	7366.0	769.0	2530.0	2872.0	3454.0	3632.0	1084.0	9200.0	4854.0	5201.0	2380.0	4125.0	8364.0	690.0	4320.0	7602.0	9558.0	3592.0	3227.0	2500.0	4376.0	2526.0	6025.0	9685.0	7179.0	4134.0	4987.0	5691.0	4168.0	2654.0	1029.0	7848.0	2806.0	7082.0	1039.0	9621.0	6309.0	2907.0	4656.0	614.0	9903.0	742.0	746.0	2721.0	8437.0
46	171	41	84	5535.0	3395.0	1227.0	4299.0	7367.0	770.0	2516.0	2873.0	3454.0	3656.0	1085.0	9199.0	4855.0	5202.0	2382.0	4125.0	8369.0	702.0	4319.0	7603.0	9561.0	3592.0	3229.0	2575.0	4378.0	2525.0	6026.0	9689.0	7179.0	4133.0	4985.0	5693.0	4161.0	2624.0	1029.0	7850.0	2807.0	7083.0	1062.0	9623.0	6372.0	2912.0	4660.0	615.0	9904.0	745.0	746.0	2724.0	8440.0
46	173	41	86	5541.0	3397.0	1233.0	4301.0	7364.0	772.0	2512.0	2875.0	3452.0	3641.0	1183.0	9200.0	4856.0	5165.0	2382.0	4125.0	8374.0	752.0	4319.0	7602.0	9677.0	3633.0	3236.0	2576.0	4357.0	2524.0	6040.0	9707.0	7178.0	4131.0	4983.0	5698.0	4155.0	2615.0	1030.0	7858.0	2806.0	7081.0	1060.0	9627.0	6375.0	2944.0	4678.0	625.0	9905.0	813.0	748.0	2776.0	8455.0
46	206	41	111	5643.0	3448.0	1271.0	4357.0	7379.0	926.0	2518.0	2988.0	3463.0	3684.0	1263.0	9368.0	4882.0	5162.0	2386.0	4066.0	8387.0	768.0	4304.0	7650.0	9496.0	3659.0	3421.0	2551.0	4560.0	2720.0	6195.0	9791.0	7217.0	4123.0	5000.0	5912.0	4114.0	2663.0	1048.0	8082.0	2758.0	7094.0	1069.0	9660.0	6349.0	2937.0	4881.0	777.0	9936.0	878.0	709.0	2933.0	8574.0
46	54	41	49	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	41	85	5539.0	3396.0	1230.0	4300.0	7366.0	771.0	2514.0	2874.0	3453.0	3655.0	1184.0	9200.0	4856.0	5202.0	2382.0	4125.0	8372.0	706.0	4319.0	7603.0	9564.0	3598.0	3231.0	2576.0	4362.0	2524.0	6030.0	9698.0	7178.0	4132.0	4984.0	5696.0	4157.0	2617.0	1030.0	7852.0	2806.0	7084.0	1061.0	9626.0	6373.0	2913.0	4674.0	619.0	9904.0	748.0	747.0	2726.0	8445.0
46	208	41	113	5606.0	3366.0	1215.0	4319.0	7380.0	924.0	2519.0	2986.0	3459.0	3686.0	1263.0	9366.0	4936.0	5162.0	2385.0	4066.0	8388.0	768.0	4301.0	7650.0	9495.0	3657.0	3403.0	2551.0	4562.0	2716.0	6195.0	9792.0	7209.0	4122.0	4998.0	5819.0	4112.0	2658.0	1086.0	8081.0	2754.0	7087.0	1074.0	9657.0	6349.0	2935.0	4828.0	773.0	9933.0	876.0	706.0	2919.0	8572.0
46	58	41	53	5504.0	3502.0	1270.0	4571.0	20000.0	846.0	2787.0	2996.0	3463.0	3608.0	1183.0	20000.0	20000.0	5282.0	20000.0	4161.0	20000.0	803.0	4360.0	20000.0	9570.0	20000.0	3430.0	2546.0	20000.0	2801.0	20000.0	9809.0	7216.0	4139.0	4944.0	20000.0	20000.0	2785.0	20000.0	8094.0	2784.0	7380.0	1237.0	20000.0	6367.0	2897.0	4818.0	818.0	9903.0	835.0	824.0	2937.0	8858.0
46	57	41	52	5564.0	20000.0	1272.0	20000.0	20000.0	20000.0	2791.0	2996.0	3643.0	20000.0	1194.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	803.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	7219.0	20000.0	5154.0	20000.0	20000.0	20000.0	20000.0	8097.0	20000.0	7382.0	20000.0	20000.0	6548.0	20000.0	4819.0	20000.0	20000.0	20000.0	20000.0	3054.0	20000.0
47	54	42	49	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	206	42	111	5635.0	3447.0	1223.0	4358.0	7378.0	926.0	2519.0	2988.0	3460.0	3684.0	1262.0	9367.0	4877.0	5162.0	2386.0	4065.0	8388.0	769.0	4303.0	7649.0	9494.0	3659.0	3403.0	2554.0	4555.0	2720.0	6193.0	9791.0	7218.0	4122.0	5000.0	5914.0	4114.0	2662.0	1048.0	8083.0	2757.0	7094.0	1054.0	9659.0	6350.0	2935.0	4882.0	778.0	9938.0	879.0	708.0	2940.0	8572.0
47	207	42	112	5632.0	3366.0	1217.0	4355.0	7379.0	926.0	2519.0	2988.0	3457.0	3686.0	1262.0	9366.0	4941.0	5162.0	2386.0	4066.0	8389.0	769.0	4302.0	7650.0	9494.0	3659.0	3402.0	2553.0	4562.0	2717.0	6193.0	9791.0	7218.0	4122.0	4999.0	5826.0	4099.0	2659.0	1049.0	8083.0	2754.0	7092.0	1069.0	9658.0	6351.0	2933.0	4828.0	776.0	9936.0	878.0	705.0	2928.0	8572.0
47	208	42	113	5600.0	3361.0	1216.0	4319.0	7379.0	925.0	2519.0	2987.0	3456.0	3686.0	1261.0	9365.0	4877.0	5163.0	2386.0	4067.0	8390.0	768.0	4301.0	7650.0	9494.0	3658.0	3398.0	2553.0	4565.0	2716.0	6194.0	9793.0	7210.0	4122.0	4999.0	5823.0	4099.0	2656.0	1057.0	8081.0	2752.0	7085.0	1071.0	9657.0	6350.0	2933.0	4827.0	774.0	9935.0	877.0	704.0	2910.0	8572.0
