alnA	alnB	A	B	YOR089C_43	YOR089C_54	YOR089C_39	YOR089C_67	YOR089C_38	YOR089C_61	YOR089C_70	YOR089C_11	YOR089C_32	YOR089C_36	YOR089C_28	YOR089C_69	YOR089C_56	YOR089C_15	YOR089C_64	YOR089C_10	YOR089C_20	YOR089C_24	YOR089C_12	YOR089C_03	YOR089C_07	YOR089C_44	YOR089C_52	YOR089C_26	YOR089C_17	YOR089C_59	YOR089C_02	YOR089C_33	YOR089C_48	YOR089C_35	YOR089C_60	YOR089C_47	YOR089C_41	YOR089C_27
44	170	8	58	2440.0	3959.0	3874.0	2222.0	5953.0	2735.0	5873.0	4236.0	4710.0	9427.0	1556.0	7439.0	3223.0	7148.0	853.0	1412.0	886.0	3041.0	8570.0	5728.0	4606.0	4463.0	5787.0	4189.0	6414.0	7828.0	1117.0	8540.0	5949.0	790.0	4587.0	7100.0	3846.0	8521.0
44	171	8	59	2440.0	3960.0	3875.0	2223.0	5954.0	2735.0	5903.0	4237.0	4716.0	9429.0	1559.0	7442.0	3225.0	7150.0	855.0	1415.0	890.0	3042.0	8589.0	5729.0	4607.0	4465.0	5788.0	4188.0	6414.0	7830.0	1120.0	8540.0	5952.0	799.0	4590.0	7102.0	3847.0	8523.0
44	202	8	78	2449.0	4300.0	4063.0	2325.0	6293.0	2992.0	5947.0	4245.0	4829.0	9616.0	2309.0	7641.0	3229.0	7113.0	899.0	1508.0	942.0	3084.0	8614.0	5724.0	4635.0	4662.0	7396.0	4548.0	6439.0	8838.0	1135.0	8937.0	6033.0	944.0	4789.0	7130.0	4222.0	8534.0
44	204	8	80	2454.0	4184.0	4067.0	2324.0	6288.0	2991.0	5946.0	4247.0	4827.0	9615.0	2306.0	7564.0	3219.0	7109.0	901.0	1505.0	959.0	3085.0	8613.0	5723.0	4635.0	4663.0	7395.0	4547.0	6439.0	8861.0	1125.0	8937.0	6033.0	943.0	4791.0	7131.0	4220.0	8530.0
44	168	8	56	2439.0	3955.0	3871.0	2219.0	5952.0	2732.0	5863.0	4236.0	4704.0	9423.0	1547.0	7432.0	3212.0	7107.0	850.0	1409.0	881.0	3038.0	8561.0	5729.0	4606.0	4462.0	5785.0	4190.0	6412.0	7824.0	1111.0	8539.0	5942.0	782.0	4583.0	7098.0	3843.0	8517.0
44	206	8	82	2453.0	4254.0	4070.0	2325.0	6197.0	2993.0	5947.0	4246.0	4826.0	9614.0	2307.0	7561.0	3219.0	7105.0	899.0	1509.0	870.0	3083.0	8612.0	5720.0	4635.0	4663.0	7396.0	4546.0	6438.0	8859.0	1123.0	8937.0	6032.0	942.0	4794.0	7132.0	4216.0	8534.0
44	205	8	81	2454.0	4304.0	4070.0	2325.0	6287.0	2991.0	5947.0	4247.0	4826.0	9614.0	2306.0	7562.0	3219.0	7106.0	901.0	1507.0	960.0	3084.0	8613.0	5721.0	4635.0	4663.0	7395.0	4547.0	6439.0	8861.0	1124.0	8937.0	6032.0	942.0	4792.0	7132.0	4217.0	8530.0
44	389	8	165	2460.0	4142.0	4056.0	2300.0	6123.0	2982.0	5762.0	4172.0	4708.0	9472.0	2303.0	7501.0	3224.0	7081.0	859.0	1496.0	799.0	3009.0	8616.0	5701.0	4466.0	4727.0	6046.0	4408.0	6397.0	8867.0	1103.0	8937.0	5963.0	809.0	4675.0	7137.0	4153.0	8514.0
44	385	8	162	2459.0	4163.0	4052.0	2336.0	6127.0	2982.0	5763.0	4175.0	4816.0	9562.0	2304.0	7501.0	3223.0	7075.0	866.0	1501.0	801.0	3011.0	8614.0	5705.0	4470.0	4727.0	6052.0	4410.0	6394.0	8867.0	1153.0	8936.0	5962.0	813.0	4677.0	7139.0	4156.0	8518.0
45	202	9	78	2450.0	4300.0	4063.0	2325.0	6294.0	2993.0	5948.0	4247.0	4830.0	9616.0	2312.0	7643.0	3232.0	7114.0	900.0	1511.0	944.0	3087.0	8615.0	5726.0	4636.0	4662.0	7397.0	4548.0	6438.0	8859.0	1135.0	8937.0	6039.0	945.0	4789.0	7130.0	4221.0	8535.0
45	204	9	80	2455.0	4303.0	4067.0	2324.0	6289.0	2992.0	5946.0	4249.0	4828.0	9615.0	2308.0	7563.0	3241.0	7109.0	902.0	1509.0	960.0	3086.0	8614.0	5725.0	4636.0	4663.0	7396.0	4547.0	6438.0	8861.0	1127.0	8937.0	6034.0	944.0	4791.0	7131.0	4219.0	8532.0
45	205	9	81	2454.0	4287.0	4069.0	2325.0	6288.0	2992.0	5946.0	4249.0	4828.0	9615.0	2308.0	7561.0	3230.0	7105.0	902.0	1510.0	960.0	3086.0	8614.0	5723.0	4636.0	4663.0	7397.0	4547.0	6437.0	8861.0	1125.0	8937.0	6034.0	944.0	4793.0	7132.0	4218.0	8533.0
45	171	9	59	2440.0	3959.0	3876.0	2223.0	5954.0	2734.0	5905.0	4237.0	4717.0	9430.0	1559.0	7443.0	3226.0	7148.0	855.0	1413.0	890.0	3042.0	8593.0	5730.0	4608.0	4509.0	5788.0	4190.0	6415.0	7833.0	1137.0	8541.0	5958.0	789.0	4587.0	7101.0	3848.0	8524.0
45	194	9	74	2446.0	4283.0	4061.0	2327.0	6315.0	2998.0	5949.0	4246.0	4831.0	9619.0	2352.0	7640.0	3230.0	7121.0	897.0	1517.0	935.0	3084.0	8617.0	5727.0	4635.0	4664.0	7399.0	4551.0	6438.0	8835.0	1139.0	8936.0	6034.0	946.0	4789.0	7127.0	4223.0	8541.0
45	195	9	75	2447.0	4285.0	4061.0	2327.0	6316.0	2997.0	5949.0	4246.0	4831.0	9617.0	2353.0	7641.0	3231.0	7119.0	898.0	1515.0	937.0	3084.0	8617.0	5727.0	4636.0	4664.0	7398.0	4550.0	6439.0	8836.0	1138.0	8936.0	6039.0	946.0	4788.0	7127.0	4222.0	8541.0
45	206	9	82	2453.0	4284.0	4069.0	2325.0	6218.0	2993.0	5946.0	4248.0	4827.0	9615.0	2310.0	7557.0	3228.0	7104.0	901.0	1511.0	960.0	3085.0	8613.0	5722.0	4635.0	4664.0	7398.0	4546.0	6437.0	8859.0	1125.0	8937.0	6033.0	943.0	4801.0	7132.0	4216.0	8537.0
45	230	9	103	2443.0	4274.0	4020.0	2317.0	6135.0	2991.0	5878.0	4241.0	4826.0	9495.0	2303.0	7554.0	3215.0	7044.0	889.0	1504.0	861.0	3076.0	8603.0	5715.0	4623.0	4649.0	7395.0	4522.0	6428.0	8833.0	1108.0	8910.0	6018.0	936.0	4788.0	7127.0	4154.0	8547.0
45	249	9	111	2446.0	4316.0	4020.0	2321.0	6133.0	2986.0	5882.0	4240.0	4826.0	9497.0	2300.0	7556.0	3212.0	7052.0	899.0	1502.0	860.0	3079.0	8611.0	5721.0	4630.0	4661.0	7391.0	4524.0	6392.0	8838.0	1112.0	8934.0	6023.0	943.0	4793.0	7128.0	4192.0	8528.0
45	172	9	60	2441.0	3959.0	3877.0	2225.0	5955.0	2734.0	5906.0	4237.0	4719.0	9432.0	1562.0	7452.0	3228.0	7150.0	861.0	1417.0	893.0	3043.0	8599.0	5729.0	4610.0	4511.0	5789.0	4190.0	6417.0	7834.0	1143.0	8541.0	5963.0	796.0	4591.0	7102.0	3853.0	8528.0
45	173	9	61	2442.0	3963.0	3879.0	2229.0	5978.0	2733.0	5910.0	4238.0	4720.0	9434.0	1591.0	7482.0	3229.0	7151.0	871.0	1418.0	894.0	3092.0	8606.0	5728.0	4612.0	4580.0	5790.0	4190.0	6417.0	7836.0	1148.0	8541.0	5965.0	863.0	4703.0	7105.0	3881.0	8531.0
46	170	10	58	2439.0	3957.0	3874.0	2222.0	5954.0	2732.0	5867.0	4236.0	4712.0	9429.0	1554.0	7440.0	3225.0	7140.0	853.0	1410.0	883.0	3038.0	8594.0	5736.0	4609.0	4465.0	5787.0	4191.0	6413.0	7832.0	1139.0	8540.0	5956.0	782.0	4583.0	7099.0	3847.0	8523.0
46	171	10	59	2440.0	3958.0	3876.0	2225.0	5977.0	2733.0	5908.0	4237.0	4717.0	9431.0	1558.0	7445.0	3227.0	7144.0	856.0	1413.0	889.0	3041.0	8606.0	5736.0	4612.0	4512.0	5788.0	4192.0	6414.0	7836.0	1144.0	8543.0	5962.0	784.0	4586.0	7101.0	3850.0	8526.0
46	173	10	61	2442.0	3961.0	3882.0	2275.0	5979.0	2732.0	5920.0	4239.0	4721.0	9438.0	1593.0	7495.0	3233.0	7150.0	869.0	1418.0	894.0	3094.0	8623.0	5730.0	4618.0	4586.0	5791.0	4192.0	6417.0	7850.0	1152.0	8544.0	5967.0	791.0	4737.0	7105.0	3887.0	8533.0
46	206	10	82	2453.0	4284.0	4067.0	2324.0	6197.0	2993.0	5945.0	4250.0	4829.0	9615.0	2346.0	7555.0	3231.0	7100.0	904.0	1512.0	960.0	3087.0	8614.0	5724.0	4636.0	4664.0	7401.0	4547.0	6433.0	8859.0	1126.0	8936.0	6036.0	945.0	4804.0	7133.0	4217.0	8543.0
46	54	10	18	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	10	60	2442.0	3959.0	3878.0	2231.0	5978.0	2733.0	5911.0	4237.0	4719.0	9434.0	1591.0	7458.0	3229.0	7148.0	861.0	1417.0	892.0	3043.0	8621.0	5731.0	4615.0	4581.0	5790.0	4192.0	6416.0	7844.0	1148.0	8544.0	5965.0	789.0	4589.0	7103.0	3854.0	8530.0
46	208	10	84	2450.0	4252.0	4066.0	2323.0	6184.0	2993.0	5943.0	4248.0	4827.0	9614.0	2341.0	7544.0	3226.0	7087.0	902.0	1517.0	958.0	3084.0	8611.0	5721.0	4634.0	4663.0	7406.0	4546.0	6430.0	8850.0	1122.0	8934.0	6032.0	943.0	4812.0	7134.0	4212.0	8568.0
46	58	10	22	20000.0	4174.0	3947.0	2587.0	6272.0	3275.0	5927.0	4379.0	5176.0	9739.0	2372.0	20000.0	3299.0	7069.0	1075.0	1519.0	20000.0	3258.0	8722.0	5817.0	20000.0	4701.0	7503.0	4405.0	6439.0	8894.0	1337.0	20000.0	6563.0	956.0	4916.0	7152.0	20000.0	8539.0
46	57	10	21	20000.0	4176.0	3950.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	9740.0	20000.0	20000.0	20000.0	20000.0	20000.0	1521.0	20000.0	20000.0	20000.0	20000.0	20000.0	4704.0	7752.0	20000.0	6588.0	9054.0	20000.0	20000.0	20000.0	20000.0	4945.0	7331.0	20000.0	20000.0
47	54	11	18	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	206	11	82	2453.0	4284.0	4065.0	2324.0	6187.0	2992.0	5943.0	4251.0	4830.0	9615.0	2347.0	7554.0	3238.0	7088.0	907.0	1514.0	960.0	3088.0	8615.0	5728.0	4636.0	4663.0	7404.0	4547.0	6430.0	8859.0	1128.0	8936.0	6039.0	947.0	4808.0	7133.0	4217.0	8558.0
47	207	11	83	2452.0	4277.0	4065.0	2324.0	6185.0	2992.0	5943.0	4251.0	4829.0	9615.0	2344.0	7547.0	3231.0	7085.0	907.0	1518.0	959.0	3088.0	8614.0	5725.0	4635.0	4663.0	7406.0	4546.0	6429.0	8857.0	1126.0	8935.0	6041.0	946.0	4813.0	7134.0	4216.0	8567.0
47	208	11	84	2450.0	4255.0	4064.0	2323.0	6184.0	2993.0	5942.0	4251.0	4828.0	9615.0	2342.0	7543.0	3229.0	7084.0	904.0	1552.0	958.0	3086.0	8613.0	5723.0	4634.0	4663.0	7413.0	4546.0	6428.0	8851.0	1124.0	8933.0	6058.0	945.0	4814.0	7134.0	4214.0	8567.0
47	173	11	61	2442.0	3958.0	3884.0	2279.0	5979.0	2731.0	5920.0	4239.0	4721.0	9458.0	1597.0	7495.0	3235.0	7149.0	869.0	1415.0	893.0	3104.0	8623.0	5718.0	4621.0	4603.0	5789.0	4197.0	6416.0	8036.0	1161.0	8548.0	5967.0	785.0	4589.0	7105.0	4051.0	8533.0
47	226	11	99	2443.0	4258.0	4060.0	2316.0	6178.0	2993.0	5886.0	4243.0	4826.0	9506.0	2339.0	7529.0	3216.0	7050.0	894.0	1518.0	864.0	3078.0	8602.0	5718.0	4625.0	4653.0	7416.0	4530.0	6424.0	8836.0	1112.0	8905.0	6018.0	940.0	4801.0	7131.0	4154.0	8568.0
47	205	11	81	2455.0	4285.0	4065.0	2323.0	6197.0	2991.0	5943.0	4252.0	4830.0	9615.0	2350.0	7556.0	3241.0	7089.0	907.0	1512.0	960.0	3089.0	8615.0	5732.0	4637.0	4663.0	7401.0	4547.0	6431.0	8861.0	1128.0	8936.0	6039.0	947.0	4803.0	7132.0	4217.0	8541.0
47	195	11	75	2447.0	4284.0	4060.0	2325.0	6318.0	2997.0	5949.0	4247.0	4833.0	9616.0	2352.0	7555.0	3239.0	7140.0	900.0	1517.0	1028.0	3126.0	8618.0	5732.0	4637.0	4664.0	7401.0	4550.0	6435.0	8839.0	1140.0	8936.0	6041.0	949.0	4788.0	7128.0	4221.0	8544.0
47	230	11	103	2443.0	4273.0	4060.0	2316.0	6180.0	2992.0	5883.0	4243.0	4827.0	9498.0	2345.0	7529.0	3218.0	7048.0	895.0	1512.0	892.0	3078.0	8605.0	5721.0	4624.0	4652.0	7400.0	4525.0	6425.0	8836.0	1110.0	8908.0	6016.0	940.0	4792.0	7129.0	4153.0	8556.0
47	191	11	71	2446.0	4282.0	4059.0	2332.0	6322.0	3001.0	5949.0	4246.0	4835.0	9626.0	2353.0	7548.0	3238.0	7144.0	898.0	1519.0	937.0	3125.0	8620.0	5733.0	4634.0	4665.0	7406.0	4553.0	6437.0	8168.0	1160.0	8936.0	6030.0	947.0	4805.0	7126.0	4221.0	8546.0
47	52	11	16	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
48	226	12	99	2443.0	4259.0	4054.0	2315.0	6179.0	2993.0	5890.0	4245.0	4827.0	9507.0	2339.0	7528.0	3217.0	7053.0	896.0	1548.0	869.0	3080.0	8605.0	5720.0	4625.0	4653.0	7421.0	4537.0	6423.0	8837.0	1113.0	8905.0	6018.0	942.0	4805.0	7132.0	4154.0	8567.0
48	52	12	16	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
48	208	12	84	2449.0	4257.0	4062.0	2322.0	6184.0	2992.0	5941.0	4253.0	4829.0	9615.0	2342.0	7540.0	3231.0	7074.0	906.0	1553.0	957.0	3087.0	8613.0	5725.0	4633.0	4662.0	7416.0	4546.0	6421.0	8851.0	1125.0	8930.0	6057.0	946.0	4815.0	7134.0	4164.0	8566.0
48	222	12	96	2443.0	4253.0	4055.0	2316.0	6179.0	2994.0	5891.0	4244.0	4826.0	9607.0	2337.0	7528.0	3218.0	7054.0	895.0	1552.0	865.0	3080.0	8606.0	5720.0	4625.0	4653.0	7424.0	4539.0	6422.0	8838.0	1114.0	8905.0	6015.0	941.0	4814.0	7132.0	4156.0	8567.0
48	221	12	95	2443.0	4251.0	4055.0	2315.0	6176.0	2995.0	5890.0	4244.0	4826.0	9609.0	2335.0	7527.0	3216.0	7055.0	893.0	1552.0	860.0	3079.0	8602.0	5717.0	4624.0	4654.0	7427.0	4539.0	6422.0	8837.0	1113.0	8903.0	6016.0	940.0	4820.0	7132.0	4156.0	8566.0
49	208	13	84	2449.0	4259.0	4042.0	2320.0	6184.0	2990.0	5939.0	4257.0	4830.0	9615.0	2343.0	7537.0	3233.0	7072.0	915.0	1554.0	956.0	3089.0	8614.0	5726.0	4633.0	4661.0	7419.0	4546.0	6417.0	8852.0	1128.0	8911.0	6055.0	948.0	4817.0	7134.0	4163.0	8565.0
49	221	13	95	2443.0	4252.0	4039.0	2314.0	6178.0	2994.0	5893.0	4247.0	4827.0	9609.0	2335.0	7526.0	3217.0	7057.0	896.0	1552.0	867.0	3081.0	8606.0	5719.0	4625.0	4654.0	7428.0	4540.0	6421.0	8839.0	1114.0	8903.0	6016.0	942.0	4872.0	7133.0	4155.0	8562.0
49	217	13	91	2443.0	4249.0	4033.0	2315.0	6176.0	2991.0	5935.0	4248.0	4826.0	9612.0	2333.0	7527.0	3216.0	7058.0	897.0	1554.0	862.0	3081.0	8604.0	5718.0	4620.0	4655.0	6031.0	4513.0	6420.0	8839.0	1116.0	8902.0	6018.0	940.0	4827.0	7137.0	4156.0	8560.0
49	177	13	63	2444.0	3950.0	4062.0	2285.0	5969.0	2729.0	5917.0	4241.0	4725.0	9464.0	1985.0	7499.0	3241.0	7148.0	877.0	1411.0	891.0	3124.0	8622.0	5713.0	4631.0	4672.0	5789.0	4380.0	6412.0	7800.0	1166.0	8583.0	5970.0	781.0	4587.0	7124.0	4054.0	8516.0
49	54	13	18	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
50	177	14	63	2443.0	3908.0	4060.0	2285.0	5923.0	2728.0	5915.0	4241.0	4725.0	9633.0	1985.0	7497.0	3243.0	7148.0	877.0	1408.0	884.0	3038.0	8622.0	5711.0	4631.0	4671.0	5789.0	4301.0	6411.0	7797.0	1167.0	8582.0	5970.0	780.0	4585.0	7124.0	4055.0	8514.0
50	213	14	89	2444.0	4249.0	4028.0	2315.0	6176.0	2987.0	5909.0	4251.0	4827.0	9612.0	2334.0	7528.0	3218.0	7061.0	902.0	1555.0	898.0	3086.0	8608.0	5718.0	4619.0	4656.0	7469.0	4545.0	6417.0	8843.0	1119.0	8902.0	6029.0	942.0	4823.0	7142.0	4156.0	8558.0
51	213	15	89	2443.0	4251.0	4027.0	2315.0	6176.0	2986.0	5908.0	4253.0	4827.0	9613.0	2336.0	7527.0	3220.0	7063.0	903.0	1555.0	896.0	3088.0	8611.0	5719.0	4618.0	4655.0	7468.0	4545.0	6416.0	8845.0	1120.0	8902.0	6040.0	943.0	4822.0	7142.0	4155.0	8557.0
51	210	15	86	2445.0	4256.0	4029.0	2317.0	6179.0	2987.0	5935.0	4258.0	4830.0	9615.0	2340.0	7529.0	3232.0	7067.0	916.0	1555.0	947.0	3091.0	8614.0	5725.0	4625.0	4658.0	7422.0	4545.0	6414.0	8851.0	1128.0	8905.0	6047.0	947.0	4821.0	7139.0	4158.0	8560.0
51	256	15	118	2445.0	4253.0	4027.0	2318.0	6177.0	2983.0	5908.0	4265.0	4828.0	9595.0	2340.0	7531.0	3232.0	7073.0	918.0	1551.0	899.0	3089.0	8615.0	5724.0	4623.0	4658.0	7420.0	4550.0	6429.0	8853.0	1097.0	8904.0	6052.0	946.0	4836.0	7138.0	4160.0	8557.0
51	257	15	119	2446.0	4252.0	4026.0	2322.0	6177.0	2983.0	5909.0	4264.0	4828.0	9595.0	2340.0	7532.0	3234.0	7073.0	918.0	1552.0	899.0	3091.0	8616.0	5725.0	4620.0	4658.0	7420.0	4550.0	6395.0	8854.0	1096.0	8906.0	6051.0	945.0	4833.0	7141.0	4160.0	8558.0
