alnA	alnB	A	B	YNL090W_36	YNL090W_17	YNL090W_11	YNL090W_19	YNL090W_42	YNL090W_32	YNL090W_28	YNL090W_57	YNL090W_67	YNL090W_51	YNL090W_37	YNL090W_50	YNL090W_66	YNL090W_03	YNL090W_22	YNL090W_60	YNL090W_06	YNL090W_56	YNL090W_21	YNL090W_62	YNL090W_09	YNL090W_15	YNL090W_64	YNL090W_12	YNL090W_05	YNL090W_20	YNL090W_44	YNL090W_24	YNL090W_25	YNL090W_43	YNL090W_40	YNL090W_54	YNL090W_68	YNL090W_30	YNL090W_01	YNL090W_23	YNL090W_65	YNL090W_02	YNL090W_61	YNL090W_41	YNL090W_46	YNL090W_58	YNL090W_55	YNL090W_33	YNL090W_48	YNL090W_49	YNL090W_16
38	389	6	172	1675.0	3813.0	8843.0	3622.0	3206.0	6558.0	4782.0	2612.0	2805.0	1044.0	5517.0	278.0	1734.0	6857.0	1596.0	5500.0	1778.0	7018.0	7439.0	9712.0	6544.0	2676.0	1614.0	744.0	2286.0	1080.0	1349.0	4817.0	1168.0	4916.0	5768.0	2392.0	934.0	8377.0	245.0	7496.0	9019.0	2242.0	9301.0	2445.0	1490.0	9334.0	1052.0	639.0	7185.0	4092.0	4133.0
38	390	6	173	1674.0	3813.0	8843.0	3621.0	3207.0	6557.0	4781.0	2611.0	2805.0	1043.0	5521.0	279.0	1733.0	6858.0	1596.0	5500.0	1780.0	7017.0	7440.0	9713.0	6545.0	2675.0	1614.0	746.0	2283.0	1082.0	1326.0	4817.0	1167.0	4919.0	5769.0	2392.0	938.0	8377.0	245.0	7496.0	9018.0	2234.0	9303.0	2446.0	1491.0	9335.0	1053.0	639.0	7184.0	4093.0	4115.0
38	170	6	57	1732.0	3895.0	8581.0	3668.0	3253.0	6597.0	4917.0	2369.0	2923.0	1237.0	5451.0	273.0	1870.0	6941.0	1483.0	5555.0	1783.0	6952.0	7484.0	9722.0	6667.0	2646.0	1719.0	767.0	2396.0	1040.0	1289.0	4863.0	1223.0	4892.0	5839.0	2411.0	955.0	8280.0	176.0	7592.0	9072.0	2338.0	9330.0	2551.0	1392.0	9373.0	1062.0	642.0	7190.0	4081.0	4080.0
43	203	7	78	1727.0	3828.0	8842.0	3636.0	3263.0	6760.0	4910.0	2712.0	2968.0	1298.0	5541.0	280.0	1789.0	6857.0	1582.0	5563.0	1751.0	6963.0	7497.0	9743.0	6670.0	2678.0	1678.0	781.0	2406.0	1088.0	1413.0	4889.0	1236.0	4962.0	5808.0	2362.0	941.0	8470.0	273.0	7604.0	9159.0	2358.0	9387.0	2471.0	1515.0	9374.0	1091.0	653.0	7200.0	4121.0	4144.0
43	169	7	56	1733.0	3894.0	8587.0	3717.0	3252.0	6599.0	4916.0	2367.0	2924.0	1237.0	5451.0	275.0	1869.0	6945.0	1486.0	5557.0	1784.0	6951.0	7485.0	9720.0	6667.0	2648.0	1718.0	765.0	2393.0	1042.0	1290.0	4861.0	1223.0	4891.0	5840.0	2412.0	1007.0	8267.0	176.0	7592.0	9071.0	2338.0	9332.0	2553.0	1391.0	9370.0	1058.0	642.0	7191.0	4082.0	4082.0
43	198	7	76	1725.0	3829.0	8841.0	3634.0	3262.0	6757.0	4906.0	2710.0	2975.0	1300.0	5539.0	275.0	1786.0	6854.0	1583.0	5562.0	1751.0	6961.0	7495.0	9742.0	6666.0	2677.0	1680.0	742.0	2406.0	1088.0	1412.0	4908.0	1245.0	4958.0	5808.0	2361.0	940.0	8465.0	274.0	7600.0	9160.0	2356.0	9396.0	2474.0	1514.0	9372.0	1092.0	651.0	7199.0	4097.0	4119.0
43	202	7	77	1727.0	3828.0	8842.0	3635.0	3263.0	6758.0	4909.0	2709.0	2969.0	1299.0	5540.0	278.0	1851.0	6855.0	1582.0	5563.0	1751.0	6962.0	7497.0	9742.0	6668.0	2676.0	1679.0	782.0	2406.0	1088.0	1413.0	4889.0	1244.0	4960.0	5802.0	2361.0	941.0	8466.0	274.0	7602.0	9159.0	2357.0	9390.0	2472.0	1514.0	9373.0	1091.0	652.0	7200.0	4099.0	4120.0
43	171	7	58	1734.0	3897.0	8589.0	3669.0	3252.0	6599.0	4916.0	2369.0	2988.0	1240.0	5454.0	273.0	1870.0	6942.0	1487.0	5556.0	1784.0	6953.0	7485.0	9723.0	6667.0	2649.0	1718.0	768.0	2390.0	1041.0	1291.0	4864.0	1224.0	4894.0	5841.0	2413.0	960.0	8281.0	178.0	7592.0	9074.0	2339.0	9331.0	2551.0	1392.0	9380.0	1070.0	642.0	7191.0	4083.0	4081.0
43	204	7	79	1725.0	3826.0	8843.0	3635.0	3263.0	6761.0	4910.0	2733.0	2969.0	1297.0	5541.0	282.0	1788.0	6856.0	1582.0	5563.0	1750.0	6965.0	7498.0	9743.0	6671.0	2678.0	1678.0	778.0	2405.0	1088.0	1412.0	4888.0	1233.0	4963.0	5808.0	2362.0	941.0	8472.0	273.0	7604.0	9156.0	2359.0	9384.0	2469.0	1515.0	9371.0	1091.0	654.0	7201.0	4121.0	4144.0
44	169	8	56	1735.0	3895.0	8589.0	3690.0	3251.0	6602.0	4915.0	2368.0	2991.0	1238.0	5451.0	384.0	1868.0	6947.0	1634.0	5557.0	1784.0	6952.0	7486.0	9719.0	6668.0	2680.0	1718.0	764.0	2389.0	1044.0	1290.0	4860.0	1224.0	4890.0	5841.0	2415.0	1004.0	8268.0	178.0	7593.0	9071.0	2338.0	9334.0	2555.0	1391.0	9371.0	1059.0	642.0	7191.0	4083.0	4133.0
44	170	8	57	1741.0	3897.0	8589.0	3716.0	3251.0	6601.0	4916.0	2370.0	2990.0	1238.0	5452.0	383.0	1869.0	6944.0	1613.0	5557.0	1784.0	6954.0	7487.0	9720.0	6667.0	2682.0	1718.0	766.0	2389.0	1045.0	1291.0	4861.0	1225.0	4892.0	5840.0	2414.0	1004.0	8280.0	179.0	7594.0	9075.0	2339.0	9334.0	2554.0	1391.0	9375.0	1064.0	642.0	7191.0	4083.0	4082.0
44	171	8	58	1744.0	3898.0	8591.0	3691.0	3251.0	6602.0	4916.0	2370.0	2989.0	1241.0	5454.0	383.0	1870.0	6944.0	1609.0	5557.0	1784.0	6956.0	7487.0	9723.0	6667.0	2683.0	1718.0	767.0	2389.0	1046.0	1292.0	4862.0	1225.0	4893.0	5841.0	2415.0	1004.0	8282.0	180.0	7593.0	9079.0	2340.0	9333.0	2553.0	1393.0	9379.0	1071.0	642.0	7191.0	4085.0	4084.0
44	202	8	77	1728.0	3827.0	8845.0	3637.0	3262.0	6760.0	4911.0	2712.0	2971.0	1319.0	5542.0	283.0	1850.0	6855.0	1584.0	5564.0	1752.0	6964.0	7577.0	9742.0	6668.0	2677.0	1679.0	783.0	2404.0	1089.0	1414.0	4908.0	1243.0	4961.0	5807.0	2363.0	943.0	8468.0	275.0	7604.0	9160.0	2357.0	9390.0	2473.0	1515.0	9377.0	1091.0	654.0	7202.0	4121.0	4145.0
44	204	8	79	1726.0	3827.0	8846.0	3637.0	3263.0	6763.0	4912.0	2733.0	2970.0	1300.0	5543.0	287.0	1791.0	6855.0	1582.0	5564.0	1751.0	6967.0	7577.0	9743.0	6671.0	2679.0	1679.0	778.0	2402.0	1088.0	1414.0	4909.0	1236.0	4965.0	5808.0	2364.0	943.0	8473.0	274.0	7605.0	9157.0	2360.0	9384.0	2471.0	1516.0	9377.0	1089.0	655.0	7202.0	4122.0	4144.0
44	168	8	55	1734.0	3893.0	8560.0	3690.0	3251.0	6600.0	4914.0	2366.0	2923.0	1236.0	5450.0	383.0	1867.0	6887.0	1633.0	5557.0	1783.0	6951.0	7485.0	9718.0	6667.0	2677.0	1717.0	761.0	2390.0	1044.0	1289.0	4800.0	1221.0	4889.0	5840.0	2412.0	1005.0	8266.0	176.0	7593.0	9069.0	2337.0	9333.0	2555.0	1391.0	9362.0	1055.0	642.0	7191.0	4081.0	4131.0
44	206	8	81	1727.0	3831.0	8848.0	3637.0	3260.0	6765.0	4912.0	2735.0	2969.0	1297.0	5544.0	279.0	1789.0	6857.0	1583.0	5563.0	1752.0	6971.0	7498.0	9748.0	6672.0	2683.0	1681.0	776.0	2406.0	1087.0	1415.0	4911.0	1232.0	4968.0	5809.0	2363.0	947.0	8474.0	273.0	7604.0	9151.0	2361.0	9386.0	2471.0	1517.0	9375.0	1073.0	657.0	7203.0	4120.0	4143.0
44	205	8	80	1727.0	3827.0	8847.0	3637.0	3262.0	6764.0	4912.0	2734.0	2970.0	1298.0	5543.0	281.0	1790.0	6856.0	1583.0	5564.0	1751.0	6969.0	7576.0	9745.0	6671.0	2681.0	1679.0	776.0	2404.0	1088.0	1414.0	4911.0	1233.0	4967.0	5809.0	2363.0	945.0	8474.0	274.0	7605.0	9153.0	2360.0	9385.0	2471.0	1516.0	9375.0	1088.0	657.0	7202.0	4121.0	4143.0
44	389	8	172	1672.0	3814.0	8840.0	3621.0	3208.0	6558.0	4777.0	2605.0	2805.0	1041.0	5518.0	280.0	1733.0	6853.0	1600.0	5504.0	1780.0	7018.0	7439.0	9717.0	6539.0	2676.0	1614.0	747.0	2280.0	1125.0	1326.0	4813.0	1167.0	4921.0	5769.0	2394.0	935.0	8381.0	247.0	7492.0	9020.0	2235.0	9305.0	2447.0	1509.0	9341.0	1050.0	641.0	7186.0	4157.0	4139.0
44	385	8	168	1673.0	3814.0	8843.0	3626.0	3207.0	6562.0	4781.0	2606.0	2810.0	1041.0	5514.0	277.0	1729.0	6853.0	1600.0	5507.0	1780.0	7019.0	7437.0	9719.0	6529.0	2678.0	1614.0	747.0	2285.0	1124.0	1354.0	4817.0	1170.0	4910.0	5768.0	2392.0	929.0	8383.0	248.0	7494.0	9078.0	2245.0	9301.0	2447.0	1510.0	9346.0	1052.0	651.0	7185.0	4095.0	4126.0
45	202	9	77	1728.0	3827.0	8849.0	3637.0	3261.0	6763.0	4912.0	2733.0	2975.0	1318.0	5543.0	291.0	1850.0	6856.0	1584.0	5566.0	1753.0	6965.0	7575.0	9742.0	6669.0	2678.0	1682.0	791.0	2402.0	1089.0	1414.0	4910.0	1242.0	4962.0	5802.0	2365.0	945.0	8470.0	275.0	7605.0	9160.0	2359.0	9390.0	2475.0	1515.0	9389.0	1089.0	656.0	7204.0	4122.0	4144.0
45	204	9	79	1727.0	3827.0	8849.0	3637.0	3262.0	6764.0	4913.0	2734.0	2971.0	1306.0	5544.0	288.0	1847.0	6855.0	1583.0	5565.0	1752.0	6969.0	7576.0	9743.0	6671.0	2679.0	1681.0	778.0	2401.0	1088.0	1414.0	4911.0	1237.0	4969.0	5809.0	2365.0	945.0	8473.0	275.0	7605.0	9157.0	2361.0	9385.0	2472.0	1516.0	9389.0	1088.0	658.0	7204.0	4122.0	4144.0
45	205	9	80	1727.0	3828.0	8849.0	3638.0	3261.0	6766.0	4914.0	2735.0	2971.0	1300.0	5544.0	285.0	1792.0	6856.0	1583.0	5565.0	1753.0	6973.0	7575.0	9745.0	6672.0	2681.0	1682.0	777.0	2402.0	1088.0	1414.0	4912.0	1234.0	4998.0	5809.0	2364.0	947.0	8474.0	275.0	7606.0	9153.0	2362.0	9386.0	2472.0	1517.0	9378.0	1087.0	660.0	7204.0	4121.0	4143.0
45	171	9	58	1751.0	3900.0	8592.0	3691.0	3250.0	6604.0	4916.0	2373.0	2989.0	1241.0	5455.0	388.0	1867.0	6950.0	1613.0	5557.0	1785.0	6958.0	7488.0	9722.0	6668.0	2683.0	1718.0	765.0	2387.0	1047.0	1293.0	4862.0	1226.0	4893.0	5848.0	2417.0	1004.0	8284.0	180.0	7595.0	9079.0	2341.0	9335.0	2515.0	1391.0	9379.0	1076.0	643.0	7193.0	4086.0	4083.0
45	194	9	73	1727.0	3923.0	8851.0	3637.0	3260.0	6760.0	4912.0	2713.0	2978.0	1322.0	5539.0	276.0	1851.0	6865.0	1586.0	5564.0	1757.0	6963.0	7575.0	9743.0	6665.0	2681.0	1684.0	789.0	2402.0	1090.0	1413.0	4908.0	1243.0	4960.0	5812.0	2368.0	942.0	8436.0	276.0	7599.0	9163.0	2357.0	9399.0	2479.0	1514.0	9389.0	1091.0	653.0	7200.0	4095.0	4121.0
45	195	9	74	1727.0	3956.0	8851.0	3637.0	3261.0	6763.0	4912.0	2730.0	2976.0	1319.0	5541.0	399.0	1851.0	6864.0	1585.0	5565.0	1756.0	6964.0	7576.0	9744.0	6667.0	2681.0	1683.0	789.0	2402.0	1090.0	1414.0	4909.0	1243.0	4961.0	5810.0	2367.0	943.0	8470.0	276.0	7601.0	9162.0	2358.0	9397.0	2477.0	1515.0	9389.0	1090.0	655.0	7202.0	4099.0	4145.0
45	206	9	81	1727.0	3831.0	8850.0	3639.0	3259.0	6767.0	4914.0	2736.0	2971.0	1298.0	5545.0	281.0	1791.0	6857.0	1584.0	5565.0	1754.0	6976.0	7574.0	9748.0	6672.0	2683.0	1682.0	777.0	2404.0	1087.0	1414.0	4913.0	1233.0	4999.0	5809.0	2364.0	949.0	8474.0	275.0	7606.0	9151.0	2362.0	9387.0	2472.0	1517.0	9377.0	1086.0	660.0	7205.0	4120.0	4143.0
45	230	9	103	1712.0	3814.0	8844.0	3610.0	3225.0	6757.0	4909.0	2653.0	2957.0	1287.0	5638.0	268.0	1782.0	6842.0	1584.0	5553.0	1747.0	6963.0	7492.0	9748.0	6585.0	2686.0	1671.0	735.0	2364.0	1080.0	1359.0	4831.0	1221.0	4963.0	5804.0	2387.0	957.0	8439.0	239.0	7584.0	9120.0	2311.0	9407.0	2460.0	1514.0	9370.0	1070.0	650.0	7196.0	4112.0	4108.0
45	249	9	110	1713.0	3821.0	8855.0	3622.0	3236.0	6761.0	4881.0	2674.0	2939.0	1282.0	5545.0	277.0	1787.0	6843.0	1584.0	5557.0	1749.0	6966.0	7486.0	9742.0	6588.0	2675.0	1685.0	740.0	2366.0	1082.0	1360.0	4835.0	1219.0	4959.0	5797.0	2393.0	954.0	8418.0	247.0	7581.0	9124.0	2365.0	9347.0	2463.0	1517.0	9362.0	1086.0	652.0	7194.0	4117.0	4117.0
45	172	9	59	1751.0	3901.0	8595.0	3691.0	3250.0	6603.0	4917.0	2376.0	2988.0	1244.0	5460.0	386.0	1868.0	6952.0	1610.0	5557.0	1786.0	6959.0	7490.0	9725.0	6667.0	2686.0	1717.0	767.0	2387.0	1058.0	1294.0	4864.0	1227.0	4894.0	5849.0	2416.0	1002.0	8287.0	183.0	7594.0	9080.0	2347.0	9335.0	2514.0	1395.0	9382.0	1079.0	643.0	7193.0	4086.0	4084.0
45	173	9	60	1747.0	3902.0	8601.0	3689.0	3248.0	6603.0	4917.0	2378.0	2987.0	1249.0	5513.0	276.0	1859.0	6954.0	1602.0	5557.0	1788.0	6958.0	7490.0	9727.0	6667.0	2686.0	1716.0	769.0	2387.0	1073.0	1296.0	4895.0	1231.0	4894.0	5849.0	2416.0	967.0	8292.0	209.0	7593.0	9082.0	2348.0	9336.0	2513.0	1430.0	9384.0	1080.0	643.0	7193.0	4087.0	4122.0
46	170	10	57	1753.0	3900.0	8592.0	3690.0	3248.0	6605.0	4915.0	2375.0	2990.0	1238.0	5453.0	402.0	1860.0	6952.0	1626.0	5558.0	1785.0	6958.0	7487.0	9719.0	6669.0	2680.0	1717.0	761.0	2387.0	1046.0	1292.0	4858.0	1225.0	4891.0	5841.0	2421.0	1003.0	8283.0	179.0	7596.0	9079.0	2339.0	9337.0	2513.0	1387.0	9314.0	1068.0	643.0	7193.0	4085.0	4081.0
46	171	10	58	1753.0	3901.0	8598.0	3690.0	3248.0	6611.0	4915.0	2377.0	2989.0	1241.0	5458.0	401.0	1859.0	6954.0	1614.0	5558.0	1786.0	6960.0	7489.0	9721.0	6668.0	2683.0	1717.0	762.0	2387.0	1048.0	1294.0	4860.0	1226.0	4892.0	5842.0	2420.0	1003.0	8287.0	181.0	7596.0	9080.0	2342.0	9337.0	2513.0	1390.0	9378.0	1078.0	643.0	7194.0	4086.0	4084.0
46	173	10	60	1751.0	3905.0	8632.0	3689.0	3245.0	6683.0	4916.0	2391.0	2987.0	1313.0	5514.0	388.0	1850.0	6956.0	1602.0	5559.0	1791.0	6962.0	7493.0	9758.0	6667.0	2687.0	1714.0	766.0	2387.0	1077.0	1301.0	4865.0	1227.0	4894.0	5848.0	2417.0	1000.0	8323.0	210.0	7594.0	9084.0	2349.0	9337.0	2512.0	1431.0	9384.0	1081.0	645.0	7195.0	4089.0	4122.0
46	206	10	81	1727.0	3834.0	8851.0	3682.0	3257.0	6769.0	4915.0	2737.0	2971.0	1298.0	5546.0	283.0	1791.0	6856.0	1584.0	5566.0	1757.0	6979.0	7571.0	9748.0	6672.0	2682.0	1683.0	777.0	2401.0	1088.0	1414.0	4915.0	1235.0	5001.0	5808.0	2365.0	950.0	8474.0	276.0	7607.0	9150.0	2363.0	9392.0	2474.0	1517.0	9379.0	1085.0	671.0	7207.0	4120.0	4142.0
46	54	10	18	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
46	172	10	59	1752.0	3903.0	8602.0	3690.0	3248.0	6606.0	4916.0	2382.0	2988.0	1249.0	5513.0	400.0	1858.0	6955.0	1611.0	5559.0	1788.0	6962.0	7492.0	9726.0	6668.0	2687.0	1716.0	763.0	2386.0	1064.0	1295.0	4862.0	1227.0	4893.0	5847.0	2418.0	1002.0	8294.0	186.0	7595.0	9081.0	2348.0	9337.0	2513.0	1395.0	9382.0	1080.0	644.0	7194.0	4088.0	4128.0
46	208	10	83	1726.0	3961.0	8852.0	3681.0	3252.0	6770.0	4916.0	2778.0	2970.0	1294.0	5547.0	278.0	1789.0	6855.0	1584.0	5564.0	1758.0	6979.0	7499.0	9753.0	6670.0	2685.0	1684.0	770.0	2403.0	1085.0	1415.0	4919.0	1232.0	4999.0	5807.0	2363.0	951.0	8474.0	275.0	7605.0	9131.0	2364.0	9400.0	2472.0	1516.0	9378.0	1070.0	661.0	7207.0	4116.0	4141.0
46	58	10	22	1818.0	3776.0	20000.0	20000.0	3442.0	6695.0	4957.0	20000.0	2926.0	1461.0	5535.0	503.0	1952.0	7059.0	20000.0	5595.0	2035.0	7095.0	20000.0	20000.0	6582.0	2851.0	1858.0	788.0	2356.0	20000.0	1348.0	20000.0	1481.0	20000.0	5968.0	2361.0	20000.0	20000.0	337.0	7577.0	9297.0	2523.0	9612.0	2738.0	1756.0	20000.0	1237.0	751.0	7221.0	20000.0	20000.0
46	57	10	21	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	5540.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	6582.0	20000.0	1864.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	7592.0	20000.0	20000.0	20000.0	2741.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	54	11	18	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0	20000.0
47	206	11	81	1727.0	3835.0	8852.0	3684.0	3256.0	6771.0	4915.0	2737.0	2972.0	1300.0	5548.0	287.0	1792.0	6851.0	1584.0	5567.0	1759.0	6981.0	7564.0	9747.0	6672.0	2682.0	1684.0	777.0	2399.0	1087.0	1413.0	4916.0	1236.0	5003.0	5804.0	2366.0	950.0	8473.0	282.0	7609.0	9131.0	2364.0	9396.0	2475.0	1516.0	9391.0	1084.0	675.0	7209.0	4120.0	4141.0
47	207	11	82	1726.0	3961.0	8853.0	3683.0	3253.0	6772.0	4916.0	2785.0	2971.0	1296.0	5550.0	281.0	1791.0	6851.0	1584.0	5566.0	1760.0	6982.0	7558.0	9751.0	6671.0	2683.0	1684.0	775.0	2400.0	1087.0	1414.0	4918.0	1234.0	5002.0	5804.0	2365.0	951.0	8473.0	283.0	7609.0	9131.0	2364.0	9399.0	2474.0	1516.0	9380.0	1078.0	675.0	7209.0	4119.0	4141.0
47	208	11	83	1725.0	3963.0	8852.0	3682.0	3251.0	6773.0	4916.0	2784.0	2970.0	1295.0	5550.0	279.0	1790.0	6851.0	1585.0	5566.0	1760.0	6981.0	7555.0	9753.0	6670.0	2685.0	1685.0	770.0	2401.0	1086.0	1414.0	4920.0	1233.0	5000.0	5803.0	2364.0	951.0	8473.0	284.0	7608.0	9130.0	2365.0	9401.0	2474.0	1516.0	9379.0	1072.0	674.0	7209.0	4117.0	4140.0
47	173	11	60	1752.0	3910.0	8637.0	3689.0	3241.0	6757.0	4916.0	2517.0	2987.0	1311.0	5515.0	400.0	1847.0	6957.0	1611.0	5562.0	1793.0	6967.0	7508.0	9757.0	6667.0	2687.0	1714.0	762.0	2386.0	1079.0	1296.0	4861.0	1230.0	4893.0	5847.0	2418.0	1000.0	8326.0	209.0	7595.0	9079.0	2351.0	9337.0	2511.0	1395.0	9314.0	1084.0	645.0	7195.0	4090.0	4086.0
47	226	11	99	1715.0	3829.0	8843.0	3618.0	3221.0	6761.0	4916.0	2651.0	2961.0	1284.0	5638.0	271.0	1787.0	6844.0	1584.0	5558.0	1751.0	6966.0	7498.0	9750.0	6618.0	2690.0	1672.0	746.0	2369.0	1080.0	1359.0	4833.0	1245.0	4969.0	5802.0	2341.0	960.0	8465.0	242.0	7589.0	9119.0	2369.0	9415.0	2466.0	1514.0	9374.0	1069.0	652.0	7202.0	4096.0	4106.0
