traj	protein	assign	type	class
YFL038C_26	YFL038C	a2_b2	multi	a2/b2
YFL038C_28	YFL038C	a2_b2	multi	a2/b2
YFL038C_68	YFL038C	b5_none	multi	a4/b5
YFL038C_19	YFL038C	a5_b6	multi	a5
YFL038C_58	YFL038C	a2_b2	multi	a2/b2
YFL038C_13	YFL038C	a2_b2	multi	a2/b2
YFL038C_25	YFL038C	a2_b2	multi	a2/b2
YFL038C_29	YFL038C	a2_b2	multi	a2/b2
YFL038C_69	YFL038C	a2_b2	multi	a2/b2
YFL038C_20	YFL038C	a2_b2	multi	a2/b2
YFL038C_07	YFL038C	a2_b2	multi	a2/b2
YFL038C_21	YFL038C	a2_b2	multi	a2/b2
YFL038C_22	YFL038C	a2_b2	multi	a2/b2
YFL038C_34	YFL038C	a3_a4	multi	a3
YFL038C_51	YFL038C	a2_b2	multi	a2/b2
YFL038C_35	YFL038C	a2_b2	multi	a2/b2
YFL038C_62	YFL038C	a2_b2	multi	a2/b2
YFL038C_01	YFL038C	a2_b2	multi	a2/b2
YFL038C_03	YFL038C	a2_b2	multi	a2/b2
YFL038C_17	YFL038C	a2_b2	multi	a2/b2
YFL038C_09	YFL038C	a2_b2	multi	a2/b2
YFL038C_30	YFL038C	a2_b2	multi	a2/b2
YFL038C_46	YFL038C	a2_b2	multi	a2/b2
YFL038C_06	YFL038C	a2_b2	multi	a2/b2
YFL038C_10	YFL038C	a1_b2	multi	a1
YFL038C_70	YFL038C	a2_b2	multi	a2/b2
YFL038C_66	YFL038C	a2_b2	multi	a2/b2
YFL038C_49	YFL038C	a2_b2	multi	a2/b2
YDL192W_65	YDL192W	a5	best	a5
YDL192W_05	YDL192W	a5_b4	multi	a5
YDL192W_02	YDL192W	a3	best	a3
YDL192W_51	YDL192W	a5_b4	multi	a5
YDL192W_16	YDL192W	a1_none	multi	a1
YDL192W_34	YDL192W	a3	best	a3
YDL192W_11	YDL192W	a5	best	a5
YDL192W_03	YDL192W	a5_b4	multi	a5
YDL192W_48	YDL192W	b5_none	multi	a4/b5
YDL192W_15	YDL192W	a5	best	a5
YDL192W_56	YDL192W	a5	best	a5
YDL192W_64	YDL192W	a3	best	a3
YDL192W_66	YDL192W	a5_b4	multi	a5
YDL192W_17	YDL192W	a5_b4	multi	a5
YDL192W_18	YDL192W	a1_a5	multi	a5
YDL192W_24	YDL192W	a2	best	a2/b2
YDL192W_54	YDL192W	a1_a5	multi	a5
YDL192W_33	YDL192W	a3	best	a3
YDL192W_12	YDL192W	a5	best	a5
YDL192W_49	YDL192W	a5_b1	multi	a5
YDL192W_13	YDL192W	a1_a5	multi	a5
YDL192W_53	YDL192W	a5_b4	multi	a5
YDL192W_59	YDL192W	a5	best	a5
YDL192W_36	YDL192W	a1_none	multi	a1
YDL192W_40	YDL192W	a5_b4	multi	a5
YDL192W_45	YDL192W	a5_b4	multi	a5
YDL192W_14	YDL192W	a5_b4	multi	a5
YDL192W_07	YDL192W	a3	best	a3
YDL192W_50	YDL192W	a5_b4	multi	a5
YDL192W_09	YDL192W	a5_b4	multi	a5
YDL192W_58	YDL192W	a5_b4	multi	a5
YDL192W_38	YDL192W	a3	best	a3
YDL192W_37	YDL192W	a5	best	a5
YDL192W_46	YDL192W	a1_a5	multi	a5
YDL192W_70	YDL192W	a5	best	a5
YDL192W_28	YDL192W	a5_b4	multi	a5
YDL192W_39	YDL192W	a5	best	a5
YDL192W_22	YDL192W	a5_b4	multi	a5
YDL192W_32	YDL192W	a5	best	a5
YDL192W_26	YDL192W	a5_b4	multi	a5
YDL192W_62	YDL192W	a1_a5	multi	a5
YDL192W_01	YDL192W	a5_b4	multi	a5
YDL192W_67	YDL192W	a3	best	a3
YDL192W_10	YDL192W	a5_b4	multi	a5
YDL192W_44	YDL192W	a5_b4	multi	a5
YDL192W_19	YDL192W	a5_b4	multi	a5
YDL192W_43	YDL192W	a5	best	a5
YDL192W_20	YDL192W	b6	best	other
YDL192W_55	YDL192W	a5_b4	multi	a5
YDL192W_21	YDL192W	a5	best	a5
YDL192W_25	YDL192W	a1_a5	multi	a5
YDL192W_06	YDL192W	a5	best	a5
YDL192W_68	YDL192W	a1_a5	multi	a5
YDL192W_42	YDL192W	a5_b4	multi	a5
YDL192W_27	YDL192W	a5_b4	multi	a5
YDL192W_08	YDL192W	a1_a5	multi	a5
YDL192W_30	YDL192W	a5_b4	multi	a5
YDL192W_23	YDL192W	a5_b4	multi	a5
YDL192W_60	YDL192W	a5	best	a5
YDL192W_57	YDL192W	a1_a5	multi	a5
YDL192W_47	YDL192W	a5	best	a5
YDL192W_31	YDL192W	a1_a5	multi	a5
YDL192W_04	YDL192W	a1_a5	multi	a5
YDL192W_69	YDL192W	a5_b4	multi	a5
YDL192W_52	YDL192W	a5	best	a5
YFL005W_28	YFL005W	a5	best	a5
YFL005W_08	YFL005W	a2_b2	multi	a2/b2
YFL005W_35	YFL005W	a2_b2	multi	a2/b2
YFL005W_43	YFL005W	a3	best	a3
YFL005W_14	YFL005W	a2_b2	multi	a2/b2
YFL005W_70	YFL005W	a2_b2	multi	a2/b2
YFL005W_16	YFL005W	a2_b2	multi	a2/b2
YFL005W_57	YFL005W	a2_b2	multi	a2/b2
YFL005W_19	YFL005W	a1	best	a1
YFL005W_34	YFL005W	a2_b2	multi	a2/b2
YFL005W_01	YFL005W	a2_b2	multi	a2/b2
YFL005W_30	YFL005W	a2_b2	multi	a2/b2
YFL005W_10	YFL005W	a2_b2	multi	a2/b2
YFL005W_45	YFL005W	a2_b2	multi	a2/b2
YFL005W_23	YFL005W	a5_b6	multi	a5
YFL005W_13	YFL005W	a2_b2	multi	a2/b2
YFL005W_12	YFL005W	a3	best	a3
YFL005W_68	YFL005W	a2_b2	multi	a2/b2
YFL005W_26	YFL005W	a5	best	a5
YFL005W_11	YFL005W	a2	best	a2/b2
YFL005W_49	YFL005W	a2_b2	multi	a2/b2
YFL005W_17	YFL005W	a2_b2	multi	a2/b2
YFL005W_09	YFL005W	a1_b2	multi	a1
YFL005W_61	YFL005W	a5_b4	multi	a5
YFL005W_54	YFL005W	a3_none	first	a3
YFL005W_22	YFL005W	b2	best	a2/b2
YFL005W_18	YFL005W	a2_b2	multi	a2/b2
YFL005W_41	YFL005W	a1_a5	multi	a5
YFL005W_32	YFL005W	a2_b2	multi	a2/b2
YFL005W_44	YFL005W	a2_b2	multi	a2/b2
YFL005W_38	YFL005W	a2_b2	multi	a2/b2
YFL005W_06	YFL005W	a2_b2	multi	a2/b2
YFL005W_21	YFL005W	a2_b2	multi	a2/b2
YFL005W_46	YFL005W	a2_b2	multi	a2/b2
YFL005W_66	YFL005W	a2_b2	multi	a2/b2
YFL005W_05	YFL005W	a2_b2	multi	a2/b2
YFL005W_31	YFL005W	a2_b2	multi	a2/b2
YFL005W_15	YFL005W	a2_b2	multi	a2/b2
YFL005W_58	YFL005W	a2_b2	multi	a2/b2
YFL005W_56	YFL005W	a2_b2	multi	a2/b2
YFL005W_37	YFL005W	b5	best	a4/b5
YFL005W_50	YFL005W	a2_b2	multi	a2/b2
YFL005W_51	YFL005W	a5	best	a5
YFL005W_20	YFL005W	a2_b2	multi	a2/b2
YFL005W_40	YFL005W	a2	best	a2/b2
YFL005W_42	YFL005W	a2_b2	multi	a2/b2
YFL005W_53	YFL005W	a5	best	a5
YFL005W_65	YFL005W	a1_a5	multi	a5
YFL005W_24	YFL005W	a2_b2	multi	a2/b2
YFL005W_67	YFL005W	a2_b2	multi	a2/b2
YFL005W_07	YFL005W	a5	best	a5
YFL005W_27	YFL005W	a2_b2	multi	a2/b2
YFL005W_25	YFL005W	b2	best	a2/b2
YFL005W_63	YFL005W	a2_b2	multi	a2/b2
YFL005W_55	YFL005W	b5	best	a4/b5
YFL005W_02	YFL005W	a2_b2	multi	a2/b2
YFL005W_33	YFL005W	a2_b2	multi	a2/b2
YFL005W_59	YFL005W	a2_b2	multi	a2/b2
YFL005W_62	YFL005W	a5_b4	multi	a5
YFL005W_36	YFL005W	a5_b4	multi	a5
YFL005W_29	YFL005W	b2	best	a2/b2
YFL005W_04	YFL005W	b1_b2	multi	a2/b2
YFL005W_52	YFL005W	a2_b2	multi	a2/b2
YFL005W_69	YFL005W	a2_b2	multi	a2/b2
YFL005W_03	YFL005W	a5_b4	multi	a5
YFL005W_48	YFL005W	a2_b2	multi	a2/b2
YFL005W_39	YFL005W	a2_b2	multi	a2/b2
YFL005W_47	YFL005W	a2_b2	multi	a2/b2
YFL005W_60	YFL005W	a5	best	a5
YFL005W_64	YFL005W	a2_b2	multi	a2/b2
YKR014C_44	YKR014C	a5	best	a5
YKR014C_69	YKR014C	a2_b2	multi	a2/b2
YKR014C_10	YKR014C	a2_b2	multi	a2/b2
YKR014C_62	YKR014C	a1_a5	multi	a5
YKR014C_08	YKR014C	a2_b2	multi	a2/b2
YKR014C_49	YKR014C	a1_a5	multi	a5
YKR014C_12	YKR014C	a2_b2	multi	a2/b2
YKR014C_11	YKR014C	a2_b2	multi	a2/b2
YKR014C_06	YKR014C	a2_b2	multi	a2/b2
YKR014C_52	YKR014C	a2_b2	multi	a2/b2
YKR014C_50	YKR014C	a2_b2	multi	a2/b2
YKR014C_70	YKR014C	a2_b2	multi	a2/b2
YKR014C_67	YKR014C	b2	best	a2/b2
YKR014C_28	YKR014C	a2_b2	multi	a2/b2
YKR014C_61	YKR014C	a1_b3	multi	a1
YKR014C_34	YKR014C	a2_b2	multi	a2/b2
YKR014C_43	YKR014C	b1_b2	multi	a2/b2
YKR014C_01	YKR014C	a2_b2	multi	a2/b2
YKR014C_32	YKR014C	a1_b2	multi	a1
YKR014C_30	YKR014C	a2_b2	multi	a2/b2
YKR014C_21	YKR014C	b1_b2	multi	a2/b2
YKR014C_56	YKR014C	a2_b2	multi	a2/b2
YKR014C_13	YKR014C	a2_b2	multi	a2/b2
YKR014C_64	YKR014C	a2_b2	multi	a2/b2
YKR014C_55	YKR014C	a2_b2	multi	a2/b2
YKR014C_15	YKR014C	b2	best	a2/b2
YKR014C_36	YKR014C	a2_b2	multi	a2/b2
YKR014C_18	YKR014C	a2_b2	multi	a2/b2
YKR014C_51	YKR014C	a2_b2	multi	a2/b2
YKR014C_05	YKR014C	a5	best	a5
YKR014C_47	YKR014C	a1_b2	multi	a1
YKR014C_20	YKR014C	a1_b2	multi	a1
YKR014C_31	YKR014C	a2_b2	multi	a2/b2
YKR014C_26	YKR014C	a2_b2	multi	a2/b2
YKR014C_29	YKR014C	b1_b2	multi	a2/b2
YKR014C_33	YKR014C	a2_b2	multi	a2/b2
YKR014C_38	YKR014C	b1_b2	multi	a2/b2
YKR014C_40	YKR014C	a1_b3	multi	a1
YKR014C_66	YKR014C	b1_b2	multi	a2/b2
YKR014C_25	YKR014C	a2_b2	multi	a2/b2
YKR014C_39	YKR014C	a5	best	a5
YKR014C_58	YKR014C	a2_b2	multi	a2/b2
YKR014C_19	YKR014C	a2_b2	multi	a2/b2
YKR014C_24	YKR014C	a2_b2	multi	a2/b2
YKR014C_42	YKR014C	a5	best	a5
YKR014C_41	YKR014C	a2_b2	multi	a2/b2
YKR014C_63	YKR014C	b3_none	first	other
YKR014C_37	YKR014C	a1_b2	multi	a1
YKR014C_07	YKR014C	a2_b2	multi	a2/b2
YKR014C_59	YKR014C	b2	best	a2/b2
YKR014C_54	YKR014C	a2_b2	multi	a2/b2
YKR014C_53	YKR014C	a2_b2	multi	a2/b2
YKR014C_45	YKR014C	a2_b2	multi	a2/b2
YKR014C_27	YKR014C	a2_b2	multi	a2/b2
YKR014C_46	YKR014C	a2_b2	multi	a2/b2
YKR014C_48	YKR014C	a2_b2	multi	a2/b2
YKR014C_14	YKR014C	a2_b2	multi	a2/b2
YKR014C_16	YKR014C	a2_b2	multi	a2/b2
YKR014C_22	YKR014C	a1_a5	multi	a5
YKR014C_68	YKR014C	a2_b2	multi	a2/b2
YKR014C_60	YKR014C	b2	best	a2/b2
YKR014C_35	YKR014C	a2_b2	multi	a2/b2
YKR014C_09	YKR014C	a2_b2	multi	a2/b2
YKR014C_57	YKR014C	b2	best	a2/b2
YKR014C_02	YKR014C	a2_b3	first	a2/b2
YKR014C_04	YKR014C	a2_b2	multi	a2/b2
YKR014C_03	YKR014C	a2_b2	multi	a2/b2
YOR094W_63	YOR094W	a5	best	a5
YOR094W_09	YOR094W	a1_none	multi	a1
YOR094W_48	YOR094W	a2_b2	multi	a2/b2
YOR094W_26	YOR094W	a1_none	multi	a1
YOR094W_32	YOR094W	a3	best	a3
YOR094W_02	YOR094W	b5	best	a4/b5
YOR094W_39	YOR094W	a5	best	a5
YOR094W_20	YOR094W	a2_b2	multi	a2/b2
YOR094W_22	YOR094W	a1_none	multi	a1
YOR094W_10	YOR094W	a5	best	a5
YOR094W_03	YOR094W	a2_b2	multi	a2/b2
YOR094W_56	YOR094W	a1_none	multi	a1
YOR094W_17	YOR094W	a3_a4	multi	a3
YOR094W_29	YOR094W	a1_a5	multi	a5
YOR094W_49	YOR094W	a1_none	multi	a1
YOR094W_16	YOR094W	a1_a5	multi	a5
YOR094W_33	YOR094W	a5	best	a5
YOR094W_47	YOR094W	a5_b4	multi	a5
YOR094W_07	YOR094W	b5	best	a4/b5
YOR094W_18	YOR094W	b6	best	other
YOR094W_37	YOR094W	a3/b4_none	first	a3
YOR094W_57	YOR094W	a1_none	multi	a1
YOR094W_14	YOR094W	a5_b6	multi	a5
YOR094W_59	YOR094W	a5_b1	multi	a5
YOR094W_11	YOR094W	a1_a5	multi	a5
YOR094W_67	YOR094W	a5	best	a5
YOR094W_13	YOR094W	a5	best	a5
YOR094W_19	YOR094W	a3	best	a3
YOR094W_55	YOR094W	a5_b1	multi	a5
YOR094W_12	YOR094W	a1_a5	multi	a5
YOR094W_70	YOR094W	a1_none	multi	a1
YOR094W_66	YOR094W	a1_a5	multi	a5
YOR094W_15	YOR094W	a5_b1	multi	a5
YOR094W_06	YOR094W	a3/b4_b3	first	other
YOR094W_21	YOR094W	a1_a5	multi	a5
YOR094W_62	YOR094W	a1_none	multi	a1
YOR094W_31	YOR094W	a5_b4	multi	a5
YOR094W_36	YOR094W	a5	best	a5
YOR094W_51	YOR094W	a5_b2	first	other
YOR094W_45	YOR094W	a5_b4	multi	a5
YOR094W_04	YOR094W	a3	best	a3
YOR094W_23	YOR094W	a5	best	a5
YOR094W_01	YOR094W	a5_b6	multi	a5
YOR094W_52	YOR094W	a5_b4	multi	a5
YOR094W_64	YOR094W	a1_a5	multi	a5
YHR022C_32	YHR022C	a1_b2	multi	a1
YHR022C_57	YHR022C	a1_b2	multi	a1
YHR022C_30	YHR022C	a1_a5	multi	a5
YHR022C_62	YHR022C	b1_b2	multi	a2/b2
YHR022C_26	YHR022C	a1_b2	multi	a1
YHR022C_54	YHR022C	a1_b2	multi	a1
YHR022C_61	YHR022C	b2	best	a2/b2
YHR022C_47	YHR022C	a1_b2	multi	a1
YHR022C_45	YHR022C	a2_b2	multi	a2/b2
YHR022C_42	YHR022C	a1_b2	multi	a1
YHR022C_23	YHR022C	b1_b2	multi	a2/b2
YHR022C_33	YHR022C	a2_a3	multi	a3
YHR022C_35	YHR022C	b1_b2	multi	a2/b2
YHR022C_70	YHR022C	a2_b2	multi	a2/b2
YHR022C_21	YHR022C	a2_b2	multi	a2/b2
YHR022C_22	YHR022C	b2	best	a2/b2
YHR022C_20	YHR022C	a2_b2	multi	a2/b2
YHR022C_55	YHR022C	a1	best	a1
YHR022C_34	YHR022C	a2_b2	multi	a2/b2
YHR022C_53	YHR022C	a2_b2	multi	a2/b2
YHR022C_03	YHR022C	a2_b2	multi	a2/b2
YHR022C_39	YHR022C	a1_b2	multi	a1
YHR022C_48	YHR022C	a5	best	a5
YHR022C_50	YHR022C	a2_b2	multi	a2/b2
YHR022C_59	YHR022C	a2_b2	multi	a2/b2
YHR022C_04	YHR022C	a1_b2	multi	a1
YHR022C_05	YHR022C	b1_b2	multi	a2/b2
YHR022C_49	YHR022C	a1_b2	multi	a1
YHR022C_52	YHR022C	a5_b4	multi	a5
YHR022C_29	YHR022C	a2_b2	multi	a2/b2
YHR022C_41	YHR022C	a1_b2	multi	a1
YHR022C_38	YHR022C	a1_b2	multi	a1
YHR022C_40	YHR022C	a1_b2	multi	a1
YHR022C_64	YHR022C	b1_b2	multi	a2/b2
YHR022C_10	YHR022C	a1_b2	multi	a1
YHR022C_60	YHR022C	a1_b2	multi	a1
YHR022C_11	YHR022C	a1_b2	multi	a1
YHR022C_02	YHR022C	b2	best	a2/b2
YHR022C_18	YHR022C	a1_b2	multi	a1
YHR022C_58	YHR022C	a2_b2	multi	a2/b2
YHR022C_15	YHR022C	a1_b2	multi	a1
YHR022C_09	YHR022C	a1_b2	multi	a1
YHR022C_69	YHR022C	a1_b2	multi	a1
YHR022C_17	YHR022C	a1_b2	first	a1
YHR022C_24	YHR022C	a1_b2	multi	a1
YHR022C_43	YHR022C	a2_b2	multi	a2/b2
YHR022C_12	YHR022C	a2_b2	multi	a2/b2
YHR022C_08	YHR022C	a1_b2	multi	a1
YHR022C_28	YHR022C	a1_b3	multi	a1
YHR022C_44	YHR022C	a2_b2	multi	a2/b2
YCR027C_60	YCR027C	a4_b5	multi	a4/b5
YCR027C_07	YCR027C	a3	best	a3
YCR027C_02	YCR027C	a3	best	a3
YCR027C_33	YCR027C	a5_b4	multi	a5
YCR027C_27	YCR027C	a3_none	first	a3
YCR027C_12	YCR027C	a3_a4	multi	a3
YCR027C_21	YCR027C	a3_a4	multi	a3
YCR027C_63	YCR027C	b5	best	a4/b5
YCR027C_19	YCR027C	a3_a4	multi	a3
YCR027C_66	YCR027C	a3	best	a3
YCR027C_16	YCR027C	b5_none	multi	a4/b5
YCR027C_49	YCR027C	a3_a4	multi	a3
YCR027C_58	YCR027C	a5_b4	multi	a5
YCR027C_48	YCR027C	a3_a4	multi	a3
YCR027C_05	YCR027C	a3	best	a3
YCR027C_54	YCR027C	b5_none	multi	a4/b5
YCR027C_23	YCR027C	a3_a4	multi	a3
YCR027C_36	YCR027C	a3_none	multi	a3
YCR027C_64	YCR027C	a3_none	multi	a3
YCR027C_47	YCR027C	b5_none	multi	a4/b5
YCR027C_08	YCR027C	a3_a4	multi	a3
YCR027C_22	YCR027C	a4_b5	multi	a4/b5
YCR027C_65	YCR027C	a3_none	first	a3
YCR027C_51	YCR027C	a4_b5	multi	a4/b5
YCR027C_37	YCR027C	b5_none	multi	a4/b5
YCR027C_55	YCR027C	a3_a4	multi	a3
YCR027C_44	YCR027C	a3	best	a3
YCR027C_41	YCR027C	a3_none	multi	a3
YCR027C_01	YCR027C	a4_b5	multi	a4/b5
YCR027C_13	YCR027C	a3	best	a3
YCR027C_70	YCR027C	a3_a4	multi	a3
YCR027C_61	YCR027C	a4_b5	multi	a4/b5
YCR027C_09	YCR027C	a3	best	a3
YCR027C_26	YCR027C	a3	best	a3
YCR027C_25	YCR027C	a2	best	a2/b2
YCR027C_24	YCR027C	a3	best	a3
YCR027C_42	YCR027C	a3	best	a3
YCR027C_14	YCR027C	b5	best	a4/b5
YCR027C_43	YCR027C	b5	best	a4/b5
YCR027C_56	YCR027C	a3	best	a3
YCR027C_30	YCR027C	b5_none	multi	a4/b5
YCR027C_18	YCR027C	a3_a4	multi	a3
YCR027C_39	YCR027C	b5_none	multi	a4/b5
YCR027C_17	YCR027C	a3_a4	multi	a3
YCR027C_34	YCR027C	a3	best	a3
YKL154W_10	YKL154W	a4_b5	multi	a4/b5
YKL154W_16	YKL154W	a3	best	a3
YKL154W_65	YKL154W	a2_b2	multi	a2/b2
YKL154W_01	YKL154W	a3	best	a3
YKL154W_05	YKL154W	a2_b2	multi	a2/b2
YKL154W_20	YKL154W	a2_b2	multi	a2/b2
YKL154W_04	YKL154W	a3	best	a3
YKL154W_48	YKL154W	a4	best	a4/b5
YKL154W_31	YKL154W	a3	best	a3
YKL154W_13	YKL154W	a3_none	multi	a3
YKL154W_32	YKL154W	a2_b2	multi	a2/b2
YKL154W_37	YKL154W	a2_b2	multi	a2/b2
YKL154W_30	YKL154W	a2_b2	multi	a2/b2
YKL154W_38	YKL154W	a4_b5	multi	a4/b5
YKL154W_14	YKL154W	a2_b2	multi	a2/b2
YKL154W_47	YKL154W	a4_b5	multi	a4/b5
YKL154W_35	YKL154W	b5	best	a4/b5
YKL154W_63	YKL154W	a2_b2	multi	a2/b2
YKL154W_12	YKL154W	a2_a3	multi	a3
YKL154W_53	YKL154W	a4_b5	multi	a4/b5
YKL154W_62	YKL154W	a2_b2	multi	a2/b2
YKL154W_18	YKL154W	a2_b2	multi	a2/b2
YKL154W_57	YKL154W	a5	best	a5
YKL154W_03	YKL154W	a1_b2	multi	a1
YKL154W_51	YKL154W	a1_b2	multi	a1
YKL154W_50	YKL154W	a4_b5	multi	a4/b5
YKL154W_21	YKL154W	a2_b2	multi	a2/b2
YKL154W_06	YKL154W	a2_b2	multi	a2/b2
YKL154W_60	YKL154W	a3_a4	multi	a3
YKL154W_19	YKL154W	a2_b2	multi	a2/b2
YKL154W_22	YKL154W	a5	best	a5
YKL154W_43	YKL154W	a3_a4	multi	a3
YKL154W_36	YKL154W	a4_b5	multi	a4/b5
YKL154W_49	YKL154W	a1_b2	multi	a1
YKL154W_45	YKL154W	a3	best	a3
YKL154W_64	YKL154W	b3_none	multi	other
YKL154W_67	YKL154W	a2_b2	multi	a2/b2
YKL154W_27	YKL154W	a2_b2	multi	a2/b2
YKL154W_09	YKL154W	a3	best	a3
YKL154W_26	YKL154W	a3	best	a3
YKL154W_39	YKL154W	a3_none	first	a3
YKL154W_33	YKL154W	a3	best	a3
